Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: IRLX Inverell
Report Date: 30/07/2024
Comparison Date: 23/07/2024
Total Yarding: 1100 (-740)
Commentary
"Inverell penned 1100 mostly good quality cattle to a market resulting in mixed trends with quality corrections through some categories. All the regular buyers attended with strong interest for drafts of background cattle.

Weaner steers considerably dearer as were the heifers which lifted 19c/kg and both categories going to restockers. Light yearling steers to 28c/kg better 330c to 400c/kg to backgrounders. Heavier drafts to feed on were 11c/kg cheaper however similar weights to background were dearer 374c to 426c/kg. Medium weight steers lost ground to be 13c/kg back. Heavy yearling steers to feed gained 28c/kg making to 355c/kg. Light heifers to background were significantly dearer 298c to 326c/kg and similar weights to feed on much dearer selling to 324c/kg. Medium weight feeder heifers sold to 351c/kg and were considerably dearer. Similar weight heifers to the trade declined 6c/kg to sell to 338c/kg.

Heavy grown steers were dearer 324c to 360c/kg the heifer counterparts to 20c/kg better. Medium cows were firm. A large offering of heavy cows were only slightly cheaper 293c to 319/kg. Heavy bulls gained 13c/kg and ranged 250c to 278c/kg.

Stephen Adams MLA"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,11,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,810.0,810.0,810
Yearling Steer,200-280,Restocker,C,2,42,30,330.0,400.0,390.14285714285717,48.1,611.1,740.7,722.5,858.0,1047.6,1018.0666736421131
Yearling Steer,280-330,Feeder,C,2,20,NQ,318.0,386.0,367.9,NQ,588.9,714.8,681.3,1017.6,1235.2,1189.8799987792968
Yearling Steer,280-330,Restocker,C,2,54,3,374.0,426.0,412.8888888888889,60.1,692.6,788.9,764.6,1122.0,1405.8,1329.325954861111
Yearling Steer,330-400,Feeder,C,2,39,NC,329.0,394.0,356.5897435897436,14.9,609.3,729.6,660.4,1184.4,1497.2,1333.2717848557693
Yearling Steer,330-400,Processor,C,2,1,NQ,256.0,256.0,256,NQ,474.1,474.1,474.1,972.8,972.8,972.7999877929688
Yearling Steer,330-400,Restocker,C,2,24,8,328.0,396.0,357.25,7.3,607.4,733.3,661.6,1148.0,1346.4,1225.5833333333333
Yearling Steer,400+,Feeder,C,2,43,20,317.0,376.0,336.09302325581393,11.5,598.1,696.3,626.8,1363.1,2018.4,1651.3116313135902
Yearling Steer,400+,Feeder,C,3,1,-46,330.0,330.0,330,-32.2,611.1,611.1,611.1,1914.0,1914.0,1914
Yearling Steer,400+,Processor,C,2,3,NQ,328.0,328.0,328,NQ,607.4,607.4,607.4,1836.8,1836.8,1836.8001302083333
Yearling Steer,400+,Processor,C,3,10,NQ,310.0,358.0,345.2,NQ,584.9,663.0,640.3,1488.0,2076.4,1915.480029296875
Yearling Heifer,0-200,Restocker,C,2,3,NQ,322.0,322.0,322,NQ,607.5,607.5,607.5,579.6,579.6,579.5999755859375
Yearling Heifer,200-280,Processor,C,2,11,NQ,252.0,274.0,269.27272727272725,NQ,475.5,517.0,508.1,680.4,739.8,717.1454634232955
Yearling Heifer,200-280,Restocker,C,2,87,73,298.0,326.0,318.1609195402299,32.7,562.3,615.1,600.3,770.0,864.0,837.3838900862069
Yearling Heifer,280-330,Feeder,C,2,15,NQ,280.0,324.0,309.3333333333333,NQ,528.3,611.3,583.6,868.0,990.0,959.4399983723958
Yearling Heifer,280-330,Processor,C,2,12,9,312.0,312.0,312,42.0,588.7,588.7,588.7,967.2,967.2,967.2000325520834
Yearling Heifer,280-330,Restocker,C,2,33,2,324.0,336.0,329.45454545454544,25.8,611.3,634.0,621.6,1036.8,1075.2,1054.2545276988637
Yearling Heifer,330-400,Feeder,C,2,29,-11,320.0,351.0,338.9655172413793,25.1,603.8,662.3,639.6,1184.0,1300.0,1260.9275660021551
Yearling Heifer,330-400,Processor,C,2,8,-10,275.0,306.0,290.25,40.9,518.9,577.4,547.6,1017.5,1132.2,1059.4249877929688
Yearling Heifer,330-400,Processor,C,3,5,NQ,314.0,338.0,328.4,NQ,592.5,637.7,619.6,1193.2,1250.6,1227.63994140625
Yearling Heifer,400+,Feeder,C,2,9,-19,300.0,330.0,326.6666666666667,-11.2,566.0,622.6,616.4,1500.0,1848.0,1809.3333333333333
Yearling Heifer,400+,Feeder,C,3,4,-29,318.0,325.0,323.25,1.1,600.0,613.2,609.9,1335.6,1430.0,1406.3999938964844
Yearling Heifer,400+,Processor,C,2,2,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,1276.8,1276.8,1276.800048828125
Yearling Heifer,400+,Processor,C,3,1,NQ,334.0,334.0,334,NQ,630.2,630.2,630.2,1402.8,1402.8,1402.800048828125
Vealer Steer,0-200,Restocker,C,2,52,NQ,370.0,390.0,383.6923076923077,NQ,685.2,722.2,710.5,620.8,698.4,668.2807898888221
