Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 01/04/2025
Comparison Date: 25/03/2025
Total Yarding: 2869 (+81)
Commentary
"There were approximately 2470 export and 400 young cattle penned representing an increase of 80 head week-on-week. All of the regular export and domestic orders were active and competing in a dearer market. Quality was mixed with plenty of manufacturing steers in the grown and more finish in the trade cattle. Most trade cattle sold 10c to 30c/kg dearer with some isolated sales even higher. Grown steers and bullocks gained 10c to 20c/kg. Heavy Grown heifers showing good finish improved 20c/kg. Manufacturing steers lifted 20c to 30c/kg. Cows kicked 20c to 30c and up to 45c/kg in places. Heavy bulls gained 5c/kg. 

Vealers sold from 340c to 434c/kg. Yearling trade steers made between 350c and 401c/kg. Yearling heifers to the trade sold between 348c and 398c after a top of 430c/kg. Grown steers made from 374c to 420c/kg. Bullocks sold from 385c to 425c/kg. Heavy grown heifers made between 355c and 392c/kg. 

Heavy Friesian manufacturing steers sold between 285c and 377c with the crossbred portion between 345c and 408c/kg. Most light and medium weight cows made from 246c to 314c/kg. Heavy weight cows sold mostly from 282c to 360c/kg. Heavy bulls made between 310c and 365c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,D,2,1,NC,284.0,284.0,284,-46.0,546.2,546.2,546.2,923.0,923.0,923
Yearling Steer,280-330,Restocker,D,1,3,-3,294.0,294.0,294,-16.0,612.5,612.5,612.5,970.2,970.2,970.2000325520834
Yearling Steer,280-330,Restocker,D,2,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,877.5,877.5,877.5
Yearling Steer,330-400,Feeder,C,2,1,-6,335.0,335.0,335,-15.0,620.4,620.4,620.4,1256.3,1256.3,1256.25
Yearling Steer,330-400,Feeder,D,2,1,NC,310.0,310.0,310,NC,584.9,584.9,584.9,1162.5,1162.5,1162.5
Yearling Steer,330-400,Processor,C,2,1,-2,372.0,372.0,372,35.3,676.4,676.4,676.4,1413.6,1413.6,1413.5999755859375
Yearling Steer,330-400,Processor,C,3,1,-2,350.0,350.0,350,-8.7,636.4,636.4,636.4,1330.0,1330.0,1330
Yearling Steer,330-400,Processor,D,2,1,-1,314.0,314.0,314,-6.0,592.5,592.5,592.5,1177.5,1177.5,1177.5
Yearling Steer,330-400,Restocker,C,2,2,-1,331.0,350.0,340.5,13.8,613.0,648.1,630.6,1257.8,1400.0,1328.9000244140625
Yearling Steer,400+,Feeder,C,2,5,-9,340.0,355.0,347.2,-17.9,629.6,657.4,643.0,1530.0,1566.0,1555.3
Yearling Steer,400+,Processor,B,3,2,-12,401.0,401.0,401,5.9,703.5,703.5,703.5,1804.5,1804.5,1804.5
Yearling Steer,400+,Processor,C,2,1,-2,340.0,340.0,340,-2.0,618.2,618.2,618.2,1445.0,1445.0,1445
Yearling Steer,400+,Processor,C,3,11,-8,360.0,392.0,388,18.6,654.5,712.7,705.5,1584.0,1960.0,1894.4545454545455
Yearling Steer,400+,Processor,D,3,3,NQ,355.0,355.0,355,NQ,657.4,657.4,657.4,1597.5,1597.5,1597.5
Yearling Steer,400+,Restocker,C,2,1,NC,362.0,362.0,362,37.0,670.4,670.4,670.4,1810.0,1810.0,1810
Yearling Heifer,280-330,Processor,C,3,2,NQ,370.0,370.0,370,NQ,660.7,660.7,660.7,1202.5,1202.5,1202.5
