Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2946 (+379)
Commentary
"There were approximately 2540 export and 400 young cattle penned representing an increase of 380 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good in the lead pens while secondary and plainer cattle made up a larger proportion of the sale. Well finished trade cattle held firm while the larger offering of secondary and plainer lots sold to weaker competition. Grown steers and bullocks sold firm. Manufacturing steers lost 10c to 25c/kg. Heavy grown heifers eased 5c/kg. Heavy beef cows lost 5c to 15c while most dairy lots gave back 10c to 20c/kg. Restockers were attracted to the lower prices in the cow sale with a number of select pens returning to the paddock. Heavy beef bred bulls sold firm while dairy lots slipped 20c/kg. 

Vealers sold from 263c to 380c/kg. Yearling trade steers made between 320c and 350c/kg. Yearling heifers to the trade sold between 300c and 346c/kg. Grown steers made from 320c to 388c/kg. Bullocks sold from 335c to 406c/kg. Heavy grown heifers showing good finish made between 298c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 220c and 318c with the crossbred portion between 248c and 370c/kg. Most light and medium weight cows made from 165c to 264c/kg. Heavy weight cows sold mostly from 220c to 396c/kg. Restocking cows made between 110c and 220c/kg. Heavy bulls sold between 238c and 322c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,13,5,325.0,325.0,325,-13.0,590.9,590.9,590.9,1300.0,1300.0,1300
Yearling Steer,330-400,Feeder,D,2,5,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1087.5,1087.5,1087.5
Yearling Steer,330-400,Processor,B,2,4,-1,298.0,298.0,298,-42.0,522.8,522.8,522.8,1102.6,1102.6,1102.5999755859375
Yearling Steer,330-400,Processor,C,2,1,NQ,316.0,316.0,316,NQ,585.2,585.2,585.2,1185.0,1185.0,1185
Yearling Steer,330-400,Processor,C,3,1,NC,350.0,350.0,350,12.0,636.4,636.4,636.4,1400.0,1400.0,1400
Yearling Steer,330-400,Processor,D,2,1,-2,310.0,310.0,310,7.3,584.9,584.9,584.9,1147.0,1147.0,1147
Yearling Steer,330-400,Restocker,C,2,7,-13,310.0,330.0,324.2857142857143,-8.1,574.1,611.1,600.5,1116.0,1254.0,1214.5714285714287
Yearling Steer,330-400,Restocker,D,2,6,1,270.0,280.0,273.3333333333333,-44.7,528.3,540.0,537.8,972.0,1120.0,998
Yearling Steer,400+,Feeder,C,2,9,NQ,320.0,348.0,332.6666666666667,NQ,592.6,644.4,616.0,1402.5,1600.8,1470.433376736111
Yearling Steer,400+,Feeder,C,3,6,NQ,336.0,336.0,336,NQ,622.2,622.2,622.2,1596.0,1596.0,1596
Yearling Steer,400+,Feeder,D,2,5,NQ,296.0,310.0,307.2,NQ,584.9,592.0,586.3,1317.5,1406.0,1335.2
Yearling Steer,400+,Processor,B,2,3,2,320.0,320.0,320,-12.0,551.7,551.7,551.7,1360.0,1360.0,1360
Yearling Steer,400+,Processor,C,2,2,NQ,330.0,332.0,331,NQ,611.1,614.8,613.0,1577.0,1650.0,1613.5
Yearling Steer,400+,Processor,C,3,1,-1,330.0,330.0,330,-10.0,589.3,589.3,589.3,1452.0,1452.0,1452
Yearling Steer,400+,Processor,D,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1320.0,1320.0,1320
