Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 07/01/2025
Comparison Date: 17/12/2024
Total Yarding: 2114 (-14)
Commentary
"Numbers were similar to the last sale of 2024 at 2114 with all of the regular buyers competing in a dearer market. Quality was good in the young cattle and limited in the grown. Trade cattle lifted 15c to 20c/kg with secondary lots to feeder orders gaining more. Grown cattle improved from 20c to 35c/kg. Cows lifted 15c to 35c/kg. 

Vealers sold from 290c to 390c/kg. Yearling trade steers made between 360c and 376c/kg. Yearling heifers to the trade sold between 320c and 360c/kg. Grown steers made from 360c to 393c/kg. Bullocks sold from 375c to 400c/kg. 

Heavy friesian manufacturing steers made between 308c and 337c with the crossbred portion between 332c and 385c/kg. Most light and medium weight cows sold between 240c and 290c/kg. Heavy weight cows made mostly from 270c to 324c/kg. Heavy bulls sold from 260c to 325c/kg.

Market reporter : Brendan Fletcher"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,5,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,1260.0,1260.0,1260
Yearling Steer,330-400,Processor,B,2,4,NQ,370.0,370.0,370,NQ,637.9,637.9,637.9,1332.0,1332.0,1332
Yearling Steer,400+,Feeder,C,2,11,5,354.0,366.0,359.45454545454544,39.5,655.6,677.8,665.7,1504.5,1756.8,1635.054598721591
Yearling Steer,400+,Processor,B,2,9,6,350.0,350.0,350,35.0,614.0,614.0,614.0,1487.5,1487.5,1487.5
Yearling Steer,400+,Processor,B,3,20,11,360.0,376.0,373.6,16.4,620.7,648.3,644.1,1584.0,1692.0,1679.4
Yearling Steer,400+,Processor,C,3,10,-9,370.0,372.0,370.6,26.4,672.7,676.4,673.8,1757.5,1767.0,1760.35
Yearling Heifer,330-400,Processor,D,2,7,-11,320.0,320.0,320,57.8,615.4,615.4,615.4,1200.0,1200.0,1200
Yearling Heifer,330-400,Processor,D,3,7,3,346.0,354.0,351.7142857142857,34.7,640.7,655.6,651.3,1345.2,1384.0,1356.2857142857142
Yearling Heifer,400+,Processor,D,2,8,-5,336.0,336.0,336,40.6,646.2,646.2,646.2,1512.0,1512.0,1512
Yearling Heifer,400+,Processor,D,3,33,-4,320.0,350.0,346.06060606060606,22.2,592.6,648.1,640.9,1344.0,1750.0,1631
Vealer Steer,330+,Feeder,C,2,27,25,340.0,362.0,349.9259259259259,19.9,618.2,658.2,636.2,1224.0,1375.6,1283.2740659360531
Vealer Steer,330+,Processor,B,3,29,2,352.0,390.0,376.1034482758621,14.7,606.9,672.4,648.5,1337.6,1560.0,1459.048272494612
Vealer Steer,330+,Processor,C,3,4,-5,344.0,365.0,354.5,5.6,614.3,651.8,633.0,1307.2,1387.0,1347.0999755859375
Vealer Heifer,280-330,Feeder,C,2,4,NQ,320.0,332.0,329,NQ,581.8,603.6,598.2,1024.0,1095.6,1077.699951171875
Vealer Heifer,280-330,Processor,D,3,10,NQ,326.0,326.0,326,NQ,603.7,603.7,603.7,1075.8,1075.8,1075.8
Vealer Heifer,280-330,Restocker,C,2,6,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,896.0,896.0,896
Vealer Heifer,330+,Feeder,C,2,12,NQ,320.0,379.0,354.4166666666667,NQ,581.8,689.1,644.4,1088.0,1421.3,1282.3958333333333
