Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,8,NQ,325.0,335.0,333.75,NQ,601.9,620.4,618.1,1072.5,1088.8,1086.71875
Yearling Steer,330-400,Feeder,C,2,3,2,345.0,350.0,348.3333333333333,13.3,638.9,648.1,645.1,1260.0,1380.0,1300
Yearling Steer,330-400,Processor,B,3,2,NQ,408.0,408.0,408,NQ,703.4,703.4,703.4,1632.0,1632.0,1632
Yearling Steer,330-400,Processor,C,2,2,1,320.0,341.0,330.5,-41.5,592.6,631.5,612.0,1152.0,1364.0,1258
Yearling Steer,330-400,Processor,C,3,6,5,360.0,396.0,384,34.0,654.5,720.0,691.8,1350.0,1584.0,1489.5
Yearling Steer,330-400,Processor,D,2,6,5,288.0,330.0,319.6666666666667,5.7,553.8,622.6,604.9,1036.8,1254.0,1205.1333414713542
Yearling Steer,330-400,Restocker,C,2,5,3,336.0,375.0,355.6,15.1,622.2,694.4,658.5,1260.0,1406.3,1322.8199951171875
Yearling Steer,330-400,Restocker,D,2,25,NQ,305.0,320.0,315.8,NQ,586.5,615.4,605.9,1143.8,1152.0,1149.69
Yearling Steer,400+,Feeder,C,2,8,3,350.0,370.0,367.5,20.3,648.1,685.2,680.6,1575.0,1757.5,1723.125
Yearling Steer,400+,Feeder,D,2,8,NQ,340.0,350.0,347.5,NQ,641.5,660.4,655.7,1540.0,1615.0,1558.75
Yearling Steer,400+,Processor,B,2,6,NQ,370.0,382.0,378.6666666666667,NQ,637.9,682.1,672.4,1628.0,1757.2,1704.1999918619792
Yearling Steer,400+,Processor,B,3,16,14,403.0,436.0,424.125,23.1,694.8,751.7,731.2,1712.8,1971.3,1912.8875122070312
Yearling Steer,400+,Processor,C,2,4,3,333.0,370.0,350.25,10.3,616.7,685.2,648.6,1415.3,1757.5,1534.8125
Yearling Steer,400+,Processor,C,3,3,-8,340.0,378.0,365.3333333333333,-22.7,618.2,687.3,664.2,1445.0,1795.5,1678.6666666666667
Yearling Steer,400+,Processor,D,3,1,-2,340.0,340.0,340,-15.0,641.5,641.5,641.5,1564.0,1564.0,1564
Yearling Steer,400+,Restocker,C,2,6,5,344.0,355.0,347.6666666666667,-14.3,637.0,657.4,643.8,1597.5,1634.0,1621.8333333333333
Yearling Steer,400+,Restocker,D,2,3,NQ,283.0,283.0,283,NQ,554.9,554.9,554.9,1245.2,1245.2,1245.199951171875
Yearling Heifer,200-280,Restocker,D,1,1,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,784.0,784.0,784
Yearling Heifer,280-330,Feeder,D,2,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,992.0,992.0,992
Yearling Heifer,280-330,Processor,D,1,13,NQ,272.0,272.0,272,NQ,544.0,544.0,544.0,816.0,816.0,816
