Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,D,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,924.0,924.0,924
Yearling Steer,280-330,Restocker,C,2,2,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,990.0,990.0,990
Yearling Steer,280-330,Restocker,D,1,1,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,828.8,828.8,828.75
Yearling Steer,280-330,Restocker,D,2,1,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1040.0,1040.0,1040
Yearling Steer,330-400,Feeder,B,2,5,NQ,290.0,320.0,301,NQ,517.9,571.4,537.5,1044.0,1216.0,1090.1
Yearling Steer,330-400,Feeder,C,2,17,4,300.0,330.0,318.7647058823529,-6.2,555.6,611.1,590.3,1140.0,1260.0,1192.7058823529412
Yearling Steer,330-400,Feeder,D,2,2,-3,300.0,300.0,300,10.0,576.9,576.9,576.9,1200.0,1200.0,1200
Yearling Steer,330-400,Restocker,C,2,6,-1,310.0,333.0,324.8333333333333,0.5,563.6,616.7,599.8,1085.0,1265.4,1197.5333658854167
Yearling Steer,330-400,Restocker,D,2,1,-5,230.0,230.0,230,-43.3,442.3,442.3,442.3,828.0,828.0,828
Yearling Steer,400+,Feeder,B,2,12,NQ,335.0,337.0,336.1666666666667,NQ,587.7,601.8,595.9,1432.3,1541.0,1477.5625
Yearling Steer,400+,Feeder,C,2,14,5,315.0,336.0,327.5,-5.2,583.3,622.2,606.5,1323.0,1478.4,1423.9857003348213
Yearling Steer,400+,Feeder,C,3,5,-1,335.0,335.0,335,-1.0,609.1,609.1,609.1,1423.8,1423.8,1423.75
Yearling Steer,400+,Processor,B,3,6,NQ,345.0,370.0,352.5,NQ,594.8,637.9,607.8,1518.0,1665.0,1638.8333333333333
Yearling Steer,400+,Processor,C,3,13,12,339.0,355.0,345.2307692307692,15.2,607.1,645.5,623.4,1445.0,1779.8,1592.3076923076924
Yearling Steer,400+,Processor,D,2,2,NQ,294.0,310.0,302,NQ,554.7,584.9,569.8,1317.5,1396.5,1357
Yearling Steer,400+,Processor,D,3,1,NC,310.0,310.0,310,10.0,574.1,574.1,574.1,1395.0,1395.0,1395
