Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 17/12/2024
Comparison Date: 10/12/2024
Total Yarding: 2128 (-767)
Commentary
"There were approximately 1,730 export and 400 young cattle penned representing a decrease of 770 head week-on-week. The regular buying group was present and joined by a couple of domestic processors in a cheaper market in places. Quality was very good in the trade and limited in the grown. Well finished trade cattle sold firm while secondary lots eased on some sales. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers held firm. Heavy grown heifers lifted 14c/kg. Cows sold 5c to 10c/kg cheaper across all grades. Heavy bulls lost 10c/kg. 

Vealers sold from 290c to 370c/kg. Yearling trade steers made between 315c and 380c/kg. Yearling heifers to the trade sold between 295c and 370c/kg. Grown steers made from 334c to 360c/kg. Bullocks sold from 334c to 366c/kg. Heavy grown heifers with finish made between 320c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 272c and 320c with the crossbred portion between 278c and 350c/kg. Most light and medium weight cows made from 200c to 270c/kg. Heavy weight cows sold mostly from 240c to 304c/kg. Heavy bulls made between 230c and 280c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,D,1,2,NQ,230.0,230.0,230,NQ,460.0,460.0,460.0,759.0,759.0,759
Yearling Steer,280-330,Restocker,D,2,2,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,966.9,966.9,966.9000244140625
Yearling Steer,330-400,Restocker,C,2,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1116.0,1116.0,1116
Yearling Steer,330-400,Restocker,D,2,2,-3,280.0,280.0,280,35.0,538.5,538.5,538.5,1036.0,1036.0,1036
Yearling Steer,400+,Feeder,C,2,6,-3,320.0,320.0,320,-11.7,592.6,592.6,592.6,1360.0,1360.0,1360
Yearling Steer,400+,Processor,B,2,3,-1,315.0,315.0,315,-16.0,562.5,562.5,562.5,1417.5,1417.5,1417.5
Yearling Steer,400+,Processor,B,3,9,-11,335.0,380.0,357.22222222222223,-1.2,587.7,633.3,612.1,1597.5,1710.0,1667.4222276475693
Yearling Steer,400+,Processor,C,2,10,9,336.0,336.0,336,16.0,622.2,622.2,622.2,1428.0,1428.0,1428
Yearling Steer,400+,Processor,C,3,19,11,325.0,350.0,344.2105263157895,4.0,590.9,629.1,618.1,1430.0,1785.0,1686.9736842105262
Yearling Steer,400+,Processor,D,2,2,NQ,240.0,272.0,256,NQ,461.5,523.1,492.3,1056.0,1156.0,1106
Yearling Steer,400+,Processor,D,3,8,7,290.0,330.0,312.5,12.5,537.0,601.9,577.3,1377.5,1543.8,1469.9375
Yearling Steer,400+,Restocker,C,2,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1317.5,1317.5,1317.5
Yearling Steer,400+,Restocker,D,3,8,NQ,302.0,322.0,317,NQ,569.8,596.3,589.7,1359.0,1529.5,1446.625
Yearling Heifer,280-330,Restocker,D,2,6,NQ,228.0,228.0,228,NQ,456.0,456.0,456.0,684.0,684.0,684
Yearling Heifer,330-400,Processor,D,2,18,10,260.0,280.0,262.22222222222223,-47.8,500.0,538.5,504.3,975.0,1040.0,1014.2777777777778
Yearling Heifer,330-400,Processor,D,3,4,NQ,310.0,338.0,317,NQ,574.1,625.9,587.0,1116.0,1267.5,1184.875
