Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 18/02/2025
Comparison Date: 11/02/2025
Total Yarding: 2823 (-87)
Commentary
"There were approximately 2400 export and 420 young cattle penned representing a decrease of 90 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good in the bullocks while the young cattle were very mixed. Well finished trade cattle sold 10c to 15c/kg dearer and more in places while secondary young lots sold to stronger competition from restockers. Grown steers and bullocks improved slightly. Manufacturing steers gained 10c to 15c/kg. Heavy grown heifers showing good finish lifted 17c/kg. Cows kicked 15c to 30c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 310c to 390c/kg. Yearling trade steers made between 330c and 386c/kg. Yearling heifers to the trade sold between 310c and 375c/kg. Grown steers made from 334c to 382c/kg. Bullocks sold from 356c to 405c/kg. Heavy grown heifers made between 316c and 360c/kg. 

Heavy Friesian manufacturing steers sold between 270c and 330c with the crossbred portion between 305c and 374c/kg. Most light and medium weight cows made from 220c to 288c/kg. Heavy weight cows sold mostly from 270c to 330c/kg. Heavy bulls made between 270c and 330c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,2,1,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,1007.5,1007.5,1007.5
Yearling Steer,280-330,Restocker,D,1,14,13,206.0,206.0,206,-49.0,457.8,457.8,457.8,659.2,659.2,659.1999860491071
Yearling Steer,280-330,Restocker,D,2,3,2,300.0,300.0,300,-20.0,576.9,576.9,576.9,990.0,990.0,990
Yearling Steer,330-400,Dairy,D,1,8,NQ,262.0,262.0,262,NQ,569.6,569.6,569.6,917.0,917.0,917
Yearling Steer,330-400,Feeder,C,2,2,-15,320.0,320.0,320,1.2,592.6,592.6,592.6,1216.0,1216.0,1216
Yearling Steer,330-400,Processor,B,2,1,NQ,350.0,350.0,350,NQ,614.0,614.0,614.0,1330.0,1330.0,1330
Yearling Steer,330-400,Processor,B,3,1,NQ,378.0,378.0,378,NQ,651.7,651.7,651.7,1512.0,1512.0,1512
Yearling Steer,330-400,Processor,C,3,2,NQ,330.0,350.0,340,NQ,600.0,636.4,618.2,1254.0,1400.0,1327
Yearling Steer,330-400,Processor,D,2,4,NQ,285.0,320.0,293.75,NQ,548.1,615.4,564.9,1068.8,1200.0,1101.5625
Yearling Steer,330-400,Restocker,C,2,3,-3,310.0,336.0,318.6666666666667,-6.2,574.1,622.2,590.1,1240.0,1276.8,1252.2666829427083
Yearling Steer,330-400,Restocker,D,2,6,5,284.0,310.0,301.3333333333333,71.3,546.2,596.2,579.5,994.0,1116.0,1075.3333333333333
Yearling Steer,400+,Feeder,D,2,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1364.0,1364.0,1364
