Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 18/03/2025
Comparison Date: 11/03/2025
Total Yarding: 3042 (+708)
Commentary
"There were approximately 2700 export and 340 young cattle penned representing an increase of 700 head week-on-week. The usual buying group was present and operating in a dearer market in places. Quality declined with fewer prime lots, less finish in the trade and a larger proportion of cows. Finished trade cattle eased on some sales with quality an issue while medium weight feeder cattle sold up to 30c/kg dearer. Grown steers to feed gained 13c/kg while bullocks held firm. Heavy heifers eased slightly. Manufacturing steers lifted 5c to 8c/kg. Heavy beef cows sold firm while leaner grades eased 5c to 10c/kg and more on some sales. Heavy bulls lifted 10c/kg. 

Vealers sold from 280c to 394c/kg. Yearling trade steers made between 350c and 395c/kg. Yearling heifers to the trade sold between 310c and 358c/kg. Grown steers made from 340c to 392c/kg. Bullocks sold from 365c to 410c/kg. Heavy grown heifers made between 325c and 370c/kg. 

Most light and medium weight cows sold between 172c and 278c/kg. Heavy weight cows made mostly from 238c to 324c/kg. Heavy bulls sold from 285c to 364c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,8,2,330.0,333.0,331.875,-17.1,611.1,628.3,621.9,1122.0,1248.8,1201.21875
Yearling Steer,330-400,Feeder,D,2,4,-1,302.0,302.0,302,4.0,580.8,580.8,580.8,1117.4,1117.4,1117.4000244140625
Yearling Steer,330-400,Processor,B,3,2,NQ,375.0,375.0,375,NQ,646.6,646.6,646.6,1500.0,1500.0,1500
Yearling Steer,330-400,Processor,C,2,2,-3,340.0,355.0,347.5,11.9,629.6,657.4,643.5,1224.0,1420.0,1322
Yearling Steer,330-400,Processor,C,3,1,-2,355.0,355.0,355,5.0,645.5,645.5,645.5,1420.0,1420.0,1420
Yearling Steer,330-400,Processor,D,1,2,NQ,240.0,240.0,240,NQ,500.0,500.0,500.0,816.0,816.0,816
Yearling Steer,330-400,Processor,D,2,1,-1,322.0,322.0,322,38.0,607.5,607.5,607.5,1288.0,1288.0,1288
Yearling Steer,330-400,Restocker,C,2,1,-1,320.0,320.0,320,-10.0,592.6,592.6,592.6,1280.0,1280.0,1280
Yearling Steer,330-400,Restocker,D,1,4,NQ,260.0,260.0,260,NQ,541.7,541.7,541.7,936.0,936.0,936
Yearling Steer,330-400,Restocker,D,2,5,-12,279.0,320.0,305.8,18.2,547.1,615.4,590.2,976.5,1280.0,1102.3
Yearling Steer,400+,Feeder,B,2,8,NQ,350.0,364.0,353.5,NQ,603.4,627.6,609.5,1487.5,1638.0,1525.125
Yearling Steer,400+,Feeder,C,2,16,3,346.0,373.0,359.5,11.2,640.7,690.7,665.7,1557.0,1865.0,1711
Yearling Steer,400+,Processor,B,2,1,NC,395.0,395.0,395,29.0,658.3,658.3,658.3,2073.8,2073.8,2073.75
Yearling Steer,400+,Processor,C,3,2,-3,356.0,362.0,359,3.0,647.3,658.2,652.7,1538.5,1691.0,1614.75
Yearling Heifer,280-330,Feeder,D,2,5,NC,304.0,304.0,304,10.0,584.6,584.6,584.6,1003.2,1003.2,1003.2
Yearling Heifer,280-330,Processor,D,2,7,6,270.0,310.0,279.14285714285717,-0.9,519.2,596.2,536.8,877.5,1007.5,907.2142857142857
Yearling Heifer,280-330,Processor,E,2,2,NQ,248.0,248.0,248,NQ,516.7,516.7,516.7,744.0,744.0,744
