Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 3256 (-414)
Commentary
"There were approximately 2660 export and 600 young cattle penned representing a decrease of 410 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with plenty of finish throughout. Trade cattle eased 5c to 15c while feeder steers sold close to firm. Grown steers and bullocks sold firm. Heavy Grown heifers lost 17c/kg. Manufacturing steers eased 5c to 10c/kg. Heavy beef cows eased 2c while the remainder of the cows gave back 5c to 10c/kg. Heavy bulls lost 10c/kg. 

Vealers sold from 280c to 388c/kg. Yearling trade steers made between 340c and 385c/kg. Yearling heifers to the trade sold between 310c and 373c/kg. Grown steers made from 344c to 386c/kg. Bullocks sold from 375c to 400c/kg. Heavy grown heifers showing good finish made between 305c and 337c/kg. 

Heavy Friesian manufacturing steers sold between 286c and 320c with the crossbred portion between 306c and 384c/kg. Most light and medium weight cows made from 210c to 296c/kg. Heavy weight cows sold mostly from 250c to 320c/kg. Heavy bulls made mostly between 260c and 312c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,840.0,840.0,840
Yearling Steer,280-330,Restocker,D,2,2,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,819.2,819.2,819.2000122070312
Yearling Steer,330-400,Feeder,C,2,13,10,335.0,339.0,337.46153846153845,-10.9,620.4,627.8,624.9,1256.3,1288.2,1275.9115084134614
Yearling Steer,330-400,Feeder,D,2,4,3,310.0,320.0,317.5,22.5,584.9,603.8,599.1,1178.0,1200.0,1194.5
Yearling Steer,330-400,Processor,B,3,15,NQ,375.0,375.0,375,NQ,646.6,646.6,646.6,1500.0,1500.0,1500
Yearling Steer,330-400,Processor,D,2,14,NQ,274.0,315.0,285.35714285714283,NQ,526.9,605.8,548.0,1041.2,1260.0,1096.75
Yearling Steer,330-400,Restocker,D,2,7,NQ,304.0,304.0,304,NQ,584.6,584.6,584.6,1094.4,1094.4,1094.4000418526787
Yearling Steer,400+,Feeder,B,2,11,NQ,340.0,345.0,344.54545454545456,NQ,607.1,616.1,615.3,1445.0,1552.5,1542.7272727272727
Yearling Steer,400+,Feeder,C,2,31,23,335.0,346.0,340.06451612903226,-2.4,620.4,640.7,629.7,1436.5,1643.5,1528.0967741935483
Yearling Steer,400+,Processor,B,3,3,-19,350.0,385.0,363.3333333333333,-8.2,603.4,641.7,622.6,1562.0,2012.5,1769
Yearling Steer,400+,Processor,C,2,4,NQ,310.0,340.0,330,NQ,574.1,629.6,611.1,1402.5,1700.0,1588.125
Yearling Steer,400+,Processor,C,3,23,15,340.0,355.0,346.7826086956522,-2.0,605.3,645.5,624.6,1518.0,1863.8,1652.0978260869565
Yearling Steer,400+,Processor,D,2,3,NQ,281.0,281.0,281,NQ,540.4,540.4,540.4,1264.5,1264.5,1264.5
Yearling Steer,400+,Processor,D,3,1,NQ,312.0,312.0,312,NQ,577.8,577.8,577.8,1482.0,1482.0,1482
Yearling Steer,400+,Restocker,C,2,18,NQ,335.0,340.0,337.77777777777777,NQ,620.4,629.6,625.5,1423.8,1700.0,1577.2222222222222
