Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,1,NQ,284.0,284.0,284,NQ,525.9,525.9,525.9,710.0,710.0,710
Yearling Steer,280-330,Feeder,B,2,3,NQ,336.0,338.0,337.3333333333333,NQ,579.3,603.6,595.5,1014.0,1108.8,1045.6000162760417
Yearling Steer,280-330,Processor,D,2,1,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1089.0,1089.0,1089
Yearling Steer,280-330,Restocker,C,2,6,NQ,304.0,310.0,307.6666666666667,NQ,573.6,581.1,578.7,1001.0,1007.5,1002.4500020345052
Yearling Steer,280-330,Restocker,D,1,6,NQ,310.0,310.0,310,NQ,645.8,645.8,645.8,1023.0,1023.0,1023
Yearling Steer,330-400,Feeder,C,2,7,-1,320.0,355.0,350,18.1,592.6,657.4,648.1,1184.0,1420.0,1386.2857142857142
Yearling Steer,330-400,Feeder,D,2,1,-3,310.0,310.0,310,8.0,596.2,596.2,596.2,1054.0,1054.0,1054
Yearling Steer,330-400,Processor,C,2,3,1,330.0,340.0,336.6666666666667,-10.8,611.1,629.6,623.5,1254.0,1292.0,1279.3333333333333
Yearling Steer,330-400,Processor,C,3,3,2,340.0,386.0,358.6666666666667,3.7,618.2,689.3,647.9,1360.0,1544.0,1434.6666666666667
Yearling Steer,330-400,Processor,D,2,2,1,320.0,320.0,320,-2.0,603.8,603.8,603.8,1200.0,1200.0,1200
Yearling Steer,330-400,Processor,D,3,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1360.0,1360.0,1360
Yearling Steer,330-400,Restocker,C,2,3,2,310.0,340.0,326.6666666666667,6.7,574.1,629.6,604.9,1054.0,1292.0,1194.5
Yearling Steer,330-400,Restocker,D,2,1,-4,290.0,290.0,290,-15.8,557.7,557.7,557.7,1044.0,1044.0,1044
Yearling Steer,400+,Feeder,C,2,14,-2,336.0,370.0,365.14285714285717,5.6,622.2,698.1,687.3,1512.0,1757.5,1722.4285714285713
Yearling Steer,400+,Processor,B,2,2,1,350.0,365.0,357.5,-37.5,625.0,651.8,638.4,1575.0,1679.0,1627
Yearling Steer,400+,Processor,B,3,14,NQ,370.0,422.0,395.07142857142856,NQ,649.1,703.3,676.8,1572.5,2004.5,1849.267857142857
