Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2567 (-689)
Commentary
"There were approximately 2060 export and 500 young cattle penned representing a decrease of 690 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with a large proportion of the yarding carrying plenty of finish. Trade cattle sold firm to 4c/kg easier. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers gave back 4c to 6c/kg. Heavy heifers eased 3c/kg. Cows eased 5c to 15c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 297c to 380c/kg. Yearling trade steers made between 330c and 375c/kg. Yearling heifers to the trade sold between 310c and 376c/kg. Grown steers made from 330c to 388c/kg. Bullocks sold from 348c to 396c/kg. 

Heavy Friesian manufacturing steers made between 250c and 325c with the crossbred portion between 300c and 374c/kg. Most light and medium weight cows sold between 200c and 272c/kg. Heavy weight cows made mostly from 234c to 302c/kg. Heavy bulls sold from 275c to 320c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,1,NQ,314.0,314.0,314,NQ,581.5,581.5,581.5,879.2,879.2,879.2000122070312
Yearling Steer,280-330,Restocker,C,2,3,NQ,280.0,310.0,300,NQ,518.5,574.1,555.6,924.0,930.0,928
Yearling Steer,330-400,Feeder,C,2,8,-5,338.0,338.0,338,0.5,625.9,625.9,625.9,1284.4,1284.4,1284.4000244140625
Yearling Steer,330-400,Processor,B,2,5,NQ,340.0,340.0,340,NQ,596.5,596.5,596.5,1292.0,1292.0,1292
Yearling Steer,330-400,Processor,B,3,13,-2,368.0,375.0,371.7692307692308,-3.2,625.0,634.5,629.4,1251.2,1425.0,1344.7845928485576
Yearling Steer,330-400,Processor,C,3,1,NQ,338.0,338.0,338,NQ,614.5,614.5,614.5,1352.0,1352.0,1352
Yearling Steer,330-400,Processor,D,2,3,-11,299.0,310.0,302.6666666666667,17.3,575.0,584.9,578.3,1085.0,1136.2,1119.13330078125
Yearling Steer,330-400,Processor,D,3,3,NQ,332.0,332.0,332,NQ,614.8,614.8,614.8,1328.0,1328.0,1328
Yearling Steer,330-400,Restocker,B,2,4,NQ,330.0,330.0,330,NQ,589.3,589.3,589.3,1320.0,1320.0,1320
Yearling Steer,330-400,Restocker,C,2,20,NQ,318.0,340.0,332.4,NQ,588.9,629.6,615.6,1152.0,1360.0,1295.4650024414063
Yearling Steer,330-400,Restocker,D,2,5,-2,310.0,320.0,318,14.0,596.2,615.4,611.5,1152.0,1178.0,1157.2
Yearling Steer,400+,Processor,B,2,1,NQ,332.0,332.0,332,NQ,582.5,582.5,582.5,1460.8,1460.8,1460.800048828125
Yearling Steer,400+,Processor,B,3,3,NC,350.0,355.0,352.3333333333333,-11.0,586.7,603.4,593.9,1575.0,1775.0,1703.3333333333333
Yearling Steer,400+,Processor,C,3,2,-21,340.0,340.0,340,-6.8,607.1,607.1,607.1,1530.0,1530.0,1530
Yearling Steer,400+,Restocker,C,2,30,12,325.0,360.0,347,9.2,601.9,666.7,642.6,1443.2,1625.0,1541.5199869791666
Yearling Steer,400+,Restocker,C,3,7,NQ,336.0,336.0,336,NQ,610.9,610.9,610.9,1428.0,1428.0,1428
