Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,16,5,240.0,366.0,340.125,113.0,444.4,677.8,629.9,624.0,1024.8,898.3500061035156
Yearling Steer,280-330,Restocker,C,2,27,23,314.0,364.0,342.2962962962963,72.3,581.5,674.1,633.9,942.0,1201.2,1056.3036883318866
Yearling Steer,330-400,Restocker,C,2,16,11,276.0,350.0,324.375,96.4,511.1,648.1,600.7,993.6,1268.2,1143.5812377929688
Yearling Steer,400+,Feeder,C,3,1,NQ,308.0,308.0,308,NQ,560.0,560.0,560.0,1478.4,1478.4,1478.4000244140625
Yearling Heifer,200-280,Processor,C,2,7,2,232.0,234.0,233.42857142857142,48.0,437.7,441.5,440.4,638.0,655.2,651.942853655134
Yearling Heifer,200-280,Restocker,C,2,5,1,228.0,285.0,249.8,73.8,430.2,537.7,471.3,635.0,798.0,668.960009765625
Yearling Heifer,280-330,Processor,C,2,4,-8,220.0,270.0,236.5,81.5,415.1,509.4,446.2,649.8,864.0,722.3999938964844
Yearling Heifer,280-330,Processor,C,3,2,-2,275.0,275.0,275,72.5,518.9,518.9,518.9,825.0,825.0,825
Yearling Heifer,280-330,Restocker,C,2,14,8,255.0,298.0,278.14285714285717,104.1,481.1,562.3,524.8,765.0,894.0,834.4285714285714
Yearling Heifer,330-400,Processor,C,2,3,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,900.0,900.0,900
Yearling Heifer,330-400,Restocker,C,2,2,-2,292.0,292.0,292,56.0,550.9,550.9,550.9,1022.0,1022.0,1022
Vealer Steer,0-200,Restocker,C,2,6,-22,324.0,346.0,342.3333333333333,139.3,600.0,640.7,634.0,615.6,692.0,661.9666748046875
Vealer Steer,0-200,Restocker,C,3,4,NQ,218.0,218.0,218,NQ,411.3,411.3,411.3,348.8,348.8,348.79998779296875
Vealer Steer,200-280,Restocker,C,2,124,-63,280.0,400.0,346.0241935483871,95.2,518.5,740.7,640.8,660.0,1028.5,830.0491884293094
Vealer Steer,280-330,Restocker,C,2,1,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1088.0,1088.0,1088
Vealer Heifer,0-200,Restocker,C,2,13,-5,202.0,224.0,213.53846153846155,50.9,381.1,422.6,402.9,319.0,404.0,397.09232271634613
Vealer Heifer,200-280,Processor,C,2,4,-48,262.0,262.0,262,95.3,494.3,494.3,494.3,576.4,576.4,576.4000244140625
Vealer Heifer,200-280,Processor,C,3,6,NQ,302.0,302.0,302,NQ,559.3,559.3,559.3,845.6,845.6,845.5999348958334
Vealer Heifer,200-280,Restocker,C,2,57,-108,244.0,300.0,269.36842105263156,77.1,460.4,566.0,508.2,539.0,750.0,647.2350967139529
Vealer Heifer,280-330,Restocker,C,2,6,-14,302.0,306.0,304,77.5,569.8,577.4,573.6,921.1,933.3,927.199951171875
Grown Steer,400-500,Feeder,C,2,6,4,306.0,306.0,306,70.0,566.7,566.7,566.7,1315.8,1315.8,1315.800048828125
Grown Steer,600-750,Processor,C,4,6,3,257.0,281.0,261,17.0,475.9,510.9,481.8,1714.1,1788.7,1776.2832641601562
Grown Heifer,0-540,Processor,C,2,5,4,222.0,244.0,232.4,62.4,418.9,460.4,440.1,843.6,1098.0,987.5999877929687
Grown Heifer,0-540,Processor,C,3,12,5,226.0,270.0,249.08333333333334,53.9,426.4,500.0,464.0,949.2,1296.0,1164.4916687011719
Cows,0-400,Processor,D,2,8,2,158.0,191.0,182.625,56.0,376.2,424.4,412.1,600.4,764.0,722.6000061035156
Cows,400-520,Processor,D,2,18,-61,194.0,218.0,204.61111111111111,51.0,431.1,484.4,454.1,868.6,981.0,914.5583326551649
Cows,400-520,Processor,D,3,33,10,219.0,234.0,229.78787878787878,50.8,456.0,497.9,479.7,985.5,1185.6,1063.69999926018
Cows,400-520,Processor,D,4,15,4,188.0,247.0,232,29.9,417.8,484.3,463.6,846.0,1258.4,1183.8433430989583
Cows,520+,Dairy,D,2,10,9,180.0,204.0,191.6,35.6,400.0,453.3,425.8,1044.0,1326.0,1208.52001953125
Cows,520+,Processor,D,4,42,20,230.0,248.0,243.64285714285714,39.9,460.0,496.0,482.7,1260.0,1560.0,1367.8380969819568
Bulls,450-600,Processor,C,2,1,-5,202.0,202.0,202,60.5,374.1,374.1,374.1,1111.0,1111.0,1111
Bulls,600+,Processor,B,2,4,-1,230.0,238.0,234.25,36.7,418.2,440.7,429.9,1684.8,2115.0,1884.9500122070312
