Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,4,NQ,332.0,332.0,332,NQ,638.5,638.5,638.5,1049.1,1049.1,1049.1199951171875
Yearling Steer,330-400,Feeder,C,2,12,NQ,335.0,340.0,335.8333333333333,NQ,644.2,653.8,645.8,1139.0,1275.0,1161.6666666666667
Yearling Steer,330-400,Feeder,C,3,1,NQ,400.0,400.0,400,NQ,769.2,769.2,769.2,1400.0,1400.0,1400
Yearling Steer,330-400,Processor,C,2,5,-3,350.0,355.0,352,-50.4,673.1,682.7,676.9,1331.3,1400.0,1372.5
Yearling Steer,330-400,Processor,C,3,11,9,382.0,425.0,415.1818181818182,90.2,734.6,817.3,798.4,1432.5,1615.0,1568.5227272727273
Yearling Steer,400+,Feeder,C,2,17,11,322.0,398.0,355.52941176470586,0.5,619.2,765.4,683.7,1369.5,2089.5,1722.3317727481617
Yearling Steer,400+,Feeder,C,3,6,-2,385.0,385.0,385,35.0,740.4,740.4,740.4,1963.5,1963.5,1963.5
Yearling Steer,400+,Processor,C,2,1,-19,355.0,355.0,355,-20.6,682.7,682.7,682.7,1775.0,1775.0,1775
Yearling Steer,400+,Processor,C,3,33,24,380.0,432.0,413.57575757575756,20.2,730.8,830.8,795.3,1824.0,2223.6,2051.2454723011365
Yearling Steer,400+,Processor,D,3,12,NQ,408.0,408.0,408,NQ,627.7,627.7,627.7,1978.8,1978.8,1978.8001302083333
Yearling Heifer,200-280,Feeder,C,2,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,868.0,868.0,868
Yearling Heifer,280-330,Processor,C,2,16,10,270.0,318.0,294,-42.7,519.2,611.5,565.4,837.0,954.0,895.5
Yearling Heifer,280-330,Processor,C,3,1,-4,335.0,335.0,335,-29.0,644.2,644.2,644.2,1078.7,1078.7,1078.699951171875
