Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 692 (-524)
Commentary
"Numbers almost halved for a total yarding of 692, fair to good quality cattle.  There were some good lines of well-bred yearling heifers, attracting strong competition from both the restockers and feedlot buyers, along with a few runs of prime yearlings. There was a limited supply of grown cattle and 105 cows. Yearling heifers were dearer, and all other categories sold for cheaper trends.

Yearlings to suit the trade made from 260c to 412c/kg. Feeder steers were up to 30c cheaper on last week’s higher prices, selling from 280c to 358c/kg. Heifers over 400kg to feed lifted 5c, averaging 298c, and those returning to the paddock were considerably dearer, reaching 322c/kg. Weaners were cheaper, quality related, with the steers ranging from 270c to 398c, and the heifers made from 210c to 270c/kg. 

Heavy grown steers topped at 338c, and the best heifers made 316c/kg. 3 and 4 score cows slipped 8c, selling from 260c to 288c/kg. Heavy bulls to process topped at 311c/kg. 
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,2,44,-34,301.0,336.0,328.3636363636364,-31.5,547.3,610.9,589.7,1113.7,1306.5,1260.1704545454545
Yearling Steer,330-400,Processor,B,3,2,-4,384.0,412.0,398,-28.3,662.1,686.7,674.4,1478.4,1545.0,1511.7000122070312
Yearling Steer,330-400,Processor,C,3,6,NQ,322.0,366.0,338.5,NQ,585.5,642.1,607.8,1180.8,1382.5,1252.0750122070312
Yearling Steer,330-400,Restocker,C,2,34,-5,290.0,328.0,314.3235294117647,-8.2,537.0,596.4,573.5,1098.0,1212.8,1153.2632266773896
Yearling Steer,400+,Feeder,C,2,21,-70,280.0,358.0,327.3333333333333,-34.6,518.5,628.1,587.8,1330.0,1534.5,1406.4880952380952
Yearling Steer,400+,Processor,B,3,2,NQ,360.0,360.0,360,NQ,620.7,620.7,620.7,1728.0,1728.0,1728
