Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 12/02/2025
Comparison Date: 05/02/2025
Total Yarding: 768 (+76)
Commentary
"Prime vealers reaching 460c, and high yielding yearlings to process, topping at 456c/kg, were the highlights of the 773 good to outstanding cattle, a slight increase on last week’s sale. There were some good runs of feeder steers, along with some well-bred yearling heifers suiting both the feedlot buyers and the restockers. There was an increased number of grown cattle and 90.cows.  There was strong competition from all the usual buyers, along with extra restocker interest, selling to a considerably dearer market.

Yearlings to suit the trade lifted 20c, selling from 280c to 456c/kg. Feeder steers were 25c better, making from 313c to 370c/kg. Yearling heifers to feed up to 20c dearer, averaging 318c, and those returning to the paddock topped at 347c/kg. Weaner steers jumped 60c, selling from 290c to 456c, and the heifer portion were up to 80c better, ranging from 246c to 394c/kg.

Heavy grown steers lifted 10c, making from 310c to 355c, and grown heifers were price unchanged, selling from 284c to 333c/kg. Heavy prime cows were 12c better, topping at 304c/kg. The best heavy weight bull to process made 313c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,3,NQ,313.0,313.0,313,NQ,558.9,558.9,558.9,1017.3,1017.3,1017.25
Yearling Steer,330-400,Feeder,B,2,1,NQ,378.0,378.0,378,NQ,640.7,640.7,640.7,1304.1,1304.1,1304.0999755859375
Yearling Steer,330-400,Feeder,C,2,48,4,320.0,370.0,354.2916666666667,25.9,581.8,660.7,636.6,1165.8,1443.0,1369.1000061035156
Yearling Steer,330-400,Feeder,D,2,2,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1102.0,1102.0,1102
Yearling Steer,330-400,Processor,B,3,9,7,420.0,456.0,436.44444444444446,38.4,700.0,747.5,722.0,1491.0,1778.4,1593.8889295789932
Yearling Steer,330-400,Processor,C,3,7,1,336.0,366.0,351.57142857142856,13.1,600.0,642.1,621.3,1209.6,1441.8,1270.9071044921875
