Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 15/01/2025
Comparison Date: 08/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers doubled, and the market remained strong for the 1547 fair to good quality cattle. Young cattle returning to the paddock made up half of the offering. The weaner steers were up to 20c better, topping at 462c, and the heifer portion reached 364c/kg.
The limited supply of prime yearlings with shape to suit the trade, price unchanged, making from 292c to 436c/kg. Feeder steers were up to 20c cheaper, quality related, selling from 288c to 383c/kg. There was strong competition from both the feedlot buyers and restockers for some outstanding lines of yearling heifers, both averaging 327c/kg.

There were some good runs of heavy grown cattle selling to a dearer trend. Steers making from 294c to 355c, and the heifers made from 272c to 352c/kg. There was a total of 200 cows, with the 2 and 3 scores to process up to 15c dearer, ranging from 240c to 296c, and the heavy prime cows were firm, topping at 312c/kg.  Heavy bulls to process sold from 280c to 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,5,NQ,335.0,383.0,354.2,NQ,609.1,671.9,634.2,1038.5,1225.6,1113.339990234375
Yearling Steer,280-330,Restocker,B,2,1,NQ,400.0,400.0,400,NQ,689.7,689.7,689.7,1320.0,1320.0,1320
Yearling Steer,280-330,Restocker,C,2,12,NQ,290.0,375.0,346.6666666666667,NQ,547.2,681.8,636.9,884.5,1237.5,1119.8333333333333
Yearling Steer,280-330,Restocker,D,2,4,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,915.0,915.0,915
Yearling Steer,330-400,Feeder,B,2,2,NQ,372.0,372.0,372,NQ,641.4,641.4,641.4,1264.8,1264.8,1264.800048828125
Yearling Steer,330-400,Feeder,C,2,53,24,324.0,380.0,357.2830188679245,-1.2,589.1,690.9,647.3,1166.4,1501.0,1354.177365860849
Yearling Steer,330-400,Processor,B,3,3,NC,436.0,436.0,436,4.0,703.2,703.2,703.2,1678.6,1678.6,1678.5999348958333
