Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 19/02/2025
Comparison Date: 12/02/2025
Total Yarding: 1908 (+1140)
Commentary
"High yielding yearling steers reaching 457c, and cows up to 30c/kg dearer, were the highlights of the 1900 mostly good quality cattle, an increase of 1140. There were some good pens of feeder steers, along with some good runs of yearling heifers and some outstanding lines of weaner heifers..There was an increased number of grown cattle and 375 cows. All the usual buyers, with the return of a Southern buyer, resulted in another strong market.

Yearlings to suit the trade lifted 5c, selling from 295c to 457c/kg. Feeder steers were also 5c better, making from 295c to 370c,/kg. Medium weight yearling heifers to feed were up to 8c dearer, averaging 324c, and those returning to the paddock reached 352c/kg. Lightweight weaners suiting the restockers continue to attract strong competition, with the steers ranging from 295c to 480c, and the heifers ranged from 242c to 418c/kg.

Heavy grown cattle were firm to a few cents dearer, with the steers selling from 295c to 350c, and the heifers made from 282c to 330c/kg. Cows were up to 30c dearer, with the 3 scores reaching 315c, and heavy 4 scores made from 298c to 334c/kg. Heavy bulls to process lifted 4c, topping at 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,5,NQ,370.0,370.0,370,NQ,649.1,649.1,649.1,1221.0,1221.0,1221
Yearling Steer,330-400,Feeder,B,2,5,4,370.0,370.0,370,-8.0,649.1,649.1,649.1,1350.5,1350.5,1350.5
Yearling Steer,330-400,Feeder,C,2,50,2,331.0,370.0,359.94,5.6,591.1,660.7,643.2,1290.9,1424.5,1387.10501953125
Yearling Steer,330-400,Feeder,D,2,3,1,285.0,285.0,285,-5.0,537.7,537.7,537.7,1068.8,1068.8,1068.75
Yearling Steer,330-400,Processor,B,3,19,10,404.0,457.0,432.42105263157896,-4.0,662.3,725.4,698.0,1555.4,1772.0,1642.5447291324012
Yearling Steer,330-400,Processor,C,3,7,NC,360.0,390.0,380,28.4,631.6,684.2,660.1,1332.0,1521.0,1439.4285714285713
