Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers remained similar,  for a total yarding of 1547 fair, to outstanding quality cattle. Young cattle suiting the restockers were well supplied, along with a few good pens of feeder steers, and there were some outstanding runs of high yielding yearlings to suit the trade. There were a few good pens of heavy grown cattle, and there were 210 cows. All the usual buyers were operating, selling to a cheaper market.

Prime yearlings were up to 12c cheaper, making from 285c to 436c/kg. Feeder steers slipped 10c overall, despite topping at 418c, to average 348c/kg. Heifers to feed were slightly cheaper, ranging from 285c to 358c, to average 298c/kg.  There was still strong competition for well-bred weaners returning to the paddock, with the steers selling from 296c to  438c, and the heifers sold from 272c to 440c/kg.

Heavy grown steers were back 10c, making from 290c to 346c, and grown heifers, price unchanged, made from 275c to 344c/kg. Lighter and leaner cows were firm to few cents better, to average 250c, and heavy 3 and 4 score cows slipped 8c, selling from 265c to 313c/kg. There were 60 bulls to process, ranging from 240c to 320c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,3,NQ,350.0,350.0,350,NQ,636.4,636.4,636.4,647.5,647.5,647.5
Yearling Steer,280-330,Feeder,B,2,6,NQ,412.0,416.0,414,NQ,686.7,693.3,690.0,1331.2,1359.6,1345.3999430338542
Yearling Steer,280-330,Feeder,C,2,3,-2,344.0,344.0,344,-10.2,625.5,625.5,625.5,1118.0,1118.0,1118
Yearling Steer,280-330,Processor,B,3,1,NQ,400.0,400.0,400,NQ,666.7,666.7,666.7,1320.0,1320.0,1320
Yearling Steer,280-330,Restocker,C,2,23,11,294.0,364.0,349.39130434782606,2.7,534.5,650.0,624.7,970.2,1201.2,1136.9304358440897
Yearling Steer,280-330,Restocker,D,1,4,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,580.0,580.0,580
