Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,7,NQ,356.0,358.0,356.85714285714283,NQ,628.1,635.7,632.4,1157.0,1181.4,1167.4571707589287
Yearling Steer,330-400,Feeder,C,2,47,-3,328.0,364.0,341.6595744680851,-18.3,596.4,638.6,613.9,1225.0,1384.5,1292.0978536402924
Yearling Steer,330-400,Processor,B,3,1,-18,432.0,432.0,432,-0.4,696.8,696.8,696.8,1512.0,1512.0,1512
Yearling Steer,330-400,Processor,C,2,6,NQ,336.0,342.0,337,NQ,610.7,610.9,610.9,1293.6,1333.8,1300.3000081380208
Yearling Steer,330-400,Processor,C,3,3,-4,353.0,353.0,353,-27.0,630.4,630.4,630.4,1412.0,1412.0,1412
Yearling Steer,330-400,Restocker,C,2,63,41,300.0,370.0,334.95238095238096,5.0,545.5,672.7,609.1,1095.0,1332.0,1229.958720858135
Yearling Steer,400+,Dairy,D,3,6,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1467.8,1467.8,1467.75
Yearling Steer,400+,Feeder,C,2,134,53,285.0,356.0,338.85074626865674,-13.0,527.8,645.5,614.1,1182.8,1811.3,1494.3783505567865
Yearling Steer,400+,Processor,C,2,45,NQ,346.0,360.0,352.0444444444444,NQ,617.9,642.9,633.6,1418.6,1655.4,1465.8066840277777
Yearling Steer,400+,Processor,C,3,8,-2,355.0,358.0,355.75,-3.8,633.9,650.9,641.1,1473.3,1650.8,1576.5437622070312
Yearling Steer,400+,Restocker,C,2,10,-11,313.0,328.0,326.5,-15.4,579.6,596.4,594.7,1298.9,1541.6,1517.3349365234376
Yearling Heifer,200-280,Restocker,C,2,3,NQ,305.0,305.0,305,NQ,554.5,554.5,554.5,838.8,838.8,838.75
Yearling Heifer,280-330,Feeder,C,2,4,-10,346.0,346.0,346,32.0,629.1,629.1,629.1,1124.5,1124.5,1124.5
Yearling Heifer,280-330,Feeder,D,2,2,NQ,246.0,246.0,246,NQ,455.6,455.6,455.6,738.0,738.0,738
Yearling Heifer,280-330,Processor,B,3,2,NQ,376.0,376.0,376,NQ,659.6,671.4,665.5,1222.0,1222.0,1222
Yearling Heifer,330-400,Feeder,C,2,39,-22,280.0,342.0,318.7435897435897,-5.0,518.5,621.8,580.5,1005.0,1333.8,1175.8666741786858
Yearling Heifer,330-400,Feeder,D,2,3,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1008.0,1008.0,1008
Yearling Heifer,330-400,Processor,B,3,4,NQ,364.0,390.0,377,NQ,638.6,661.0,649.8,1437.8,1560.0,1498.9000244140625
Yearling Heifer,330-400,Processor,C,3,3,-11,344.0,358.0,353.3333333333333,10.0,614.3,639.3,631.0,1307.2,1432.0,1390.3999837239583
Yearling Heifer,330-400,Processor,C,4,1,NQ,298.0,298.0,298,NQ,541.8,541.8,541.8,1162.2,1162.2,1162.199951171875
Yearling Heifer,330-400,Processor,D,3,2,-1,270.0,270.0,270,-23.3,509.4,509.4,509.4,1012.5,1012.5,1012.5
Yearling Heifer,330-400,Restocker,C,2,43,-3,322.0,329.0,325.93023255813955,-15.8,585.5,601.9,596.2,1135.1,1279.2,1221.5174418604652
Yearling Heifer,330-400,Restocker,D,2,5,1,265.0,265.0,265,25.0,500.0,500.0,500.0,940.8,940.8,940.75
Yearling Heifer,400+,Feeder,C,2,34,-55,316.0,330.0,327.1764705882353,1.3,574.5,600.0,594.9,1279.8,1548.5,1378.7705867991729
Yearling Heifer,400+,Feeder,D,2,1,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1204.0,1204.0,1204
Yearling Heifer,400+,Processor,B,3,1,-1,364.0,364.0,364,-4.0,638.6,638.6,638.6,1601.6,1601.6,1601.5999755859375
Yearling Heifer,400+,Processor,C,3,2,-12,302.0,302.0,302,-23.6,559.3,559.3,559.3,1374.1,1374.1,1374.0999755859375
Yearling Heifer,400+,Restocker,C,2,34,30,287.0,328.0,320.3235294117647,-4.7,531.5,596.4,584.1,1305.8,1543.8,1361.8779584099266
Vealer Steer,0-200,Restocker,C,2,24,-33,440.0,458.0,445.25,-1.0,800.0,832.7,809.5,704.0,770.0,738.3291625976562
Vealer Steer,200-280,Restocker,B,2,2,-1,498.0,498.0,498,92.0,803.2,803.2,803.2,1045.8,1045.8,1045.800048828125
Vealer Steer,200-280,Restocker,C,2,62,-72,370.0,447.0,413.3709677419355,-19.7,660.7,784.2,737.8,798.0,1251.6,1056.164535030242
Vealer Steer,280-330,Processor,B,3,1,NQ,374.0,374.0,374,NQ,644.8,644.8,644.8,1084.6,1084.6,1084.5999755859375
