Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mount Barker
Report Date: 06/02/2025
Comparison Date: 
Total Yarding: 1347 (NQ)
Commentary
"Numbers were down for a total yarding of 1347 mainly good quality weaner calves. Steer calf numbers were dominated by heavy weights with prices trending up 5c/kg. Lighter weight steer calves eased on last week with background and restocker buyers selective. Heavy weight heifer calves gained with demand while medium weights remained firm and light weight heifers eased 10c/kg.

Weaner steers weighing over 380kg sold from 290c to 344c while weights from 330 to 380kg made 264c to 350c and lighter weights under 330kg returned 262c to 336c quality dependent.

Weaner heifers weighing over 380kg reached 258c to 282c while weights from 330kg to 380kg sold from 242c to 284c /kg. Lighter weight calves under 330kg made from 140c to 268c /kg.

Tracey Kilner--NLRS"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,0-200,Restocker,C,2,7,NQ,276.0,276.0,276,NQ,613.3,613.3,613.3,474.7,474.7,474.72000558035717
Vealer Steer,200-280,Restocker,C,2,65,NQ,262.0,316.0,293.44615384615383,NQ,524.0,632.0,592.1,610.4,853.2,746.6953913762019
Vealer Steer,200-280,Restocker,C,3,18,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,846.3,846.3,846.2999674479166
Vealer Steer,280-330,Feeder,B,3,17,NQ,322.0,322.0,322,NQ,619.2,619.2,619.2,988.5,988.5,988.5399816176471
Vealer Steer,280-330,Feeder,C,3,74,NQ,300.0,336.0,318.9189189189189,NQ,576.9,646.2,613.3,942.0,1078.8,1015.5002771326014
Vealer Steer,280-330,Live Export,B,2,12,NQ,262.0,262.0,262,NQ,524.0,524.0,524.0,749.3,749.3,749.3199869791666
Vealer Steer,280-330,Restocker,B,2,16,NQ,290.0,292.0,290.75,NQ,580.0,584.0,581.5,841.0,867.1,857.2975158691406
Vealer Steer,280-330,Restocker,B,3,47,NQ,284.0,318.0,307.1914893617021,NQ,546.2,611.5,590.8,846.3,985.8,931.7148956948138
Vealer Steer,280-330,Restocker,C,2,19,NQ,264.0,280.0,270.42105263157896,NQ,528.0,560.0,540.8,747.1,798.0,778.22314453125
Vealer Steer,280-330,Restocker,C,3,64,NQ,286.0,342.0,314.40625,NQ,550.0,657.7,604.6,812.2,1121.8,974.137809753418
Vealer Steer,330+,Feeder,B,3,117,NQ,300.0,350.0,329.4188034188034,NQ,566.0,673.1,628.7,1111.3,1353.6,1233.9187950721155
Vealer Steer,330+,Feeder,C,3,310,NQ,264.0,340.0,322.60322580645163,NQ,498.1,650.0,615.7,971.5,1359.0,1202.073396547379
Vealer Steer,330+,Restocker,C,3,6,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1079.5,1079.5,1079.52001953125
Vealer Heifer,0-200,Restocker,C,2,19,NQ,140.0,162.0,152.73684210526315,NQ,291.7,337.5,318.2,273.0,277.0,275.3273668791118
Vealer Heifer,200-280,Live Export,C,2,54,NQ,210.0,230.0,221.66666666666666,NQ,420.0,460.0,446.4,545.6,634.8,578.6814778645834
Vealer Heifer,200-280,Restocker,B,2,5,NQ,130.0,130.0,130,NQ,288.9,288.9,288.9,289.9,289.9,289.9
Vealer Heifer,200-280,Restocker,B,3,14,NQ,194.0,242.0,228.28571428571428,NQ,373.1,465.4,439.0,521.9,667.9,626.1885463169643
Vealer Heifer,200-280,Restocker,C,2,57,NQ,210.0,248.0,233.89473684210526,NQ,420.0,496.0,467.8,527.1,684.5,631.1775373492325
Vealer Heifer,280-330,Feeder,B,3,14,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,793.6,793.6,793.5999581473214
Vealer Heifer,280-330,Feeder,C,3,48,NQ,246.0,268.0,255.04166666666666,NQ,473.1,515.4,490.5,770.0,873.7,806.3870798746744
Vealer Heifer,280-330,Live Export,B,2,11,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,590.1,590.1,590.0999644886364
Vealer Heifer,280-330,Live Export,B,3,6,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,648.6,648.6,648.5999755859375
Vealer Heifer,280-330,Live Export,C,2,11,NQ,220.0,240.0,232.72727272727272,NQ,440.0,480.0,465.5,635.8,698.4,675.6363858309659
Vealer Heifer,280-330,Restocker,B,3,28,NQ,240.0,268.0,254,NQ,461.5,515.4,488.5,700.8,876.4,788.5800083705357
Vealer Heifer,280-330,Restocker,C,2,22,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,698.4,775.2,726.3273037997159
Vealer Heifer,280-330,Restocker,C,3,114,NQ,242.0,268.0,253.78947368421052,NQ,465.4,515.4,488.1,720.0,876.4,770.1521060341283
Vealer Heifer,330+,Feeder,B,3,44,NQ,272.0,284.0,282.72727272727275,NQ,513.2,546.2,539.5,1065.0,1144.9,1087.583174272017
Vealer Heifer,330+,Feeder,C,3,90,NQ,242.0,278.0,262.73333333333335,NQ,465.4,534.6,502.7,825.2,1082.6,952.8859809027778
Vealer Heifer,330+,Restocker,B,3,7,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,861.9,861.9,861.9000418526786
Bulls,0-450,Live Export,C,3,14,10,210.0,230.0,227.85714285714286,10.4,396.2,434.0,429.9,632.5,882.0,739.2285853794643
