Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mount Barker
Report Date: 21/02/2025
Comparison Date: 20/02/2025
Total Yarding: 498 (-310)
Commentary
"Numbers were up for a total yarding of 498 mainly good quality cattle. Cows again dominated the yarding with heavy slaughter cows easing 5c while store cows were in demand gaining 10c/kg. Heavy bulls gained as well while a quality yarding of yearlings and grown cattle suitable for processors and feeder buyers gained 5 to 20c/kg.

Yearling steers sold from 306c to 332c while yearling heifers made 256c to 302c/kg.

Bullocks weighing over 500kg sold for 228c to 296c while grown steers weighing under 500kg made 270c to 308c /kg.

Grown heifers weighing under 540kg sold from 250c to 304c while heavier weights made from 240c to 250c/kg.  

Heavy weight cows sold from 180c to 234c, medium weights made 200c to 214c and store cows returned 50c for plain types and up to 220c for the better-quality lines. Heavy bulls sold from 180c to 248c while medium weights returned 220c to 230c/kg.

Tracey Kilner--NLRS"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,3,36,NQ,318.0,332.0,329.8333333333333,NQ,611.5,638.5,634.3,1128.9,1328.0,1289.258327907986
Yearling Steer,330-400,Restocker,C,2,8,NQ,310.0,310.0,310,NQ,620.0,620.0,620.0,1085.0,1085.0,1085
Yearling Steer,400+,Feeder,C,3,61,NQ,306.0,330.0,322.72131147540983,NQ,588.5,634.6,620.6,1372.8,1491.2,1427.2862368724386
Yearling Heifer,330-400,Feeder,C,2,5,NQ,266.0,266.0,266,NQ,532.0,532.0,532.0,909.7,909.7,909.719921875
Yearling Heifer,400+,Feeder,C,3,14,NQ,256.0,302.0,284.57142857142856,NQ,492.3,580.8,547.3,1203.2,1310.4,1249.8400268554688
Grown Steer,400-500,Feeder,C,2,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1269.0,1269.0,1269
Grown Steer,400-500,Feeder,C,3,13,NQ,288.0,308.0,304.3076923076923,NQ,553.8,581.1,575.0,1425.6,1533.8,1512.526113656851
Grown Steer,400-500,Processor,C,3,9,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,1379.5,1379.5,1379.5199652777778
Grown Steer,500-600,Feeder,C,3,2,NQ,228.0,228.0,228,NQ,438.5,438.5,438.5,1208.4,1208.4,1208.4000244140625
Grown Steer,500-600,Processor,C,3,21,NQ,280.0,296.0,285.9047619047619,NQ,538.5,558.5,547.8,1458.6,1755.3,1517.9771205357142
Grown Steer,750+,Processor,C,3,2,NQ,254.0,254.0,254,NQ,479.2,479.2,479.2,2026.9,2026.9,2026.9200439453125
Grown Heifer,0-540,Feeder,C,2,14,NQ,256.0,278.0,265.42857142857144,NQ,512.0,556.0,530.9,921.6,1059.2,980.5628487723214
Grown Heifer,0-540,Feeder,C,3,16,NQ,290.0,304.0,299.5,NQ,557.7,584.6,576.0,1361.6,1517.0,1454.5787200927734
