Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,B,3,5,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,1131.6,1131.6,1131.6
Yearling Steer,400+,Feeder,C,3,27,NQ,300.0,342.0,324.5925925925926,NQ,566.0,657.7,616.6,1335.0,1545.6,1458.8362630208333
Yearling Steer,400+,Restocker,C,3,4,NQ,336.0,336.0,336,NQ,634.0,634.0,634.0,1354.1,1354.1,1354.0799560546875
Yearling Heifer,330-400,Feeder,B,3,6,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1085.0,1085.0,1085
Yearling Heifer,330-400,Feeder,C,3,17,NQ,300.0,328.0,319.52941176470586,NQ,576.9,630.8,612.4,1117.8,1249.4,1197.0070369944854
Yearling Heifer,400+,Feeder,C,3,30,NQ,306.0,314.0,309.26666666666665,NQ,588.5,592.5,591.3,1248.5,1422.4,1329.5566731770834
Yearling Heifer,400+,Processor,C,3,8,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1550.5,1550.5,1550.52001953125
Vealer Steer,200-280,Restocker,B,2,8,NQ,302.0,302.0,302,NQ,604.0,604.0,604.0,794.3,794.3,794.260009765625
Vealer Steer,200-280,Restocker,C,2,33,NQ,260.0,360.0,328.969696969697,NQ,520.0,720.0,657.9,585.0,946.8,808.8169833096591
Vealer Steer,280-330,Feeder,B,3,7,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,986.7,986.7,986.6999860491071
Vealer Steer,280-330,Feeder,C,2,4,NQ,328.0,328.0,328,NQ,656.0,656.0,656.0,1075.8,1075.8,1075.8399658203125
Vealer Steer,280-330,Feeder,C,3,27,NQ,328.0,374.0,346.0740740740741,NQ,630.8,719.2,665.5,1009.8,1219.2,1099.6436631944443
Vealer Steer,280-330,Restocker,B,3,15,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,916.1,968.2,947.35595703125
Vealer Steer,280-330,Restocker,C,2,20,NQ,308.0,330.0,322.3,NQ,616.0,660.0,644.6,964.0,976.8,972.3339599609375
Vealer Steer,280-330,Restocker,C,3,24,NQ,302.0,340.0,323.7083333333333,NQ,580.8,653.8,622.5,869.8,1012.6,928.7475077311198
Vealer Steer,330+,Feeder,B,3,14,NQ,346.0,346.0,346,NQ,652.8,652.8,652.8,1390.9,1411.7,1402.782924107143
Vealer Steer,330+,Feeder,C,3,62,NQ,336.0,376.0,366.06451612903226,NQ,646.2,723.1,702.5,1142.4,1412.8,1290.7751504221271
Vealer Steer,330+,Restocker,B,3,6,NQ,362.0,362.0,362,NQ,683.0,683.0,683.0,1252.5,1252.5,1252.52001953125
Vealer Heifer,200-280,Restocker,B,2,36,NQ,158.0,240.0,187.83333333333334,NQ,329.2,480.0,388.5,360.2,669.6,478.05943467881946
Vealer Heifer,200-280,Restocker,C,2,76,NQ,162.0,286.0,247.05263157894737,NQ,337.5,572.0,495.9,367.7,753.3,635.3744699578536
Vealer Heifer,200-280,Restocker,C,3,37,NQ,288.0,300.0,295.13513513513516,NQ,553.8,576.9,567.6,757.4,828.0,799.3945840371622
Vealer Heifer,280-330,Feeder,B,2,12,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,915.0,915.0,915
Vealer Heifer,280-330,Feeder,C,3,89,NQ,292.0,330.0,312.29213483146066,NQ,561.5,634.6,600.6,928.6,1082.4,993.3653989641854
Vealer Heifer,280-330,Restocker,B,2,35,NQ,220.0,280.0,265.48571428571427,NQ,440.0,560.0,531.0,633.6,820.4,772.3531598772321
Vealer Heifer,280-330,Restocker,C,2,77,NQ,260.0,298.0,283.4025974025974,NQ,520.0,596.0,566.8,761.1,956.1,833.8511439732143
Vealer Heifer,280-330,Restocker,C,3,63,NQ,290.0,314.0,303.4920634920635,NQ,557.7,603.8,583.6,852.5,927.1,886.311755952381
Vealer Heifer,330+,Feeder,B,3,11,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1287.0,1336.5,1309.5
Vealer Heifer,330+,Feeder,C,3,66,NQ,292.0,340.0,324.030303030303,NQ,561.5,653.8,620.5,978.2,1259.1,1155.8060783617425
Vealer Heifer,330+,Restocker,C,3,7,NQ,336.0,336.0,336,NQ,646.2,646.2,646.2,1139.0,1139.0,1139.0400390625
Grown Steer,400-500,Feeder,C,3,5,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1071.8,1071.8,1071.8
Grown Steer,500-600,Feeder,C,3,4,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1512.0,1512.0,1512
Grown Heifer,0-540,Feeder,B,4,2,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1320.0,1320.0,1320
Grown Heifer,0-540,Feeder,C,3,1,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,1383.2,1383.2,1383.199951171875
Grown Heifer,0-540,Restocker,C,3,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1485.0,1485.0,1485
Grown Heifer,540+,Processor,B,4,3,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1688.4,1688.4,1688.4000651041667
Grown Heifer,540+,Processor,C,4,2,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1574.7,1574.7,1574.699951171875
Cows,0-400,Feeder,D,2,7,NQ,120.0,158.0,141.71428571428572,NQ,266.7,351.1,314.9,396.0,630.4,529.9542759486607
Cows,400-520,Feeder,D,2,15,NQ,80.0,220.0,191.2,NQ,166.7,440.0,387.6,338.4,1018.6,871.7733032226563
Cows,400-520,Feeder,D,3,12,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1147.7,1147.7,1147.699951171875
Cows,400-520,Processor,D,2,23,NQ,160.0,208.0,194.17391304347825,NQ,320.0,416.0,388.3,680.0,1014.0,880.1382578974185
Cows,400-520,Processor,D,3,2,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1219.2,1219.2,1219.199951171875
Cows,400-520,Restocker,D,2,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,607.5,607.5,607.5
Cows,520+,Feeder,D,3,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,1391.5,1391.5,1391.5
Cows,520+,Processor,D,3,28,NQ,218.0,246.0,237.71428571428572,NQ,411.3,473.1,455.7,1188.0,1464.1,1309.4535653250557
Cows,520+,Processor,D,4,9,NQ,238.0,248.0,244.66666666666666,NQ,449.1,467.9,461.6,1550.0,1844.5,1595.9444444444443
Cows,520+,Processor,D,5,1,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,1130.5,1130.5,1130.5
Bulls,0-450,Live Export,C,2,3,NQ,220.0,240.0,233.33333333333334,NQ,423.1,461.5,448.7,517.0,672.0,620.3333333333334
Bulls,450-600,Live Export,C,2,3,NQ,218.0,218.0,218,NQ,411.3,411.3,411.3,1013.7,1013.7,1013.7000325520834
Bulls,450-600,Processor,B,3,2,NQ,240.0,240.0,240,NQ,428.6,428.6,428.6,1387.2,1387.2,1387.199951171875
Bulls,600+,Processor,B,3,7,NQ,234.0,250.0,245.71428571428572,NQ,393.3,446.4,432.7,1697.5,2584.2,1885.8714076450892
Bulls,600+,Processor,C,3,7,NQ,208.0,258.0,234.28571428571428,NQ,371.4,444.8,403.9,1300.0,2671.8,2042.7714320591517
