Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Mt Compass
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1407 (+471)
Commentary
"Numbers increased again this week as agents offered 1407 liveweight cattle. The female sell off continues as 519 cows and 340 heifers made up the majority of the offering along with an extremely mixed selection of 500 steers. Score 2, C and D muscle cattle were again over represented as the current seasonal conditions force many to quit light cattle. The usual trade and processor buyers, feeders and restockers again provided steady competition along with a strong feeder order from the North. The better conditioned cattle sold to marginally stronger competition however lighter cattle returned some mixed results with most again easing in price.

Vealer steers sold 10c to 15c dearer as they made from 220c to 361c with vealer heifers mostly firm and fetching 200c to 240c/kg. Yearling steers sold up to 30c/kg dearer as they made from 240c to 345c however the heifer portion lost a similar ammount as they sold from 150c to 293c/kg.

A small selection of manufacturing bullocks sold firm to make from 255c to 340c/kg.
Grown steers gained 10c to 20c/kg to sell from 213c to 351c with grown heifers easing by up to 30c and fetching 220c to 330c/kg. Store buyers pushed light cows up to 20c/kg dearer as beef types sold from 81c to 220c with dairy types fetching 130c to 140c/kg.
Medium weight cows eased 10c to 15c/kg as beef types sold from 151c to 270c with dairy types ranged from 163c to 210c/kg. Heavy beef cows also eased by up to 20c/kg as beef types ranged from 160c to 317c with dairy types fetching 150c to 257c/kg.
Bulls sold from 180c to 280c/kg.

Market reporter: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,2,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,770.0,770.0,770
Yearling Steer,280-330,Pastoral Cattle,C,2,3,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,853.2,853.2,853.2000325520834
Yearling Steer,280-330,Restocker,C,2,41,23,261.0,343.0,308.8536585365854,43.3,522.0,686.0,617.7,830.0,1121.6,994.2970655487804
Yearling Steer,280-330,Restocker,C,3,4,NC,339.0,339.0,339,109.0,678.0,678.0,678.0,1111.9,1111.9,1111.9200439453125
Yearling Steer,330-400,Processor,C,2,1,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,862.5,862.5,862.5
Yearling Steer,330-400,Processor,C,3,6,-2,310.0,333.0,318.8333333333333,9.6,620.0,666.0,637.7,1209.0,1298.7,1248.7333170572917
Yearling Steer,330-400,Restocker,C,2,23,-14,240.0,330.0,304.60869565217394,3.8,480.0,660.0,609.2,850.0,1232.0,1107.158696713655
Yearling Steer,330-400,Restocker,C,3,30,-8,345.0,345.0,345,35.0,690.0,690.0,690.0,1186.8,1186.8,1186.8000651041666
Yearling Steer,400+,Feeder,C,2,2,-16,327.0,327.0,327,30.5,654.0,654.0,654.0,1438.8,1438.8,1438.800048828125
Yearling Steer,400+,Feeder,C,3,3,-11,300.0,300.0,300,2.4,600.0,600.0,600.0,1308.0,1308.0,1308
Yearling Steer,400+,Processor,C,2,1,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,1353.6,1353.6,1353.5999755859375
Yearling Steer,400+,Processor,C,3,5,-1,320.0,339.0,329.6,-9.7,640.0,678.0,659.2,1413.8,1661.1,1517.939990234375
Yearling Steer,400+,Restocker,C,2,1,-2,313.0,313.0,313,6.3,626.0,626.0,626.0,1361.6,1361.6,1361.550048828125
Yearling Steer,400+,Restocker,C,3,5,-1,293.0,323.0,305,-15.0,586.0,646.0,610.0,1230.6,1324.3,1268.07998046875
Yearling Heifer,200-280,Restocker,C,2,2,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,399.0,399.0,399
Yearling Heifer,200-280,Restocker,C,3,7,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,480.6,480.6,480.59999302455356
Yearling Heifer,280-330,Restocker,C,2,37,25,150.0,239.0,227.24324324324326,23.1,300.0,478.0,454.5,430.5,763.8,708.7108187288851
Yearling Heifer,330-400,Processor,C,2,1,NQ,219.0,219.0,219,NQ,438.0,438.0,438.0,854.1,854.1,854.0999755859375
Yearling Heifer,330-400,Processor,C,3,2,NC,250.0,263.0,256.5,-38.5,500.0,526.0,513.0,999.4,1000.0,999.7000122070312
Yearling Heifer,330-400,Restocker,C,2,48,33,180.0,265.0,236.35416666666666,-21.0,360.0,530.0,472.7,612.0,999.3,836.721669514974
Yearling Heifer,330-400,Restocker,C,3,8,5,215.0,253.0,239,-34.3,430.0,506.0,478.0,748.0,950.0,858.4624938964844
Yearling Heifer,400+,Feeder,C,2,2,NQ,260.0,270.0,265,NQ,520.0,540.0,530.0,1066.0,1282.5,1174.25
