Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,13,10,339.0,339.0,339,59.0,678.0,678.0,678.0,823.8,823.8,823.7699819711538
Yearling Steer,330-400,Feeder,C,3,21,NQ,367.0,367.0,367,NQ,734.0,734.0,734.0,1449.7,1449.7,1449.6500186011904
Yearling Steer,330-400,Processor,C,2,3,2,280.0,280.0,280,-50.0,560.0,560.0,560.0,1106.0,1106.0,1106
Yearling Steer,330-400,Restocker,C,2,25,-6,269.0,357.0,322.2,13.5,538.0,714.0,644.4,1016.8,1310.2,1215.566796875
Yearling Steer,330-400,Restocker,C,3,6,-8,319.0,359.0,347,29.3,638.0,718.0,694.0,1100.6,1285.2,1250.0633138020833
Yearling Steer,400+,Feeder,C,2,8,-6,300.0,355.0,342.5,26.9,600.0,710.0,685.0,1320.0,1522.5,1419.9312744140625
Yearling Steer,400+,Feeder,C,3,4,-13,360.0,360.0,360,50.6,720.0,720.0,720.0,1638.0,1638.0,1638
Yearling Steer,400+,Restocker,C,3,2,NQ,341.0,341.0,341,NQ,682.0,682.0,682.0,1415.2,1415.2,1415.1500244140625
Yearling Heifer,280-330,Restocker,C,2,4,-17,239.0,263.0,251,12.9,478.0,526.0,502.0,745.7,860.0,802.8450012207031
Yearling Heifer,330-400,Feeder,C,3,1,NC,287.0,287.0,287,27.0,574.0,574.0,574.0,1061.9,1061.9,1061.9000244140625
Yearling Heifer,330-400,Restocker,C,2,2,-21,243.0,243.0,243,7.8,486.0,486.0,486.0,891.8,891.8,891.8099975585938
Yearling Heifer,330-400,Restocker,C,3,3,-3,259.0,320.0,299.6666666666667,49.2,518.0,640.0,599.3,880.6,1126.4,1044.4666748046875
Yearling Heifer,400+,Feeder,C,2,2,-3,280.0,329.0,304.5,45.5,560.0,658.0,609.0,1232.0,1365.3,1298.6749877929688
Yearling Heifer,400+,Processor,C,2,2,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1290.0,1290.0,1290
Yearling Heifer,400+,Processor,C,3,22,NQ,335.0,339.0,337.54545454545456,NQ,670.0,678.0,675.1,1366.8,1511.9,1459.1618430397727
Vealer Steer,200-280,Restocker,C,2,6,4,329.0,375.0,359.6666666666667,104.7,658.0,750.0,719.3,904.8,918.8,914.0833333333334
Vealer Steer,200-280,Restocker,C,3,12,NQ,261.0,359.0,341.25,NQ,522.0,718.0,682.5,730.8,938.0,904.0958506266276
Vealer Steer,280-330,Processor,C,2,1,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,976.0,976.0,976
Vealer Steer,280-330,Restocker,C,2,5,3,281.0,350.0,322.4,42.4,562.0,700.0,644.8,814.9,1050.0,955.960009765625
Vealer Steer,330+,Restocker,C,3,1,NQ,330.0,330.0,330,NQ,660.0,660.0,660.0,1105.5,1105.5,1105.5
Vealer Heifer,200-280,Restocker,C,2,7,1,240.0,281.0,260.57142857142856,3.2,480.0,562.0,521.1,575.0,702.8,639.0185634068081
Vealer Heifer,200-280,Restocker,C,3,19,14,265.0,285.0,282.89473684210526,49.9,530.0,570.0,565.8,583.0,721.0,706.518400493421
Vealer Heifer,280-330,Restocker,C,2,2,-2,275.0,365.0,320,82.8,550.0,730.0,640.0,825.0,1168.0,996.5
Vealer Heifer,280-330,Restocker,C,3,10,3,261.0,269.0,263.4,28.5,522.0,538.0,526.8,809.1,815.1,810.890966796875
Manufacturing Steer,540+,Dairy,D,2,1,NQ,220.0,220.0,220,NQ,468.1,468.1,468.1,1243.0,1243.0,1243
Manufacturing Steer,540+,Processor,C,3,12,11,220.0,350.0,328.75,38.8,440.0,700.0,657.5,1485.0,2757.1,2316.3958333333335
Grown Steer,0-400,Pastoral Cattle,D,2,4,NQ,273.0,273.0,273,NQ,580.9,580.9,580.9,1078.3,1078.3,1078.3499755859375
Grown Steer,400-500,Feeder,C,2,4,-4,310.0,329.0,314.75,5.4,620.0,658.0,629.5,1429.1,1628.6,1478.9624633789062
Grown Steer,400-500,Feeder,C,3,23,22,331.0,340.0,331.7391304347826,31.7,662.0,680.0,663.5,1447.2,1582.2,1567.4348462975543
Grown Steer,400-500,Processor,C,3,1,-7,340.0,340.0,340,20.0,680.0,680.0,680.0,1598.0,1598.0,1598
Grown Steer,500-600,Dairy,D,2,1,NQ,269.0,269.0,269,NQ,572.3,572.3,572.3,1412.3,1412.3,1412.25
Grown Steer,500-600,Feeder,C,2,9,7,350.0,350.0,350,7.0,700.0,700.0,700.0,1778.0,1778.0,1778
Grown Steer,500-600,Feeder,C,3,10,NQ,330.0,340.0,333,NQ,660.0,680.0,666.0,1749.0,1921.0,1800.6
Grown Steer,500-600,Processor,C,2,1,NC,330.0,330.0,330,20.0,660.0,660.0,660.0,1815.0,1815.0,1815
Grown Steer,500-600,Processor,C,3,18,1,331.0,367.0,353.1111111111111,20.4,662.0,734.0,706.2,1854.0,2059.2,2006.3944363064236
Grown Steer,600-750,Processor,C,3,2,NC,265.0,265.0,265,-75.0,530.0,530.0,530.0,1608.6,1608.6,1608.550048828125
Grown Heifer,0-540,Feeder,C,2,1,-2,261.0,261.0,261,-5.7,522.0,522.0,522.0,1135.3,1135.3,1135.3499755859375
Grown Heifer,0-540,Feeder,D,2,4,3,253.0,267.0,263.5,23.5,538.3,568.1,560.6,1037.3,1084.0,1072.3400268554688
Grown Heifer,0-540,Pastoral Cattle,D,2,63,NQ,200.0,280.0,258.41269841269843,NQ,425.5,595.7,549.8,652.0,1164.8,1026.4254092261904
Grown Heifer,0-540,Processor,C,2,4,NC,259.0,269.0,266.5,-22.8,518.0,538.0,533.0,1217.3,1345.0,1313.0750122070312
Grown Heifer,0-540,Processor,C,3,7,-15,270.0,353.0,307.57142857142856,-9.9,540.0,706.0,615.1,1246.0,1870.9,1526.0571463448662
Grown Heifer,0-540,Processor,D,2,7,NQ,269.0,269.0,269,NQ,572.3,572.3,572.3,1186.3,1186.3,1186.2900390625
Grown Heifer,540+,Processor,C,2,1,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1650.0,1650.0,1650
Grown Heifer,540+,Processor,C,3,12,4,331.0,340.0,333.1666666666667,17.5,662.0,680.0,666.3,1972.0,2186.6,2004.264912923177
Cows,0-400,Dairy,D,2,5,3,143.0,157.0,151.4,-21.1,304.3,334.0,322.1,500.5,546.4,528.0159912109375
Cows,0-400,Feeder,D,2,3,-12,225.0,263.0,248.33333333333334,-12.7,478.7,559.6,528.4,888.8,1038.8,968.066650390625
Cows,0-400,Processor,D,2,7,6,167.0,221.0,213.28571428571428,4.3,355.3,470.2,453.8,601.2,875.2,833.4971313476562
Cows,0-400,Restocker,C,2,1,NQ,223.0,223.0,223,NQ,446.0,446.0,446.0,802.8,802.8,802.7999877929688
Cows,0-400,Restocker,D,2,14,13,169.0,235.0,230.28571428571428,80.3,359.6,500.0,490.0,583.0,923.5,899.2285287039621
Cows,400-520,Dairy,D,2,10,8,140.0,230.0,191.7,-18.3,297.9,489.4,407.9,581.0,1196.0,904.6900146484375
Cows,400-520,Pastoral Cattle,D,2,22,NQ,189.0,257.0,247.72727272727272,NQ,402.1,546.8,527.1,784.3,1048.6,1012.5313831676136
Cows,400-520,Processor,C,2,33,12,207.0,279.0,260.42424242424244,6.2,414.0,558.0,520.8,859.0,1405.3,1210.57607384884
Cows,400-520,Processor,C,3,27,16,263.0,295.0,277.3333333333333,-10.3,526.0,590.0,554.7,1113.8,1513.3,1342.5518391927083
Cows,400-520,Processor,D,2,17,-31,180.0,269.0,249.11764705882354,13.6,383.0,572.3,530.0,729.0,1338.3,1150.9146872127758
Cows,400-520,Restocker,D,2,1,NQ,263.0,263.0,263,NQ,559.6,559.6,559.6,1157.2,1157.2,1157.199951171875
Cows,520+,Dairy,D,2,8,6,200.0,239.0,218,21.5,425.5,508.5,463.8,1124.0,1589.3,1288.7624969482422
Cows,520+,Processor,C,2,33,10,265.0,291.0,276.09090909090907,9.1,530.0,582.0,552.2,1415.1,1708.2,1541.9145655776515
Cows,520+,Processor,C,3,94,47,255.0,351.0,305.9468085106383,11.6,510.0,702.0,611.9,1466.3,2685.1,1920.3399736120346
Cows,520+,Processor,D,2,5,-4,261.0,261.0,261,0.2,555.3,555.3,555.3,1399.0,1399.0,1398.9599609375
Bulls,0-450,Pastoral Cattle,C,2,9,NQ,213.0,213.0,213,NQ,426.0,426.0,426.0,745.5,745.5,745.5
Bulls,0-450,Restocker,C,3,3,NQ,273.0,273.0,273,NQ,546.0,546.0,546.0,559.7,559.7,559.6500244140625
Bulls,450-600,Processor,C,2,3,-1,240.0,273.0,257.3333333333333,6.3,480.0,546.0,514.7,1295.0,1460.6,1394.5166829427083
Bulls,600+,Pastoral Cattle,C,2,3,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,1575.6,1575.6,1575.5999348958333
Bulls,600+,Processor,C,2,3,1,160.0,273.0,224.33333333333334,-33.2,320.0,546.0,448.7,1000.0,2347.8,1739.933349609375
Bulls,600+,Processor,C,3,29,19,240.0,317.0,288.7241379310345,18.6,480.0,634.0,577.4,1622.8,3576.5,2163.7348043507545
