Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 06/01/2025
Comparison Date: 16/12/2024
Total Yarding: 624 (-598)
Commentary
"The first sale for 2025 presented light supplies made up mostly of mixed quality local cattle and very few pastoral stocks.  Local cattle showing good fat cover and weight along with a breeding component were sought after by the reasonably full buying gallery however store cattle lacking condition or breeding or both were difficult to sell.
Vealer steers in store condition or with smaller frames were selling cheap from 80c to 192c however with more weight and better breeding rates improved dramatically to sell from 242c up to 336c/kg. It was a similar story with vealer heifers lacking weight, size or condition ranging from 40c to 158c and with weight and frame sold from 220c to 262c/kg. Store yearling steers again showing poor breeding or condition sold from 50c to 200c and with more weight and fat cover returned 220c to 366c/kg. Lighter yearling heifers sold from 78c to 190c while better heifers sold to a top of 282c/kg.
Grown steers sold well returning 248c to 310c while grown heifers also held firm making 218c to 258c/kg.  Light framed plain cows struggled to attract bids starting from 20c to 100c while bigger framed store condition cows ranged from 132c to 188c and medium to prime cows sold from 192c to 236c/kg. 
Bulls returning to the paddock sold from 50c to 150c while shipping bulls made 180c to 304c and slaughter bulls returned 162c to 216c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,1,1,NQ,52.0,52.0,52,NQ,104.0,104.0,104.0,114.4,114.4,114.4000015258789
Yearling Steer,200-280,Restocker,C,2,3,NQ,70.0,70.0,70,NQ,134.6,134.6,134.6,191.8,191.8,191.80000813802084
Yearling Steer,200-280,Restocker,D,1,1,NQ,50.0,50.0,50,NQ,100.0,100.0,100.0,138.0,138.0,138
Yearling Steer,200-280,Restocker,D,2,1,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,372.0,372.0,372
Yearling Steer,280-330,Feeder,C,3,8,NQ,200.0,292.0,253,NQ,363.6,530.9,460.0,582.0,949.0,790.5850067138672
Yearling Steer,330-400,Feeder,C,3,31,-7,218.0,366.0,329.03225806451616,36.3,411.3,665.5,598.7,754.3,1383.5,1192.8193753150201
Yearling Steer,400+,Feeder,C,3,14,-11,222.0,300.0,281.2857142857143,-2.9,418.9,545.5,512.5,954.6,1359.0,1251.03999546596
Yearling Steer,400+,Processor,C,3,8,NQ,260.0,266.0,264.5,NQ,472.7,483.6,480.9,1201.2,1588.0,1499.115005493164
Yearling Heifer,200-280,Processor,D,2,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,321.6,321.6,321.6000061035156
Yearling Heifer,200-280,Restocker,C,2,6,NQ,78.0,190.0,96.66666666666667,NQ,156.0,380.0,193.3,207.5,524.4,260.3000081380208
Yearling Heifer,200-280,Restocker,D,2,3,NQ,100.0,100.0,100,NQ,200.0,200.0,200.0,241.0,241.0,241
Yearling Heifer,280-330,Feeder,C,3,1,-12,260.0,260.0,260,32.2,500.0,500.0,500.0,764.4,764.4,764.4000244140625
Yearling Heifer,280-330,Processor,C,2,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,579.6,579.6,579.5999755859375
Yearling Heifer,280-330,Processor,D,2,1,NQ,148.0,148.0,148,NQ,296.0,296.0,296.0,417.4,417.4,417.3599853515625
Yearling Heifer,330-400,Feeder,C,3,7,-14,241.0,282.0,263,9.5,463.5,542.3,505.8,853.1,1125.2,967.7028721400669
Yearling Heifer,330-400,Feeder,D,3,2,NQ,150.0,160.0,155,NQ,288.5,307.7,298.1,546.0,630.4,588.2000122070312
Yearling Heifer,330-400,Processor,C,2,1,NQ,176.0,176.0,176,NQ,352.0,352.0,352.0,704.0,704.0,704
Yearling Heifer,400+,Feeder,C,3,4,-21,270.0,270.0,270,17.9,519.2,519.2,519.2,1112.4,1112.4,1112.4000244140625
Yearling Heifer,400+,Processor,C,3,12,-1,228.0,274.0,258.6666666666667,-5.8,438.5,526.9,497.4,1112.4,1117.2,1114.026611328125
Vealer Steer,0-200,Restocker,C,2,3,NQ,110.0,110.0,110,NQ,211.5,211.5,211.5,192.5,192.5,192.5
Vealer Steer,0-200,Restocker,D,2,4,NQ,172.0,172.0,172,NQ,330.8,330.8,330.8,338.8,338.8,338.8399963378906
Vealer Steer,200-280,Feeder,D,2,5,NQ,190.0,192.0,191.2,NQ,358.5,362.3,360.8,499.7,531.8,518.9840087890625
Vealer Steer,200-280,Restocker,C,2,9,5,100.0,242.0,186.44444444444446,-75.6,188.7,465.4,357.2,224.0,628.8,446.1599934895833
Vealer Steer,200-280,Restocker,C,3,12,-31,246.0,280.0,277.1666666666667,-33.4,447.3,509.1,503.9,546.1,747.6,730.8099670410156
Vealer Steer,280-330,Feeder,C,3,23,4,292.0,336.0,318.5217391304348,-16.3,530.9,610.9,579.1,887.7,1068.5,987.9234512992527
Vealer Steer,280-330,Processor,C,3,6,-1,306.0,306.0,306,-4.0,556.4,556.4,556.4,948.6,948.6,948.5999348958334
