Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 10/02/2025
Comparison Date: 03/02/2025
Total Yarding: 1296 (+242)
Commentary
"Numbers were up this week with a high volume of weaners on offer however grown and yearling stock were sparse. Cows were also plentiful and were drafted in large lines often yarded in double pens while Slaughter bulls were in short supply. The buyer gallery had the usual regulars and Live export were active on younger steers, heifers and bulls.
Light weight or plain weaner steers started from 220c to 278c while better steers ranged from 280c to 344c lifting 8/10c/kg.  Weaner heifers also gained 8/10c with light weights selling from 150c to 200c and with better weight and frame sold from 220c to 272c/kg.  The limited yarding of yearlings recorded equal values with steers selling from 160c to 296c depending on quality and yearling heifers returned 200c to 278c/kg.
Grown steers sold from 178c to 300c while grown heifers made 196c to 274c/kg.  Store cows sold from 50c to 200c while medium cows made 190c to 212c and prime cows returned 220c to 252c lifting 5c/kg.
Shipping bulls gained 20c selling from 170c to 342c and the limited supply of Slaughter bulls ranged from 120c to 246c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,3,2,-8,284.0,284.0,284,-26.0,516.4,516.4,516.4,923.0,923.0,923
Yearling Steer,280-330,Feeder,D,3,2,NQ,228.0,228.0,228,NQ,430.2,430.2,430.2,704.5,704.5,704.52001953125
Yearling Steer,280-330,Restocker,C,3,1,-1,296.0,296.0,296,-4.0,538.2,538.2,538.2,959.0,959.0,959.0399780273438
Yearling Steer,330-400,Feeder,C,2,8,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1097.6,1097.6,1097.5999755859375
Yearling Steer,330-400,Feeder,C,3,24,-11,280.0,298.0,295.75,-11.7,509.1,541.8,537.7,1016.4,1186.0,1152.9150390625
Yearling Steer,330-400,Live Export,D,3,6,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1094.2,1094.2,1094.1599934895833
Yearling Steer,330-400,Processor,D,2,4,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,588.8,588.8,588.7999877929688
Yearling Steer,400+,Feeder,C,3,12,-11,240.0,286.0,277,21.1,436.4,520.0,503.6,1060.8,1367.1,1275.8666381835938
Yearling Steer,400+,Feeder,D,3,3,2,240.0,240.0,240,20.0,452.8,452.8,452.8,1077.6,1077.6,1077.5999348958333
Yearling Steer,400+,Live Export,D,3,7,6,256.0,256.0,256,-6.0,483.0,483.0,483.0,1149.4,1149.4,1149.43994140625
Yearling Heifer,280-330,Feeder,C,2,14,11,200.0,200.0,200,-2.0,400.0,400.0,400.0,610.0,610.0,610
Yearling Heifer,280-330,Feeder,D,3,12,6,220.0,220.0,220,12.0,423.1,423.1,423.1,721.6,721.6,721.5999348958334
Yearling Heifer,280-330,Live Export,D,3,14,-5,248.0,248.0,248,44.3,476.9,476.9,476.9,786.2,786.2,786.1599469866071
Yearling Heifer,280-330,Processor,C,3,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,592.0,592.0,592
Yearling Heifer,330-400,Feeder,C,3,48,36,220.0,278.0,255.25,26.4,423.1,534.6,490.9,809.6,1045.3,936.8150291442871
Yearling Heifer,330-400,Feeder,D,3,14,-3,264.0,264.0,264,63.6,507.7,507.7,507.7,947.8,947.8,947.7600446428571
Yearling Heifer,330-400,Processor,C,3,3,-6,240.0,240.0,240,-28.4,461.5,461.5,461.5,924.0,926.4,924.8000081380209
Yearling Heifer,330-400,Processor,D,3,6,2,266.0,266.0,266,38.0,511.5,511.5,511.5,941.6,941.6,941.6399739583334
Yearling Heifer,400+,Feeder,C,3,11,5,250.0,270.0,262.3636363636364,17.7,480.8,519.2,504.5,1065.0,1285.2,1155.7309015447443
Yearling Heifer,400+,Processor,C,3,3,NC,260.0,274.0,266.6666666666667,23.3,500.0,526.9,512.8,1045.2,1293.3,1157.2133382161458
Vealer Steer,0-200,Live Export,D,3,2,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,460.0,460.0,460
Vealer Steer,0-200,Restocker,C,2,2,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,462.0,462.0,462
Vealer Steer,200-280,Feeder,C,3,12,NQ,290.0,334.0,312,NQ,527.3,607.3,567.3,780.1,794.9,787.5099690755209
Vealer Steer,200-280,Restocker,C,2,3,-5,232.0,256.0,240,-32.5,446.2,492.3,461.5,558.1,598.6,585.0666707356771
Vealer Steer,200-280,Restocker,C,3,86,59,220.0,344.0,312.95348837209303,25.9,400.0,625.5,569.0,455.4,914.1,789.3123268304869
Vealer Steer,200-280,Restocker,D,3,3,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,600.0,600.0,599.97998046875
Vealer Steer,280-330,Feeder,C,3,25,14,278.0,324.0,313.84,40.0,505.5,589.1,570.6,828.4,1001.0,932.8287817382812
