Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1958 (+684)
Commentary
"It was a larger sale with 1958 today at Muchea. The sale comprised of several excellent runs of European and British bred weaners, healthy stocks of grown and yearling cattle and again large lines of pastoral steers, cows and bulls. A full buying field were in attendance and were keen on weaners lifting steers up 20c and heifers up 10c while Yearlings generally eased around 10c/kg. Store and medium cows were also slightly softer and Live exporters were strong on bulls over a wide weight range.
Weaner steers showing leaner fat cover were selling from 220c to 292c and with better cover from 300c to 366c and plainer weaner heifers from 170c to 210c and in better condition up to 298c/kg. Apart from the odd plain body yearling steers were mostly in feedlot or slaughter condition and sold consistently from 280c to 340c while yearling heifers started from 180c up to 288c depending on quality.
    Grown steers remained firm selling from 200c up to 288c while grown heifers lifted 10c making 216c to 272c/kg. store cows eased 10c selling from 50c to 138c while medium cows were slightly softer returning 140c to 200c and heavy cows peaked at 220c/kg.
Shipping bulls ranged from 160c to 264c and slaughter bulls were a little softer selling from 170c to 212c/kg
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,12,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,667.5,667.5,667.5
Yearling Steer,200-280,Restocker,C,3,1,-7,264.0,264.0,264,-74.0,480.0,480.0,480.0,733.9,733.9,733.9199829101562
Yearling Steer,200-280,Restocker,D,2,4,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,448.0,448.0,448
Yearling Steer,280-330,Feeder,C,3,7,-2,240.0,330.0,288.57142857142856,-16.1,436.4,600.0,524.7,734.4,1006.5,880.4857177734375
Yearling Steer,280-330,Feeder,D,3,15,NC,270.0,270.0,270,-24.0,509.4,509.4,509.4,826.2,826.2,826.2
Yearling Steer,330-400,Feeder,C,3,55,27,260.0,340.0,297.6,-21.5,472.7,618.2,541.1,899.6,1254.6,1122.9178444602273
Yearling Steer,330-400,Feeder,D,3,11,NQ,270.0,280.0,273.6363636363636,NQ,509.4,528.3,516.3,920.7,1064.0,972.80908203125
Yearling Steer,330-400,Pastoral Cattle,D,3,2,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,778.8,778.8,778.7999877929688
Yearling Steer,330-400,Processor,C,3,23,NQ,280.0,298.0,287.04347826086956,NQ,509.1,541.8,521.9,1057.9,1092.0,1078.656547214674
Yearling Steer,330-400,Restocker,C,3,1,-10,250.0,250.0,250,-122.5,454.5,454.5,454.5,830.0,830.0,830
Yearling Steer,400+,Feeder,C,3,26,21,260.0,320.0,298.2307692307692,6.2,472.7,581.8,542.2,1068.6,1412.8,1243.2746018629807
Yearling Steer,400+,Processor,C,3,31,28,274.0,326.0,305.6774193548387,39.0,498.2,592.7,555.8,1279.6,1402.1,1326.5554750504032
Yearling Heifer,0-200,Restocker,C,3,13,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,400.4,400.4,400.3999774639423
Yearling Heifer,200-280,Feeder,D,2,10,NQ,178.0,178.0,178,NQ,356.0,356.0,356.0,484.2,484.2,484.160009765625
Yearling Heifer,200-280,Restocker,C,2,10,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,360.0,360.0,360
Yearling Heifer,200-280,Restocker,C,3,56,NQ,230.0,266.0,251.21428571428572,NQ,442.3,511.5,483.1,503.7,707.2,621.6392735072544
Yearling Heifer,200-280,Restocker,D,2,52,NQ,182.0,204.0,187.92307692307693,NQ,364.0,408.0,375.8,374.9,493.7,406.8938645582933
Yearling Heifer,280-330,Feeder,C,3,12,-11,262.0,266.0,264.3333333333333,6.4,503.8,511.5,508.3,843.6,859.2,852.7049967447916
Yearling Heifer,280-330,Feeder,D,3,11,NQ,132.0,132.0,132,NQ,253.8,253.8,253.8,389.4,389.4,389.39999112215907
Yearling Heifer,280-330,Processor,C,3,4,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,739.2,739.2,739.2000122070312
Yearling Heifer,280-330,Restocker,C,3,11,NQ,266.0,270.0,268.1818181818182,NQ,511.5,519.2,515.7,819.3,864.0,843.6727627840909
Yearling Heifer,330-400,Feeder,C,3,61,43,220.0,288.0,257.9672131147541,3.3,423.1,553.8,496.1,750.2,1061.3,947.821967453253
Yearling Heifer,330-400,Pastoral Cattle,D,3,36,23,200.0,230.0,226.33333333333334,-15.8,384.6,442.3,435.3,763.8,851.0,829.9111056857639
Yearling Heifer,330-400,Processor,C,3,16,3,172.0,278.0,208.75,-119.9,330.8,534.6,401.4,622.8,1029.6,781.3974914550781
Yearling Heifer,330-400,Processor,D,3,12,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,847.2,847.2,847.239990234375
Yearling Heifer,400+,Feeder,C,3,7,NQ,240.0,270.0,264,NQ,461.5,519.2,507.7,979.2,1171.8,1125.0514351981026
Yearling Heifer,400+,Pastoral Cattle,C,3,9,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,966.3,966.3,966.2800564236111
Yearling Heifer,400+,Processor,C,3,15,2,240.0,274.0,254.93333333333334,16.5,461.5,526.9,490.3,1050.4,1323.4,1215.0747151692708
Yearling Heifer,400+,Processor,D,3,44,40,222.0,270.0,248.8181818181818,18.8,426.9,519.2,478.5,950.2,1415.0,1138.6204861727629
Vealer Steer,0-200,Restocker,B,3,9,NQ,230.0,244.0,234.66666666666666,NQ,410.7,435.7,419.0,439.2,450.8,446.9333224826389
Vealer Steer,0-200,Restocker,C,2,2,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,369.6,369.6,369.6000061035156
Vealer Steer,0-200,Restocker,C,3,6,-2,280.0,280.0,280,-58.0,509.1,509.1,509.1,504.0,504.0,504
Vealer Steer,200-280,Feeder,C,3,43,22,292.0,360.0,338.83720930232556,18.5,530.9,654.5,616.1,762.1,939.6,846.9534656613372
Vealer Steer,200-280,Processor,B,3,22,NQ,240.0,280.0,265.45454545454544,NQ,428.6,500.0,474.0,566.4,708.4,656.763671875
