Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 13/01/2025
Comparison Date: 06/01/2025
Total Yarding: 740 (+116)
Commentary
"Although the yarding was still relatively low, today’s sale saw an increase in numbers with just over 700 head mostly due to more pastoral and ex pastoral cattle with around the same volume of local supplies. The usual buying group was in attendance along with several extra store buyers bidding selectively. Weaner heifers enjoyed a 15/20c lift in values while the remaining market held ground to recent gains.
Vealer steers in store condition and lacking frame size were again at conservative rates selling from 100c to 210c and with bigger frame and quicker turnover potential sold from 254c to 340c/kg.  The same categories for heifers saw Light vealer heifers starting at 50c to 190c and with better weight and frame lifted 20c selling from 200c to 280c/kg.  Yearling steers showing store condition sold from 120c to 264c and with more cover returned 270c to 314c/kg remaining firm. Lighter yearling heifers sold from 60c to 192c while better heifers sold to a top of 278c/kg also remaining equal.
Grown steer Prices were down however this was a reflection on a decrease in quality more than lower values selling from 220c to 268c while grown heifers lifted slightly making from 248c to 274c/kg. The cow market held recent gains with Store’s selling from 80c to 180c, medium cows to 216c and prime cows sold to a top of 238c/kg. 
Bulls returning to the paddock sold from 50c to 180c while shipping bulls made 180c to 308c and slaughter bulls returned 160c to 230c/kg.
 Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Pastoral Cattle,D,2,2,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,262.8,262.8,262.79998779296875
Yearling Steer,200-280,Restocker,C,1,1,NC,120.0,120.0,120,68.0,240.0,240.0,240.0,292.8,292.8,292.79998779296875
Yearling Steer,200-280,Restocker,C,2,6,3,132.0,212.0,197.66666666666666,127.7,249.1,400.0,373.0,298.3,589.4,509.6033121744792
Yearling Steer,200-280,Restocker,C,3,2,NQ,246.0,264.0,255,NQ,464.2,480.0,472.1,607.2,688.8,648
Yearling Steer,280-330,Feeder,C,2,7,NQ,232.0,262.0,250.85714285714286,NQ,437.7,494.3,473.3,682.1,864.6,790.5399954659598
Yearling Steer,280-330,Feeder,C,3,8,NC,302.0,314.0,309.5,56.5,549.1,570.9,562.7,954.3,982.8,972.1325073242188
Yearling Steer,280-330,Live Export,D,3,1,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,950.4,950.4,950.4000244140625
Yearling Steer,280-330,Pastoral Cattle,D,3,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,810.0,810.0,810
Yearling Steer,280-330,Restocker,C,3,4,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,772.2,772.2,772.2000122070312
Yearling Steer,330-400,Feeder,C,3,8,-23,190.0,304.0,279,-50.0,345.5,552.7,507.3,661.2,1170.4,1031.9250259399414
Yearling Steer,400+,Feeder,C,3,6,-8,240.0,294.0,271.6666666666667,-9.6,436.4,534.5,493.9,1053.0,1359.2,1191.8799845377605
Yearling Steer,400+,Feeder,D,3,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,902.0,902.0,902
Yearling Steer,400+,Live Export,D,3,2,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1094.6,1094.6,1094.5999755859375
Yearling Steer,400+,Processor,C,3,2,-6,258.0,270.0,264,-0.5,469.1,490.9,480.0,1088.8,1533.6,1311.1799926757812
Yearling Steer,400+,Processor,D,3,5,NQ,250.0,260.0,253.6,NQ,471.7,490.6,478.5,1093.9,1336.4,1150.564013671875
Yearling Heifer,0-200,Pastoral Cattle,D,2,12,NQ,60.0,148.0,89.33333333333333,NQ,125.0,296.0,182.0,104.4,264.9,157.90667215983072
Yearling Heifer,200-280,Feeder,C,3,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,607.2,607.2,607.2000122070312
Yearling Heifer,200-280,Pastoral Cattle,D,2,20,NQ,74.0,136.0,95.5,NQ,154.2,272.0,198.6,166.5,371.3,230.08299865722657
Yearling Heifer,200-280,Pastoral Cattle,D,3,15,NQ,172.0,172.0,172,NQ,344.0,344.0,344.0,376.7,376.7,376.67998046875
Yearling Heifer,280-330,Feeder,C,3,6,5,220.0,272.0,263.3333333333333,3.3,423.1,523.1,506.4,726.0,859.5,837.2666829427084
Yearling Heifer,280-330,Pastoral Cattle,D,2,3,NQ,164.0,170.0,168,NQ,328.0,340.0,336.0,537.9,554.2,548.7733357747396
Yearling Heifer,280-330,Pastoral Cattle,D,3,15,NQ,188.0,220.0,201.2,NQ,376.0,423.1,391.7,528.3,673.9,611.8893595377605
Yearling Heifer,280-330,Processor,C,2,1,NC,192.0,192.0,192,12.0,384.0,384.0,384.0,576.0,576.0,576
Yearling Heifer,330-400,Feeder,C,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,760.0,760.0,760
Yearling Heifer,330-400,Feeder,C,3,18,11,220.0,278.0,268.77777777777777,5.8,423.1,534.6,516.9,818.4,1036.8,956.3699985080295
