Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 16/12/2024
Comparison Date: 09/12/2024
Total Yarding: 1222 (-507)
Commentary
"Numbers were down around 500 head from last week as pastoral supplies eased. Local supplies were buoyant with good runs of cow, yearlings and weaners yarded in large lines. The sale started slowly and gained momentum with values up in most categories showing either finished weights or potential for quick weight gains on feeders and backgrounders but dropped off quickly on any long term prospects. The buyer gallery was fairly full with most of the regulars present.
Weaner steers lacking cover and size ranged from 196c to 280c and with more weight sold to a top of 344c and lighter weaner heifers from 150c to 220c and the better bodies sold to 262c/kg. Yearling steers under 330kg made 222c to 268c and heaver steers from 240c to 308c while yearling heifers ranged from 150c to a top of 270c/kg.
Grown cattle were equal with steers making from 144c to 260c while grown heifers were consistently selling from 220c to 242c/kg.  Plain cows lacking frame size were selling from 40c to 100c while heavier cows gained 5/10c with bigger framed stores selling from 120c to 186c and medium to heavy cows from 176c to 222c/kg. 
Plain bulls that will not meet live shipping requirements mostly sold from 10c to 100c while bulls that are in spec for live shipping lifted 30c to realize 330c/kg.  Slaughter bulls also gained 5c to sell from 186c to 214c/kg
Terry Birkin  NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,3,1,NQ,230.0,230.0,230,NQ,418.2,418.2,418.2,639.4,639.4,639.4000244140625
Yearling Steer,280-330,Feeder,D,3,2,NQ,222.0,222.0,222,NQ,418.9,418.9,418.9,719.3,719.3,719.280029296875
Yearling Steer,280-330,Processor,C,3,2,NQ,268.0,268.0,268,NQ,487.3,487.3,487.3,844.2,844.2,844.2000122070312
Yearling Steer,330-400,Feeder,C,3,38,9,270.0,308.0,292.7368421052632,-7.1,490.9,581.1,536.7,975.3,1167.0,1077.210513466283
Yearling Steer,330-400,Feeder,D,3,6,NQ,240.0,270.0,255,NQ,452.8,509.4,481.1,876.0,1034.1,955.0499674479166
Yearling Steer,330-400,Processor,C,3,3,NQ,292.0,292.0,292,NQ,530.9,530.9,530.9,1168.0,1168.0,1168
Yearling Steer,330-400,Processor,D,3,5,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1027.6,1027.6,1027.6
Yearling Steer,400+,Feeder,C,3,25,-7,260.0,298.0,284.16,4.2,472.7,541.8,516.7,1166.9,1294.8,1230.7775927734374
Yearling Steer,400+,Feeder,D,3,6,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,1066.3,1066.3,1066.3400065104167
Yearling Heifer,200-280,Feeder,C,3,4,NQ,208.0,208.0,208,NQ,400.0,400.0,400.0,555.4,555.4,555.3599853515625
Yearling Heifer,280-330,Feeder,C,2,5,NQ,226.0,226.0,226,NQ,452.0,452.0,452.0,702.9,702.9,702.8599609375
Yearling Heifer,280-330,Feeder,C,3,13,-1,170.0,238.0,227.84615384615384,20.4,326.9,457.7,438.2,479.4,764.0,736.1938546987681
Yearling Heifer,280-330,Feeder,D,3,6,-5,228.0,228.0,228,57.1,438.5,438.5,438.5,752.4,752.4,752.4000651041666
Yearling Heifer,280-330,Processor,C,3,2,NC,150.0,150.0,150,-100.0,288.5,288.5,288.5,466.5,466.5,466.5
Yearling Heifer,280-330,Restocker,C,2,1,-1,202.0,202.0,202,45.0,404.0,404.0,404.0,650.4,650.4,650.4400024414062
Yearling Heifer,280-330,Restocker,C,3,1,NQ,208.0,208.0,208,NQ,400.0,400.0,400.0,657.3,657.3,657.280029296875
Yearling Heifer,330-400,Feeder,C,3,21,-4,236.0,266.0,253.52380952380952,2.1,453.8,511.5,487.5,823.6,1021.4,957.6514369419643
Yearling Heifer,330-400,Restocker,C,2,4,2,200.0,200.0,200,120.0,400.0,400.0,400.0,704.0,704.0,704
Yearling Heifer,400+,Feeder,C,3,25,16,216.0,270.0,252.08,26.7,415.4,519.2,484.8,881.3,1142.1,1113.5127954101563
Yearling Heifer,400+,Feeder,D,3,2,NC,242.0,242.0,242,24.0,465.4,465.4,465.4,984.9,984.9,984.9400024414062
Yearling Heifer,400+,Processor,C,3,13,-8,252.0,270.0,264.46153846153845,11.9,484.6,519.2,508.6,1096.2,1144.8,1129.8461538461538
Vealer Steer,0-200,Feeder,C,3,1,NQ,242.0,242.0,242,NQ,440.0,440.0,440.0,445.3,445.3,445.2799987792969
Vealer Steer,200-280,Feeder,C,2,9,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,712.6,712.6,712.6400282118055
Vealer Steer,200-280,Processor,C,3,5,NQ,274.0,274.0,274,NQ,498.2,498.2,498.2,737.1,737.1,737.060009765625
Vealer Steer,200-280,Restocker,C,2,4,-12,262.0,262.0,262,7.9,503.8,503.8,503.8,657.6,657.6,657.6199951171875
Vealer Steer,200-280,Restocker,C,3,43,-20,246.0,340.0,310.6046511627907,11.4,447.3,618.2,564.7,590.4,877.7,739.5195326694222
Vealer Steer,280-330,Feeder,C,2,28,27,262.0,272.0,268.2857142857143,-1.7,494.3,513.2,506.2,809.6,815.4,812.3543178013393
Vealer Steer,280-330,Feeder,C,3,19,-6,292.0,344.0,334.8421052631579,18.8,530.9,625.5,608.8,928.6,1069.8,1039.7831517269738
Vealer Steer,280-330,Processor,C,3,7,1,310.0,310.0,310,30.0,563.6,563.6,563.6,948.6,948.6,948.5999581473214
Vealer Steer,280-330,Restocker,C,2,16,-5,196.0,272.0,245.5,-9.6,376.9,513.2,465.4,564.5,797.0,717.8150024414062
Vealer Steer,280-330,Restocker,C,3,24,-45,280.0,344.0,325.8333333333333,9.4,509.1,625.5,592.4,823.2,1107.7,996.0250295003256
Vealer Steer,330+,Feeder,C,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,946.4,946.4,946.4000244140625
Vealer Steer,330+,Feeder,C,3,30,14,300.0,338.0,328.8,9.9,545.5,614.5,597.8,1075.7,1137.0,1119.6260091145834
Vealer Heifer,0-200,Feeder,C,3,12,NQ,176.0,234.0,214.66666666666666,NQ,338.5,450.0,412.8,304.5,444.6,397.8933410644531
