Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 18/11/2024
Comparison Date: 11/11/2024
Total Yarding: 1920 (-38)
Commentary
"It was a similar size yarding in numbers at Muchea today with just 38 head less than last week. Presented were generous runs of both local and pastoral grown cattle and heavy yearlings showing either finished weights or suited to short feedlot stints along with excellent runs of well-bred weaners and prime cows. Large lines of pastoral stores including cows, steers and heifers along with bulls targeted at Live shipping were also offered.
Weaners sold to similar rates to last week with steers selling from 290c to 362c while weaner heifers returned 200c to 280c/kg. Yearlings enjoyed gains of around 10c as Lighter yearling steers sold from 240c to 310c and with more weight and finish up to 378c/kg. Yearling heifers also gained 10c with the lighter heifers selling from 228c to 278c and in better condition sold to a top of 320c/kg.
Pastoral steer calves ranged from 115c to 280c while lighter pastoral heifer were making from 80c to 180c and with more frame and cover from 208c to 240c/kg.
Grown steers gained 10c selling from 220c to 296c while grown heifers held firm on last weeks gain making 180c to 270c/kg.   Light cows sold from 50c to 162c, medium cows eased another 10c selling to 190c and apart from 1 cow selling to 238c, most heavy cows were back 10c selling from 180c to 212c/kg.
Competition on shipping bulls was solid selling to a top of 308c while slaughter bulls remained firm to return 180c to 212c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,D,2,7,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,271.6,271.6,271.60001046316967
Yearling Steer,200-280,Feeder,D,2,16,4,180.0,200.0,190,-60.0,346.2,384.6,365.4,439.2,544.0,491.6000061035156
Yearling Steer,200-280,Pastoral Cattle,D,2,1,NQ,115.0,115.0,115,NQ,230.0,230.0,230.0,231.1,231.1,231.14999389648438
Yearling Steer,280-330,Feeder,C,3,10,3,240.0,332.0,306.8,18.2,436.4,603.6,557.8,720.0,1029.2,948.07998046875
Yearling Steer,280-330,Feeder,D,2,7,NQ,158.0,182.0,177.14285714285714,NQ,303.8,350.0,340.7,502.4,570.6,557.3485717773438
Yearling Steer,280-330,Feeder,D,3,3,-12,232.0,232.0,232,-38.0,421.8,421.8,421.8,737.8,737.8,737.760009765625
Yearling Steer,280-330,Processor,C,3,3,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,883.5,883.5,883.5
Yearling Steer,330-400,Feeder,C,2,3,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,885.8,885.8,885.780029296875
Yearling Steer,330-400,Feeder,C,3,72,17,250.0,378.0,339.55555555555554,42.0,454.5,687.3,617.4,845.0,1411.8,1254.5539135403103
Yearling Steer,330-400,Feeder,D,3,14,3,230.0,280.0,245,-28.6,434.0,528.3,462.3,768.2,991.2,829.2714494977679
Yearling Steer,330-400,Live Export,D,3,1,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1014.0,1014.0,1014
Yearling Steer,400+,Feeder,C,3,9,-17,260.0,320.0,282.22222222222223,-16.0,472.7,581.8,513.1,1107.6,1344.0,1208.5333523220486
Yearling Steer,400+,Live Export,D,3,15,NQ,272.0,272.0,272,NQ,513.2,513.2,513.2,1096.2,1096.2,1096.1600260416667
Yearling Steer,400+,Processor,C,3,2,-29,276.0,328.0,302,-3.7,501.8,596.4,549.1,1325.1,1402.1,1363.5999755859375
Yearling Steer,400+,Processor,D,3,1,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,1181.0,1181.0,1181.0400390625
Yearling Heifer,200-280,Feeder,C,2,1,NQ,228.0,228.0,228,NQ,456.0,456.0,456.0,629.3,629.3,629.280029296875
Yearling Heifer,200-280,Live Export,D,3,23,NQ,150.0,180.0,163.04347826086956,NQ,288.5,346.2,313.5,381.0,437.4,405.5217391304348
Yearling Heifer,280-330,Feeder,C,3,21,9,250.0,278.0,260.6666666666667,-3.7,480.8,534.6,501.3,760.0,914.6,850.3314267113095
Yearling Heifer,280-330,Feeder,D,3,4,-7,208.0,208.0,208,76.0,400.0,400.0,400.0,680.2,680.2,680.1599731445312
Yearling Heifer,280-330,Live Export,D,3,5,NQ,160.0,170.0,166,NQ,307.7,326.9,319.2,465.6,481.1,474.90001220703124
Yearling Heifer,330-400,Feeder,C,3,67,6,238.0,286.0,267.43283582089555,9.5,457.7,550.0,514.3,814.0,1075.2,956.6155185984142
Yearling Heifer,330-400,Pastoral Cattle,D,3,9,-27,200.0,232.0,214.22222222222223,-12.1,384.6,446.2,412.0,738.0,816.6,772.9511176215278
Yearling Heifer,330-400,Processor,C,3,6,-10,228.0,320.0,262.6666666666667,53.9,438.5,615.4,505.1,782.0,1075.2,899.0799763997396
Yearling Heifer,330-400,Processor,D,3,13,1,230.0,230.0,230,-6.0,442.3,442.3,442.3,839.5,899.3,862.5
Yearling Heifer,330-400,Restocker,C,3,1,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,861.7,861.7,861.719970703125
Yearling Heifer,400+,Feeder,C,3,26,19,224.0,280.0,252.30769230769232,-11.7,430.8,538.5,485.2,927.4,1195.6,1063.2323138897236
Yearling Heifer,400+,Pastoral Cattle,D,3,2,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,721.8,721.8,721.7999877929688
Yearling Heifer,400+,Processor,C,3,3,-12,270.0,308.0,282.6666666666667,27.7,519.2,592.3,543.6,1161.0,1577.0,1299.6533203125
Yearling Heifer,400+,Processor,D,3,4,-40,240.0,240.0,240,-8.8,461.5,461.5,461.5,1096.8,1096.8,1096.800048828125
Vealer Steer,0-200,Restocker,C,2,11,9,332.0,342.0,338.3636363636364,118.4,626.4,645.3,638.4,629.3,644.1,634.6618208451705
Vealer Steer,200-280,Feeder,C,3,32,-11,300.0,354.0,343.9375,5.1,545.5,643.6,625.3,725.0,952.3,884.5656471252441
Vealer Steer,200-280,Restocker,C,3,45,13,290.0,340.0,323.46666666666664,15.7,527.3,618.2,588.1,685.4,870.4,745.0404541015625
Vealer Steer,280-330,Feeder,C,3,22,-75,316.0,342.0,327,-12.3,574.5,621.8,594.5,902.4,1033.6,953.369101784446
Vealer Steer,280-330,Restocker,C,3,30,8,336.0,362.0,349.46666666666664,16.0,610.9,658.2,635.4,964.3,1100.5,1036.0946940104166
Vealer Heifer,0-200,Live Export,D,3,19,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,294.0,294.0,294
Vealer Heifer,0-200,Pastoral Cattle,D,3,9,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,326.4,326.4,326.3999837239583
Vealer Heifer,0-200,Restocker,C,2,5,NQ,50.0,50.0,50,NQ,100.0,100.0,100.0,96.5,96.5,96.5
Vealer Heifer,200-280,Feeder,C,3,11,NQ,222.0,250.0,246.72727272727272,NQ,426.9,480.8,474.5,572.8,642.5,613.5490944602273
Vealer Heifer,200-280,Live Export,D,3,42,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,321.0,355.5,331.67857142857144
Vealer Heifer,200-280,Restocker,C,2,1,NQ,204.0,204.0,204,NQ,408.0,408.0,408.0,550.8,550.8,550.7999877929688
Vealer Heifer,200-280,Restocker,C,3,32,NQ,200.0,266.0,253.4375,NQ,384.6,511.5,487.4,444.0,660.2,546.9587326049805
Vealer Heifer,200-280,Restocker,D,2,20,NQ,64.0,120.0,97.9,NQ,128.0,240.0,195.8,165.8,310.8,253.5609893798828
Vealer Heifer,280-330,Feeder,C,3,11,-8,260.0,260.0,260,8.6,500.0,500.0,500.0,741.0,741.0,741
Vealer Heifer,280-330,Processor,C,3,7,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,859.2,859.2,859.1799665178571
Vealer Heifer,280-330,Restocker,C,3,8,-14,218.0,280.0,241.25,-25.1,419.2,538.5,463.9,699.8,817.6,743.9624938964844
Manufacturing Steer,0-540,Pastoral Cattle,D,3,1,NQ,186.0,186.0,186,NQ,350.9,350.9,350.9,848.2,848.2,848.1599731445312
Manufacturing Steer,540+,Processor,D,3,4,-1,220.0,220.0,220,-24.0,415.1,415.1,415.1,1229.8,1229.8,1229.800048828125
Grown Steer,0-400,Feeder,C,3,1,NC,264.0,264.0,264,-16.0,480.0,480.0,480.0,987.4,987.4,987.3599853515625
Grown Steer,0-400,Live Export,D,3,15,NQ,240.0,250.0,247.33333333333334,NQ,452.8,471.7,466.7,782.5,955.2,828.5533365885417
Grown Steer,400-500,Feeder,C,3,9,NC,260.0,268.0,263.55555555555554,-9.3,472.7,487.3,479.2,1114.9,1123.2,1119.502224392361
Grown Steer,400-500,Feeder,D,2,4,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,1023.0,1023.0,1023
Grown Steer,400-500,Live Export,D,3,14,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1220.0,1220.0,1220
Grown Steer,400-500,Pastoral Cattle,D,3,8,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,897.6,897.6,897.5999755859375
Grown Steer,400-500,Processor,C,3,32,31,236.0,296.0,280.3125,30.3,429.1,538.2,509.7,1095.0,1418.1,1271.2075004577637
Grown Steer,400-500,Processor,D,3,32,29,238.0,278.0,260.75,14.1,449.1,524.5,492.0,1066.0,1227.5,1190.2518615722656
Grown Steer,500-600,Live Export,D,3,13,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1428.0,1428.0,1428
Grown Steer,500-600,Pastoral Cattle,D,3,3,NQ,218.0,218.0,218,NQ,411.3,411.3,411.3,1092.2,1092.2,1092.1800130208333
Grown Steer,500-600,Processor,C,3,9,-1,190.0,288.0,264.6666666666667,9.3,345.5,523.6,481.2,1029.8,1595.5,1420.7866753472222
Grown Steer,500-600,Processor,D,3,11,NQ,230.0,270.0,255.45454545454547,NQ,434.0,509.4,482.0,1216.7,1475.0,1411.718172940341
Grown Steer,600-750,Processor,C,3,10,8,222.0,264.0,255.6,-3.4,403.6,480.0,464.7,1349.8,1737.1,1662.4279418945312
Grown Steer,600-750,Processor,D,3,1,-1,250.0,250.0,250,NC,471.7,471.7,471.7,1625.0,1625.0,1625
Grown Heifer,0-540,Feeder,C,3,34,NQ,224.0,260.0,254.35294117647058,NQ,430.8,500.0,489.1,844.8,1107.5,1039.1458812040441
Grown Heifer,0-540,Feeder,D,3,15,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,915.0,915.0,915
Grown Heifer,0-540,Pastoral Cattle,D,3,15,NQ,180.0,246.0,214,NQ,346.2,473.1,411.5,625.6,952.0,806.8360026041667
Grown Heifer,0-540,Processor,C,3,6,-33,260.0,262.0,261.6666666666667,-3.2,500.0,503.8,503.2,1310.4,1388.6,1375.566670735677
Grown Heifer,0-540,Processor,D,3,8,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,914.1,914.1,914.0800170898438
Grown Heifer,540+,Processor,C,3,6,-1,254.0,270.0,265.6666666666667,24.5,488.5,519.2,510.9,1479.6,1661.2,1514.5933227539062
Cows,0-400,Feeder,D,2,12,9,146.0,162.0,154,24.0,304.2,337.5,320.8,540.2,575.1,557.6500040690104
Cows,0-400,Pastoral Cattle,D,1,4,1,50.0,82.0,66,-5.3,108.7,178.3,143.5,162.0,250.9,206.45999908447266
