Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 21/10/2024
Comparison Date: 14/10/2024
Total Yarding: 883 (-489)
Commentary
"Numbers remained conservative as the spring season continues with throughput well under 1000 head. Both local and pastoral steers and heifers showing weight and finish were a highlight today and the balance of the sale comprised of a mix of yearlings and weaners both local and pastoral and reasonable supplies of prime and feeder cows.  The buyer gallery was well attended with most regulars present as well as several seasonal restockers. Vealer steers remained firm while vealer heifers lifted 10/15c/kg. Yearling steers also gained slightly while yearling heifers were back 10c, even more when lacking weight and frame. Cows were barley equal while slaughter bulls also eased 10c.  
 Lighter vealer steers started from 250c and with more cover up to 354c while vealer heifers ranged from 208c to 248c and in better condition sold to a top of 310c/kg. Yearling steers under 330kg were selling from 240c to 350c and heavier Yearlings sold to a top of 366c/kg. Yearling heifers under 330kg were making 138c to 242c and with more weight and finish up to 282c/kg.
Most of the pastoral steers were showing good cover and pricing reflected this ranging from 210c to 296c while pastoral heifers in all weight ranges were back 10c selling from 108c to 236c/kg.
Grown steers returned 202c to 300c and grown heifers starting from 158c up to a top of 328c for a pen of well-bred Gelbvieh’s.  Feeder cows from 122c to 182c, Medium cows returned 140c to 200c and heavy cows from 180c to 228c/kg.
Shipping bulls made 150c to 252c while slaughter bulls were back 10c to return 170c to 200c/kg.
 Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,3,11,-4,200.0,350.0,318.72727272727275,-16.7,363.6,636.4,579.5,564.0,1102.5,972.5891002308239
Yearling Steer,280-330,Feeder,D,3,2,-1,150.0,282.0,216,18.0,283.0,512.7,397.9,438.0,930.6,684.2999877929688
Yearling Steer,280-330,Live Export,D,3,1,-49,220.0,220.0,220,-33.6,415.1,415.1,415.1,664.4,664.4,664.4000244140625
Yearling Steer,330-400,Feeder,C,3,19,NC,320.0,366.0,357.6842105263158,36.7,581.8,665.5,650.3,1164.8,1313.9,1251.868408203125
Yearling Steer,330-400,Feeder,D,3,9,4,282.0,282.0,282,59.6,532.1,532.1,532.1,1015.2,1015.2,1015.1999782986111
Yearling Steer,330-400,Live Export,D,3,22,3,210.0,283.0,260.8181818181818,-9.3,396.2,534.0,492.1,718.2,1038.6,950.857255415483
Yearling Steer,400+,Feeder,C,3,15,14,296.0,310.0,305.6,33.6,538.2,563.6,555.6,1302.4,1459.9,1357.005322265625
Yearling Steer,400+,Feeder,D,3,22,NQ,272.0,296.0,288.45454545454544,NQ,494.5,550.9,533.4,1134.0,1364.6,1261.1927379261363
Yearling Steer,400+,Live Export,D,3,51,NQ,200.0,280.0,240,NQ,377.4,528.3,452.8,822.0,1150.8,987.341184129902
Yearling Steer,400+,Processor,C,3,8,NC,290.0,298.0,296,-8.0,527.3,541.8,538.2,1191.9,1659.9,1542.8700256347656
Yearling Heifer,200-280,Restocker,C,2,1,-1,138.0,138.0,138,-16.0,276.0,276.0,276.0,383.6,383.6,383.6400146484375
Yearling Heifer,200-280,Restocker,C,3,1,-4,140.0,140.0,140,-60.0,269.2,269.2,269.2,330.4,330.4,330.3999938964844
Yearling Heifer,200-280,Restocker,D,2,5,-2,108.0,108.0,108,-32.0,225.0,225.0,225.0,244.1,244.1,244.0800048828125
Yearling Heifer,200-280,Restocker,D,3,6,NQ,130.0,130.0,130,NQ,250.0,250.0,250.0,317.2,317.2,317.20001220703125
Yearling Heifer,280-330,Feeder,C,3,7,-33,210.0,248.0,237.71428571428572,-7.6,403.8,476.9,457.1,621.6,710.4,690.4742954799107
Yearling Heifer,280-330,Pastoral Cattle,C,2,3,NQ,105.0,105.0,105,NQ,210.0,210.0,210.0,314.0,314.0,313.95001220703125
Yearling Heifer,280-330,Restocker,C,3,25,NQ,156.0,230.0,178.24,NQ,312.0,442.3,343.2,502.2,731.4,531.4911938476563
Yearling Heifer,330-400,Feeder,C,3,10,1,204.0,282.0,260.2,-4.2,392.3,542.3,500.4,750.4,972.9,900.2960388183594
Yearling Heifer,330-400,Feeder,D,3,23,20,210.0,236.0,232.6086956521739,-9.4,403.8,453.8,447.3,709.8,881.6,838.8887010657269
Yearling Heifer,330-400,Pastoral Cattle,C,3,4,NQ,154.0,154.0,154,NQ,296.2,296.2,296.2,509.7,509.7,509.739990234375
Yearling Heifer,400+,Feeder,C,3,1,-3,220.0,220.0,220,-20.0,423.1,423.1,423.1,910.8,910.8,910.7999877929688
Yearling Heifer,400+,Processor,C,3,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,990.0,990.0,990
Yearling Heifer,400+,Processor,D,3,19,NQ,210.0,212.0,211.47368421052633,NQ,403.8,407.7,406.7,898.9,1020.6,930.9115953947369
Vealer Steer,0-200,Restocker,C,3,11,NQ,332.0,332.0,332,NQ,603.6,603.6,603.6,594.3,594.3,594.2800071022727
Vealer Steer,200-280,Feeder,C,3,5,NQ,308.0,308.0,308,NQ,560.0,560.0,560.0,834.7,834.7,834.67998046875
