Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,D,2,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,504.0,504.0,504
Yearling Steer,280-330,Feeder,C,3,3,-3,200.0,200.0,200,-116.0,400.0,400.0,400.0,596.0,596.0,596
Yearling Steer,280-330,Pastoral Cattle,D,3,20,NQ,158.0,240.0,215.4,NQ,316.0,452.8,411.8,480.3,751.2,669.935986328125
Yearling Steer,280-330,Restocker,C,2,4,1,144.0,152.0,149,19.0,300.0,304.0,301.0,414.7,430.5,426.09000396728516
Yearling Steer,330-400,Feeder,C,2,6,NQ,140.0,140.0,140,NQ,291.7,291.7,291.7,508.2,508.2,508.2000325520833
Yearling Steer,330-400,Feeder,C,3,16,-21,230.0,290.0,274.875,-5.5,418.2,527.3,499.8,873.0,1043.9,980.3537559509277
Yearling Steer,330-400,Feeder,D,3,5,NQ,250.0,264.0,261.2,NQ,471.7,498.1,492.8,925.0,1029.6,1008.67998046875
Yearling Steer,330-400,Pastoral Cattle,D,2,3,NQ,180.0,246.0,224,NQ,360.0,492.0,448.0,698.4,836.4,790.4000244140625
Yearling Steer,330-400,Pastoral Cattle,D,3,6,-3,150.0,278.0,214,-34.9,300.0,524.5,412.3,511.5,1048.1,779.780029296875
Yearling Steer,330-400,Processor,D,2,1,NQ,248.0,248.0,248,NQ,496.0,496.0,496.0,957.3,957.3,957.280029296875
Yearling Steer,330-400,Processor,D,3,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,955.0,955.0,955
Yearling Steer,400+,Feeder,C,3,4,-4,272.0,288.0,278,-9.5,494.5,523.6,505.5,1349.6,1474.2,1414.3599853515625
Yearling Steer,400+,Pastoral Cattle,D,3,6,NQ,244.0,262.0,256.6666666666667,NQ,460.4,494.3,484.3,1015.0,1309.4,1147.2132873535156
Yearling Steer,400+,Processor,D,3,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1175.0,1175.0,1175
Yearling Heifer,200-280,Pastoral Cattle,D,2,1,NQ,180.0,180.0,180,NQ,375.0,375.0,375.0,493.2,493.2,493.20001220703125
Yearling Heifer,200-280,Pastoral Cattle,D,3,12,NQ,106.0,150.0,118.33333333333333,NQ,212.0,300.0,236.7,267.8,318.0,281.20333099365234
Yearling Heifer,280-330,Feeder,C,2,4,NQ,150.0,160.0,157.5,NQ,300.0,320.0,315.0,468.0,528.0,513
Yearling Heifer,280-330,Feeder,C,3,1,-9,180.0,180.0,180,-83.0,360.0,360.0,360.0,550.8,550.8,550.7999877929688
Yearling Heifer,280-330,Feeder,D,3,2,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,484.8,484.8,484.79998779296875
Yearling Heifer,280-330,Pastoral Cattle,D,3,12,-12,130.0,202.0,136,-53.7,260.0,404.0,272.0,396.5,658.5,418.3350016276042
Yearling Heifer,280-330,Processor,C,3,3,-1,232.0,240.0,237.33333333333334,-38.7,446.2,461.5,456.4,719.2,780.0,759.7333374023438
Yearling Heifer,330-400,Feeder,C,3,2,-19,266.0,266.0,266,9.9,511.5,511.5,511.5,939.0,939.0,938.97998046875
Yearling Heifer,330-400,Pastoral Cattle,D,3,7,NQ,230.0,242.0,233.42857142857142,NQ,442.3,484.0,454.2,809.6,863.9,825.125714983259
Yearling Heifer,330-400,Processor,C,3,4,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,614.4,614.4,614.4000244140625
Yearling Heifer,330-400,Restocker,C,3,2,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,907.2,907.2,907.2000122070312
Yearling Heifer,400+,Feeder,C,3,1,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1005.0,1005.0,1005
Yearling Heifer,400+,Processor,C,3,15,NQ,276.0,282.0,280.4,NQ,530.8,542.3,539.2,1159.2,1229.5,1210.7680338541666
