Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 25/11/2024
Comparison Date: 18/11/2024
Total Yarding: 1715 (-205)
Commentary
"Numbers were back a little from the previous 2 weeks however there were still good supplies to suite all buying orders. Local cattle were mostly Angus ranging from heavy grown steers down to light weaner heifers while Droughtmaster-cross were the dominant breed in the pastoral cattle. Weaner and yearling steers and heifers eased 20c while finished grown steers and heifers held firm to last weeks rates. Although one pen of prime cows reached 220c cows in general were softer by 10/15c/kg.   
Weaners were softer with the plainer steers selling from 150c to 250c and with more cover from 260c to 336c/kg while weaner heifers varied in quality starting from 74c to a top of 262c/kg. Yearling steers under 330kg ranged from 240c to 326c and heavier steers from 180c to 324c/kg.  Yearling heifers under 330kg returned 100c to 200c and over 330kg sold to a top of 268c/kg.
Pastoral steer calves ranged from 150c up to 248c with more weight and cover while pastoral heifers lacking weight and frame were hard to attract bids selling from 50c up to 120c and with better finish sold to a top of 228c/kg.
Grown steers sold from 214c to 310c while grown heifers made 150c to 246c/kg.  Light weight cows returned 82c to 148c while medium cows sold from 138c to 194c and heavy cows sold up to 220c/kg.
Store pastoral bulls were hard to sell ranging from 80c to 184c however bulls suitable for Shipping held up selling to a top of 324c while slaughter bulls were down to return 100c to 194c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Pastoral Cattle,D,3,2,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,609.4,609.4,609.4000244140625
Yearling Steer,200-280,Restocker,C,2,3,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,775.5,775.5,775.5
Yearling Steer,200-280,Restocker,D,3,7,NQ,160.0,160.0,160,NQ,301.9,301.9,301.9,400.0,400.0,400
Yearling Steer,280-330,Feeder,C,2,7,NQ,250.0,252.0,251.71428571428572,NQ,471.7,475.5,474.9,795.0,803.9,802.6114676339286
Yearling Steer,280-330,Feeder,C,3,30,20,300.0,326.0,318.4,11.6,545.5,592.7,578.9,858.0,1023.6,992.97666015625
Yearling Steer,280-330,Pastoral Cattle,D,3,2,NQ,150.0,150.0,150,NQ,283.0,283.0,283.0,442.5,442.5,442.5
Yearling Steer,280-330,Processor,C,3,4,1,250.0,250.0,250,-60.0,454.5,454.5,454.5,760.0,787.5,780.625
Yearling Steer,280-330,Restocker,C,3,4,NQ,262.0,300.0,281,NQ,476.4,545.5,510.9,736.2,867.0,801.6099853515625
Yearling Steer,330-400,Feeder,C,2,1,-2,180.0,180.0,180,-86.0,339.6,339.6,339.6,640.8,640.8,640.7999877929688
Yearling Steer,330-400,Feeder,C,3,88,16,240.0,324.0,299.6136363636364,-39.9,436.4,589.1,544.8,868.8,1200.0,1115.4975010265005
Yearling Steer,330-400,Pastoral Cattle,D,3,4,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,828.3,828.3,828.3200073242188
Yearling Steer,330-400,Processor,C,3,9,NQ,250.0,256.0,254.66666666666666,NQ,454.5,465.5,463.0,895.0,990.7,960.7422146267361
Yearling Steer,330-400,Processor,D,3,8,NQ,174.0,250.0,216,NQ,328.3,471.7,407.5,605.5,892.5,760.5550079345703
Yearling Steer,400+,Feeder,C,3,31,22,250.0,302.0,281.93548387096774,-0.3,454.5,549.1,512.6,1030.0,1298.6,1228.5709582913307
Yearling Steer,400+,Processor,C,3,5,3,250.0,270.0,262,-40.0,454.5,490.9,476.4,1010.0,1098.9,1063.3400390625
Yearling Steer,400+,Processor,D,3,1,NC,220.0,220.0,220,-46.0,415.1,415.1,415.1,1007.6,1007.6,1007.5999755859375
Yearling Heifer,200-280,Feeder,C,3,28,NQ,200.0,238.0,223.21428571428572,NQ,384.6,457.7,429.3,516.0,606.9,585.2678571428571
Yearling Heifer,200-280,Live Export,C,3,10,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,605.0,605.0,605
Yearling Heifer,200-280,Pastoral Cattle,D,2,42,NQ,50.0,116.0,66.23809523809524,NQ,100.0,232.0,132.5,117.5,320.2,169.6028573172433
