Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 28/01/2025
Comparison Date: 
Total Yarding: 763 (NQ)
Commentary
"Cattle supplies were back to a conservative volume today. Quality declined both in the breed component and fewer finished bodies suited for processing and this was reflected in values.  Most lots on offer were either in feedlot or return to paddock condition with Live shipping buying the lighter calves with good cover.
Vealer steers sold from 150c to a top of 340c while vealer heifers ranged from 60c to 260c all quality dependent.  Yearling steers made 180c to 300c while Yearling heifers sold from 60c to 278c/kg.
Grown steers returned 250 to 288c while grown heifers made 220c to 270c/kg.  Plain cows sold from 80c to 180c, medium cows from 180c to 200c and prime cows up to 244c with one exceptional cow topping at 250c/kg.
Bulls returning to the paddock sold from 100c to 180c while shipping bulls made 180c to 304c and slaughter bulls returned 150c to 240c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,3,1,-5,240.0,240.0,240,-41.7,436.4,436.4,436.4,792.0,792.0,792
Yearling Steer,280-330,Feeder,D,3,3,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,758.7,758.7,758.7000325520834
Yearling Steer,280-330,Live Export,C,3,11,NQ,220.0,236.0,231.63636363636363,NQ,400.0,429.1,421.2,677.6,736.3,720.3054532137784
Yearling Steer,280-330,Live Export,D,3,3,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,798.6,798.6,798.5599772135416
Yearling Steer,280-330,Restocker,D,2,2,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,550.8,550.8,550.7999877929688
Yearling Steer,280-330,Restocker,D,3,1,NQ,216.0,216.0,216,NQ,407.5,407.5,407.5,639.4,639.4,639.3599853515625
Yearling Steer,330-400,Feeder,C,3,1,-33,240.0,240.0,240,-73.4,436.4,436.4,436.4,816.0,816.0,816
Yearling Steer,400+,Feeder,C,3,1,-34,300.0,300.0,300,-18.3,545.5,545.5,545.5,1218.0,1218.0,1218
Yearling Heifer,0-200,Restocker,D,2,3,NQ,84.0,84.0,84,NQ,175.0,175.0,175.0,152.9,152.9,152.8800048828125
Yearling Heifer,200-280,Feeder,C,3,19,NQ,200.0,252.0,238.42105263157896,NQ,384.6,484.6,458.5,550.0,690.5,649.2473530016447
Yearling Heifer,200-280,Feeder,D,2,5,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,349.5,349.5,349.5
Yearling Heifer,200-280,Feeder,D,3,3,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,640.8,640.8,640.7999674479166
Yearling Heifer,200-280,Processor,D,2,2,NQ,70.0,70.0,70,NQ,145.8,145.8,145.8,170.1,170.1,170.10000610351562
Yearling Heifer,200-280,Restocker,C,2,2,NQ,140.0,140.0,140,NQ,280.0,280.0,280.0,326.2,326.2,326.20001220703125
Yearling Heifer,200-280,Restocker,D,2,1,NQ,60.0,60.0,60,NQ,120.0,120.0,120.0,157.2,157.2,157.1999969482422
Yearling Heifer,280-330,Feeder,C,3,8,-2,214.0,240.0,233.5,-25.7,411.5,461.5,449.0,639.9,753.6,725.1649475097656
Yearling Heifer,280-330,Feeder,D,2,2,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,448.5,448.5,448.5
Yearling Heifer,280-330,Live Export,C,3,2,-3,248.0,248.0,248,-6.0,476.9,476.9,476.9,756.4,756.4,756.4000244140625
Yearling Heifer,280-330,Processor,D,2,2,NQ,50.0,136.0,93,NQ,100.0,272.0,186.0,156.0,391.7,273.8399963378906
Yearling Heifer,330-400,Feeder,C,3,10,-24,220.0,278.0,251.2,-28.3,423.1,534.6,483.1,794.2,984.1,925.9279907226562
Yearling Heifer,330-400,Processor,D,3,2,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,887.7,887.7,887.739990234375
Yearling Heifer,400+,Feeder,C,3,2,-23,205.0,205.0,205,-71.9,394.2,394.2,394.2,840.5,840.5,840.5
Yearling Heifer,400+,Processor,C,3,3,-1,220.0,250.0,230,23.5,423.1,480.8,442.3,902.0,1150.0,984.6666666666666
Vealer Steer,0-200,Feeder,C,2,5,NQ,214.0,214.0,214,NQ,403.8,403.8,403.8,361.7,361.7,361.660009765625
Vealer Steer,0-200,Restocker,D,2,1,NQ,158.0,158.0,158,NQ,298.1,298.1,298.1,278.1,278.1,278.0799865722656
Vealer Steer,200-280,Feeder,C,3,4,1,312.0,312.0,312,33.3,567.3,567.3,567.3,861.1,861.1,861.1199951171875
Vealer Steer,200-280,Live Export,C,3,4,NQ,260.0,260.0,260,NQ,472.7,472.7,472.7,728.0,728.0,728
Vealer Steer,200-280,Restocker,C,3,14,-66,200.0,278.0,266.85714285714283,-78.7,363.6,505.5,485.2,430.0,569.9,549.914306640625
Vealer Steer,200-280,Restocker,D,2,5,NQ,150.0,150.0,150,NQ,283.0,300.0,293.2,313.5,345.0,332.4
