Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 28/10/2024
Comparison Date: 21/10/2024
Total Yarding: 1448 (+565)
Commentary
"There was a greater volume of supplies today.  Good runs of mostly well-bred local  weaners, yearlings and grown cattle were presented as well as pastoral stocks covering all category’s from well weighted grown steers and heifers and big lines of pastoral bulls down to clean up store calves of all sexs. Values remain similar with most regulars present in the buyer gallery and Live export active on Pastoral steers and bulls.

The majority of weaner steers sold from 300c to 352c to average 343c and the best weaner heifers from 200c to 294c/kg.   Lighter yearling steers in store and feedlot condition made 220c to 320c and with more weight up to 366c/kg. Plain yearling heifers ranged from 168c to 234c and with bigger frame and cover from 242c to 276c/kg.

Pastoral lightweight steer calves started from 168c up to 250c with bigger frame and cover.  Heavier pastoral heifer calves were making 192c to 244c however plainer heifers lacking frame size and weight were again difficult to offload ranging 60c to 160c/kg.

Grown steers returned 220c to 300c while most grown heifers sold from 200c up to 308c/kg.  Store and feeder cows ranged from 82c to 170c while medium cows returned 184c to 206c and prime cows realized 222c/kg.

Shipping bulls ranged from 180c to 276c and local slaughter bulls lifted slightly to return 180c to 214c/kg.
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Live Export,D,2,1,NQ,158.0,158.0,158,NQ,303.8,303.8,303.8,436.1,436.1,436.0799865722656
Yearling Steer,200-280,Pastoral Cattle,D,2,3,NQ,192.0,192.0,192,NQ,369.2,369.2,369.2,462.7,462.7,462.7200113932292
Yearling Steer,280-330,Feeder,C,3,15,4,220.0,320.0,246.66666666666666,-72.1,400.0,581.8,448.5,679.8,1030.4,784.8533528645834
Yearling Steer,280-330,Live Export,D,3,12,11,248.0,248.0,248,28.0,467.9,467.9,467.9,706.8,706.8,706.7999674479166
Yearling Steer,280-330,Pastoral Cattle,D,2,2,NQ,162.0,188.0,175,NQ,311.5,361.5,336.5,482.8,567.8,525.260009765625
Yearling Steer,330-400,Feeder,C,3,82,63,260.0,366.0,338.9024390243902,-18.8,472.7,665.5,616.2,923.0,1368.0,1225.5258632752953
Yearling Steer,330-400,Live Export,D,2,2,NQ,220.0,240.0,230,NQ,423.1,461.5,442.3,827.2,878.4,852.8000183105469
Yearling Steer,400+,Feeder,C,3,18,3,268.0,300.0,289.6666666666667,-15.9,487.3,545.5,526.7,1198.4,1404.0,1299.408888075087
Yearling Steer,400+,Feeder,D,3,1,-21,186.0,186.0,186,-102.5,350.9,350.9,350.9,773.8,773.8,773.760009765625
Yearling Steer,400+,Live Export,D,3,3,-48,248.0,250.0,248.66666666666666,8.7,467.9,471.7,469.2,1116.0,1165.0,1132.3333333333333
Yearling Steer,400+,Processor,C,3,3,-5,248.0,278.0,262,-34.0,450.9,505.5,476.4,1128.4,1462.3,1285.1600341796875
Yearling Steer,400+,Restocker,D,3,6,NQ,218.0,218.0,218,NQ,419.2,419.2,419.2,891.6,891.6,891.6199544270834
Yearling Heifer,200-280,Feeder,D,2,18,NQ,158.0,184.0,159.44444444444446,NQ,316.0,368.0,318.9,393.8,395.0,394.9311116536458
Yearling Heifer,200-280,Feeder,D,3,4,NQ,178.0,178.0,178,NQ,356.0,356.0,356.0,498.4,498.4,498.3999938964844
Yearling Heifer,200-280,Pastoral Cattle,D,2,14,NQ,80.0,138.0,120.57142857142857,NQ,166.7,276.0,242.6,211.2,347.8,298.3714294433594
Yearling Heifer,200-280,Pastoral Cattle,D,3,8,NQ,130.0,160.0,141.25,NQ,260.0,320.0,282.5,336.7,363.2,346.63751220703125
Yearling Heifer,200-280,Restocker,D,3,1,-5,166.0,166.0,166,36.0,319.2,319.2,319.2,451.5,451.5,451.5199890136719
Yearling Heifer,280-330,Feeder,C,2,3,NQ,168.0,168.0,168,NQ,336.0,336.0,336.0,529.2,529.2,529.2000325520834
Yearling Heifer,280-330,Feeder,C,3,8,1,234.0,276.0,260.25,22.5,450.0,530.8,500.5,680.9,902.5,819.4275207519531
Yearling Heifer,280-330,Feeder,D,3,31,NQ,100.0,222.0,215.8709677419355,NQ,192.3,426.9,415.6,303.0,686.4,666.7322525516634
Yearling Heifer,280-330,Pastoral Cattle,D,3,7,NQ,192.0,192.0,192,NQ,384.0,384.0,384.0,566.4,566.4,566.4000418526786
Yearling Heifer,330-400,Feeder,C,3,41,31,206.0,270.0,251.65853658536585,-8.5,396.2,519.2,484.0,739.2,982.1,898.0375619283536
Yearling Heifer,330-400,Feeder,D,3,17,-6,60.0,214.0,192.23529411764707,-40.4,115.4,411.5,369.7,199.2,802.5,708.4352937586167
Yearling Heifer,330-400,Processor,C,2,1,NQ,160.0,160.0,160,NQ,320.0,320.0,320.0,598.4,598.4,598.4000244140625
Yearling Heifer,330-400,Processor,C,3,2,NQ,242.0,242.0,242,NQ,465.4,465.4,465.4,943.8,943.8,943.7999877929688
Yearling Heifer,400+,Feeder,C,3,1,NC,242.0,242.0,242,22.0,465.4,465.4,465.4,1006.7,1006.7,1006.719970703125
Yearling Heifer,400+,Feeder,D,3,13,NQ,180.0,244.0,212,NQ,360.0,469.2,409.8,723.6,1032.1,867.4615384615385
Yearling Heifer,400+,Processor,C,3,2,1,274.0,274.0,274,54.0,526.9,526.9,526.9,1298.8,1298.8,1298.760009765625
Vealer Steer,0-200,Restocker,C,3,11,NC,280.0,342.0,325.09090909090907,-6.9,509.1,621.8,591.1,529.2,663.5,626.8581764914773
Vealer Steer,200-280,Feeder,C,3,1,-4,280.0,280.0,280,-28.0,509.1,509.1,509.1,772.8,772.8,772.7999877929688
Vealer Steer,200-280,Restocker,C,3,60,17,320.0,350.0,343.43333333333334,-0.5,581.8,636.4,624.4,784.0,875.0,830.4579915364583
Vealer Steer,280-330,Feeder,C,3,3,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,849.0,849.0,849
Vealer Steer,330+,Feeder,C,3,5,NQ,278.0,332.0,299.6,NQ,505.5,603.6,544.7,931.3,1314.7,1084.66796875
Vealer Heifer,0-200,Pastoral Cattle,D,2,24,NQ,90.0,168.0,145.25,NQ,180.0,350.0,300.4,177.3,319.2,277.81251525878906
Vealer Heifer,0-200,Pastoral Cattle,D,3,5,NQ,100.0,100.0,100,NQ,192.3,192.3,192.3,193.0,193.0,193
Vealer Heifer,0-200,Restocker,C,3,7,NQ,294.0,294.0,294,NQ,565.4,565.4,565.4,538.0,538.0,538.02001953125
Vealer Heifer,200-280,Feeder,D,3,2,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,411.2,411.2,411.20001220703125
Vealer Heifer,200-280,Pastoral Cattle,D,2,31,NQ,100.0,170.0,156.4516129032258,NQ,200.0,354.2,324.3,251.0,367.2,344.7096774193548
Vealer Heifer,200-280,Restocker,C,2,3,2,128.0,128.0,128,78.0,256.0,256.0,256.0,322.6,322.6,322.55999755859375
Vealer Heifer,200-280,Restocker,C,3,25,20,142.0,268.0,251.44,31.4,273.1,515.4,483.5,359.3,565.5,539.80958984375
