Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,C,2,1,NQ,366.0,366.0,366,NQ,703.8,703.8,703.8,1024.8,1024.8,1024.800048828125
Yearling Steer,280-330,Feeder,C,2,7,NQ,370.0,370.0,370,NQ,711.5,711.5,711.5,1110.0,1110.0,1110
Yearling Steer,330-400,Feeder,C,2,7,-71,374.0,374.0,374,-32.5,719.2,719.2,719.2,1402.5,1402.5,1402.5
Yearling Steer,330-400,Restocker,C,2,9,NQ,340.0,343.0,340.6666666666667,NQ,653.8,659.6,655.1,1173.0,1286.3,1201.9444444444443
Yearling Steer,400+,Feeder,C,2,15,-107,370.0,391.0,383,-21.6,685.2,751.9,729.5,1783.0,1890.9,1824.68798828125
Yearling Steer,400+,Processor,C,3,37,14,348.0,434.0,385.4594594594595,17.5,656.6,775.0,712.8,1430.3,1961.7,1700.6681271114865
Yearling Heifer,200-280,Feeder,C,2,5,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,896.0,896.0,896
Yearling Heifer,280-330,Feeder,C,2,33,NQ,310.0,338.0,328.7878787878788,NQ,596.2,650.0,632.3,1014.0,1036.2,1016.799989642519
Yearling Heifer,280-330,Restocker,C,2,26,NQ,294.0,300.0,296.53846153846155,NQ,506.9,517.2,511.3,852.6,870.0,859.9615384615385
Yearling Heifer,280-330,Restocker,D,2,5,NQ,286.0,286.0,286,NQ,493.1,493.1,493.1,829.4,829.4,829.4
Yearling Heifer,330-400,Feeder,C,2,22,-10,314.0,327.0,324.22727272727275,20.2,603.8,640.0,629.1,1083.3,1128.2,1123.6750044389205
Yearling Heifer,330-400,Processor,C,2,2,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1085.0,1085.0,1085
Yearling Heifer,330-400,Processor,C,3,8,NQ,366.0,366.0,366,NQ,653.6,653.6,653.6,1445.7,1445.7,1445.699951171875
Yearling Heifer,400+,Feeder,C,2,36,-3,320.0,360.0,351.52777777777777,19.1,640.0,692.3,678.1,1296.0,1641.6,1567.491672092014
