Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 579 (-395)
Commentary
"Naracoorte agents yarded 579 cattle this week, a drop of 395/head. The yarding was made up of 349 young cattle, 194 cows, 13 grown bulls and 23 open auction young cattle. Quality ranged from average to good with several pens of grain fed steers presenting in excellent condition, and a range of cattle suiting both the trade and feeders. The regular buying group operated in a market either side of firm. Yearlings sold to the trade to 378c to be firm with feeders paying 260c to 378c to be 10c/kg easier. The few better vealers sold to feeders to 311c/kg. Grown steers sold to 380c for the medium weights to be 10c stronger with heavy weights selling 390c/kg to be 10c/kg stronger. Heavy Grown heifers sold 10c/kg dearer. Heavy cows eased 10c to 15c selling from 280c to 322c/kg. 

Vealers and yearlings sold from 330c to 378c to the trade with feeders paying from 260c to 378c/kg. 

Medium and heavy steers sold to the trade from 330c to 390c with feeders paying from 330c to 360c/kg. Medium grown heifers sold from 250c to 338c, with heavier weights selling from 318c to 360c, feeders paid to 325c/kg. Light cows sold from 150c to 180c, medium 2 and 3 score cows sold from 150c to 286c/kg. Heavy 3 and 4 score cows sold from 280c to 322c/kg. Medium bulls sold to 282 with heavy bulls selling from 230c to 330c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,D,2,6,NQ,260.0,338.0,312,NQ,500.0,650.0,600.0,923.0,1352.0,1209
Yearling Steer,330-400,Restocker,D,2,2,1,265.0,265.0,265,10.0,509.6,509.6,509.6,1020.3,1020.3,1020.25
Yearling Steer,400+,Feeder,C,2,29,NC,270.0,346.0,340.44827586206895,-22.5,509.4,640.7,631.1,1255.5,1470.5,1449
Yearling Steer,400+,Feeder,C,3,22,-18,310.0,350.0,341.3636363636364,-17.1,584.9,648.1,633.1,1534.5,1750.0,1661.9772727272727
Yearling Steer,400+,Feeder,D,2,19,NQ,326.0,339.0,334.42105263157896,NQ,603.7,639.6,633.0,1385.5,1423.8,1412.3684210526317
Yearling Steer,400+,Processor,C,3,12,4,330.0,372.0,355.5,2.5,611.1,676.4,655.2,1732.5,1953.0,1794.375
Yearling Steer,400+,Processor,C,4,2,-11,378.0,378.0,378,17.2,675.0,675.0,675.0,1984.5,1984.5,1984.5
Yearling Heifer,330-400,Feeder,D,2,7,6,256.0,262.0,258.57142857142856,-31.4,492.3,503.8,497.3,960.0,982.5,969.6428571428571
Yearling Heifer,400+,Feeder,C,2,12,NQ,240.0,330.0,311.75,NQ,461.5,622.6,598.5,1164.0,1534.5,1372.0874837239583
Yearling Heifer,400+,Feeder,C,3,22,NQ,260.0,340.0,327.1363636363636,NQ,500.0,641.5,617.7,1105.0,1758.8,1521.6477272727273
