Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 613 (-308)
Commentary
"Cattle numbers were back this week with 613 head penned, made up of 368 young cattle, 219 cows, 22 grown bulls and a few pens of open auction young cattle. The quality was mixed with cows making up a third of the offering. Most of the regular buying group attended and operated in a market similar to last week. A few cents dearer on medium weight grown steers, to 10c/kg easier on heavy grown heifers, 10c to 20c/kg easier on yearling trade heifers and similar on the cows. Bulls sold 8c to 10c/kg dearer. 

Young cattle sold to the trade from 236 to 380c and feeders paid from 232c to 380c/kg. Plainer types sold from 180c to 190c/kg. 

Medium grown steers sold from 348c to 410c, with heavier weights selling from 303 to 374c/kg. Feeders paid from 266c to 380c/kg. Heavy weight heifers sold from 320c to 380c with feeders and restockers paying from 272c to 364c/kg. 

Medium weight cows sold from 180c to 210c. Heavy 3 and 4 score cows sold from 300c to 335c, with the plainer types selling from 265c to 288c/kg. Feeders paid 180c/kg for cows. Bulls sold from 200c to 320c, feeders paid from 210c to 310c/kg for young bulls. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,D,2,2,NQ,330.0,330.0,330,NQ,660.0,660.0,660.0,990.0,990.0,990
Yearling Steer,330-400,Feeder,C,2,12,NQ,285.0,365.0,324.6666666666667,NQ,527.8,688.7,608.4,1040.3,1460.0,1216.9708251953125
Yearling Steer,330-400,Restocker,C,2,14,10,328.0,346.0,332.7142857142857,7.7,618.9,652.8,627.8,1148.0,1262.9,1182.69287109375
Yearling Steer,330-400,Restocker,D,1,1,NQ,180.0,180.0,180,NQ,375.0,375.0,375.0,630.0,630.0,630
Yearling Steer,400+,Feeder,C,2,2,NQ,339.0,365.0,352,NQ,651.9,688.7,670.3,1551.3,1576.3,1563.7999877929688
Yearling Steer,400+,Feeder,C,3,9,2,355.0,365.0,358.3333333333333,-19.7,657.4,675.9,663.6,1615.3,1770.3,1666.9166666666667
Yearling Steer,400+,Feeder,D,2,2,NQ,296.0,296.0,296,NQ,558.5,558.5,558.5,1435.6,1435.6,1435.5999755859375
Yearling Steer,400+,Restocker,C,2,5,NQ,345.0,345.0,345,NQ,650.9,650.9,650.9,1466.3,1466.3,1466.25
Yearling Heifer,200-280,Restocker,D,2,1,NQ,232.0,232.0,232,NQ,464.0,464.0,464.0,638.0,638.0,638
Yearling Heifer,280-330,Feeder,D,2,1,NQ,265.0,265.0,265,NQ,509.6,509.6,509.6,861.3,861.3,861.25
Yearling Heifer,330-400,Feeder,C,2,14,-4,278.0,332.0,305,-11.0,534.6,626.4,576.2,973.0,1178.6,1100.7857491629463
Yearling Heifer,330-400,Feeder,C,3,2,-41,365.0,365.0,365,8.5,675.9,675.9,675.9,1332.3,1332.3,1332.25
Yearling Heifer,330-400,Feeder,D,1,1,NQ,190.0,190.0,190,NQ,365.4,365.4,365.4,665.0,665.0,665
Yearling Heifer,330-400,Feeder,D,2,3,-8,280.0,310.0,300,60.0,538.5,596.2,576.9,1106.0,1224.5,1185
