Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 17/09/2024
Comparison Date: 10/09/2024
Total Yarding: 997 (+267)
Commentary
"   Numbers lifted at Naracoorte today as agents yarded 997 head of liveweight and open auction cattle. These sold to the regular buying field with the trade, feeders and restockers all active over the pens. Quality was mixed from good prime lots down to store types with a wide range on offer in a sale that was mostly dearer this week. 
   Yearling cattle with weight and condition were in short supply with the trade active from mostly 254c to 390c over both sexes with some feeder interest from 365c to 388c/kg, again over both sexes.
   Grown steers and bullocks saw trade support from 365c to 390c with feeder activity from 382c to again 390c/kg. Grown heifers to trade buyers sold from 330c to 368c with feeders operating here from 330c to 361c/kg. 
   Heavy cows sold from 322c to 335c with medium weights selling from 288c to 315c as lighter lots made from 250c to 280c/kg. Bulls which were of heavy weights sold from 300c to 360c as lighter lots made from 260c to 324c/kg. 
   Market reporter Peter Kerr 
Please note this report has been compiled remotely with limited data"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Processor,C,3,6,NQ,254.0,254.0,254,NQ,508.0,508.0,508.0,762.0,762.0,762
Yearling Steer,330-400,Processor,C,3,13,NQ,323.0,390.0,379.6923076923077,NQ,646.0,780.0,759.4,1292.0,1560.0,1458.7692307692307
Yearling Steer,400+,Feeder,C,3,8,5,340.0,340.0,340,-32.0,653.8,653.8,653.8,1802.0,1802.0,1802
Yearling Steer,400+,Processor,C,3,44,39,340.0,368.0,358.97727272727275,9.8,653.8,707.7,690.3,1810.0,2210.0,1927.9000022194602
Yearling Heifer,330-400,Processor,C,3,1,-4,250.0,250.0,250,-72.0,500.0,500.0,500.0,912.5,912.5,912.5
Yearling Heifer,400+,Processor,C,3,6,-13,350.0,390.0,359.3333333333333,-5.7,700.0,780.0,718.7,1487.5,1657.5,1586.1666666666667
Grown Steer,400-500,Processor,C,3,4,-7,362.0,362.0,362,26.5,696.2,696.2,696.2,1810.0,1810.0,1810
Grown Steer,500-600,Processor,C,3,14,1,365.0,365.0,365,33.1,701.9,701.9,701.9,2007.5,2117.0,2077.8928571428573
Grown Steer,600-750,Feeder,C,3,4,NQ,382.0,390.0,386,NQ,734.6,750.0,742.3,2368.4,2535.0,2451.699951171875
Grown Steer,600-750,Processor,C,3,7,1,350.0,382.0,377.42857142857144,46.6,673.1,734.6,725.8,2368.4,2450.0,2380.057059151786
Cows,0-400,Processor,D,2,8,2,240.0,240.0,240,74.0,500.0,500.0,500.0,960.0,960.0,960
Cows,400-520,Processor,D,2,20,8,269.0,288.0,273.75,21.1,584.8,626.1,595.1,1291.2,1440.0,1328.4
Cows,400-520,Restocker,D,2,5,NQ,280.0,280.0,280,NQ,583.3,583.3,583.3,1260.0,1260.0,1260
Cows,520+,Processor,D,3,68,NQ,322.0,336.0,329.75,NQ,619.2,646.2,634.1,1950.0,2310.0,2152.925005744485
Bulls,600+,Processor,C,3,4,2,240.0,360.0,313.75,23.8,461.5,692.3,609.4,2280.0,3600.0,2986.25
