Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,16,NQ,338.0,338.0,338,NQ,650.0,650.0,650.0,939.6,939.6,939.6400146484375
Yearling Steer,330-400,Restocker,C,2,40,NQ,327.0,335.0,333.3,NQ,628.8,644.2,641.0,1172.5,1309.8,1261.3037475585938
Yearling Steer,400+,Feeder,C,2,14,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1662.5,1662.5,1662.5
Yearling Steer,400+,Restocker,C,2,3,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,1450.7,1450.7,1450.6998697916667
Yearling Steer,400+,Restocker,D,2,3,NQ,326.0,326.0,326,NQ,626.9,626.9,626.9,1450.7,1450.7,1450.6998697916667
Yearling Heifer,200-280,Restocker,D,2,11,NQ,278.0,278.0,278,NQ,556.0,556.0,556.0,756.2,756.2,756.1599786931819
Yearling Heifer,280-330,Processor,D,3,2,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1023.0,1023.0,1023
Yearling Heifer,330-400,Feeder,C,2,6,-1,305.0,305.0,305,-1.0,586.5,586.5,586.5,1180.3,1180.3,1180.3499348958333
Yearling Heifer,330-400,Processor,C,3,4,3,340.0,340.0,340,12.0,629.6,629.6,629.6,1298.8,1298.8,1298.800048828125
Yearling Heifer,330-400,Processor,D,3,2,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1251.2,1251.2,1251.199951171875
Yearling Heifer,330-400,Restocker,C,2,6,NQ,314.0,314.0,314,NQ,603.8,603.8,603.8,1249.7,1249.7,1249.719970703125
Yearling Heifer,330-400,Restocker,D,2,5,NQ,294.0,302.0,298.8,NQ,565.4,580.8,574.6,1117.2,1177.8,1153.560009765625
Yearling Heifer,330-400,Restocker,D,3,3,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,1177.8,1177.8,1177.800048828125
Yearling Heifer,400+,Feeder,C,2,22,NQ,311.0,335.0,329.54545454545456,NQ,598.1,632.1,624.3,1290.7,1460.6,1421.9749644886363
Yearling Heifer,400+,Feeder,D,3,10,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1488.3,1488.3,1488.3
Yearling Heifer,400+,Processor,C,3,5,-31,330.0,330.0,330,-6.0,611.1,611.1,611.1,1521.3,1521.3,1521.3
Yearling Heifer,400+,Processor,D,3,5,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1521.3,1521.3,1521.3
Yearling Heifer,400+,Restocker,D,2,14,NQ,295.0,295.0,295,NQ,567.3,567.3,567.3,1262.6,1262.6,1262.6000279017858
Yearling Heifer,400+,Restocker,D,3,6,NQ,314.0,314.0,314,NQ,603.8,603.8,603.8,1259.1,1259.1,1259.1399739583333
Manufacturing Steer,0-540,Restocker,D,2,4,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,661.5,661.5,661.5
Manufacturing Steer,540+,Processor,D,3,5,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1776.3,1776.3,1776.3
Grown Steer,400-500,Feeder,C,2,8,NQ,344.0,344.0,344,NQ,649.1,649.1,649.1,1706.2,1706.2,1706.239990234375
Grown Steer,400-500,Restocker,D,2,4,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1354.1,1354.1,1354.0799560546875
Grown Steer,500-600,Feeder,C,2,102,NQ,338.0,378.0,366.5882352941176,NQ,625.9,713.2,691.4,1806.4,2028.0,1966.4677758310356
Grown Steer,500-600,Feeder,C,3,17,-86,346.0,360.0,355.05882352941177,-15.6,652.8,679.2,669.9,1871.9,2019.6,1967.4564568014705
Grown Steer,500-600,Processor,C,3,26,-6,335.0,346.0,342.61538461538464,-17.8,620.4,640.7,634.5,1923.8,2049.3,1990.17041015625
Grown Steer,500-600,Processor,D,3,6,NQ,328.0,346.0,340,NQ,607.4,640.7,629.6,1923.8,1935.2,1927.5733235677083
Grown Steer,600-750,Feeder,C,3,7,-10,354.0,354.0,354,-9.8,655.6,655.6,655.6,2152.3,2152.3,2152.3200334821427
Grown Steer,600-750,Processor,C,3,7,-66,334.0,355.0,347.57142857142856,-10.5,618.5,645.5,635.2,2237.8,2609.3,2463.6214425223216
Grown Steer,600-750,Processor,C,4,6,NQ,338.0,355.0,346.5,NQ,625.9,645.5,635.7,2372.8,2609.3,2491.0050455729165
Grown Steer,750+,Processor,C,4,5,NQ,330.0,365.0,358,NQ,600.0,663.6,650.9,2673.0,2784.9,2762.5599609375
Grown Heifer,0-540,Processor,D,3,19,NQ,290.0,328.0,299.89473684210526,NQ,547.2,618.9,565.8,1467.4,1689.2,1506.0894711143092
Grown Heifer,0-540,Processor,D,4,6,NQ,318.0,328.0,321.3333333333333,NQ,600.0,618.9,606.3,1596.4,1689.2,1627.306660970052
Grown Heifer,0-540,Restocker,C,2,7,NQ,302.0,328.0,309.42857142857144,NQ,580.8,630.8,595.1,1398.3,1531.8,1436.40283203125
Grown Heifer,0-540,Restocker,D,3,5,NQ,306.0,306.0,306,NQ,588.5,588.5,588.5,1358.6,1358.6,1358.6400390625
Grown Heifer,540+,Processor,D,3,8,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1770.1,1770.1,1770.0999755859375
Grown Heifer,540+,Processor,D,4,21,NQ,328.0,332.0,329.9047619047619,NQ,607.4,618.9,611.5,1968.0,2155.0,2057.9734002976193
Cows,400-520,Processor,D,1,1,NQ,235.0,235.0,235,NQ,479.6,479.6,479.6,963.5,963.5,963.5
Cows,400-520,Processor,D,2,42,35,258.0,270.0,261.73809523809524,49.7,516.0,536.0,521.7,1048.9,1404.0,1238.048851376488
Cows,400-520,Restocker,D,1,32,NQ,210.0,259.0,230.28125,NQ,437.5,518.0,470.6,963.5,1259.8,1092.3537368774414
Cows,400-520,Restocker,D,2,31,NQ,254.0,265.0,262.16129032258067,NQ,508.0,530.0,524.3,1259.8,1362.1,1335.7102759576612
Cows,520+,Processor,C,3,18,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1571.0,1571.0,1570.9599609375
Cows,520+,Processor,C,4,7,NQ,308.0,308.0,308,NQ,581.1,581.1,581.1,2417.8,2417.8,2417.7999441964284
Cows,520+,Processor,D,1,3,NQ,170.0,170.0,170,NQ,354.2,354.2,354.2,926.5,926.5,926.5
