Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 27/08/2024
Comparison Date: 
Total Yarding: 655 (NQ)
Commentary
" Cattle numbers increased by 200 with 655 yarded this week. Numbers were made up of 411 young cattle, 229 cows 5 grown bulls and a few open auction young cattle. Quality was mixed with well finished processing cattle in limited numbers, but with a few pens of grain assisted steers and heifers penned. The usual buying group attended and operated in a similar market on the grown steers and heifers, dearer on the few quality pens off grain to be up by 10c to 20/kg. Vealers and yearlings sold to the trade from 260c to 405c for the better types. Cows generally eased 10c to 20c on last week’s high levels with bulls selling to 300c to be a little dearer. 

Young cattle sold to the trade from 260 to 405c with feeders paying from 240c to 406c/kg. Plainer types sold from 80c to 180c/kg. 

Light and medium weight grown steers sold from 340c to 392c with feeders paying from 345c to 365c. Heavy steers sold to the trade from 382c to 400c. Medium weight grown heifers sold from 270c to 388c with heavy weights selling from 318c to 388c/kg. Feeders and restockers paid from 265f to 365c/kg. 

Light 1 and 2 score cows sold from 100c to 170c. Medium weight 2 and 3 score cows sold from 130 to 240c with the heavy 3 and 4 score cows selling from 308c to 350c, and  the 1 and 2 scores selling from 140c to 306c/kg. Medium bulls sold from 140c to 162, heavy weights sold from 290c to 300c with feeders paying from 140c to 270c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,1,3,NQ,50.0,234.0,128,NQ,100.0,468.0,256.0,112.5,573.3,303.59999593098956
Yearling Steer,200-280,Feeder,D,2,1,NQ,210.0,210.0,210,NQ,403.8,403.8,403.8,577.5,577.5,577.5
Yearling Steer,200-280,Restocker,D,1,23,14,168.0,168.0,168,-100.0,350.0,350.0,350.0,378.0,378.0,378
Yearling Steer,280-330,Feeder,D,1,2,NQ,218.0,218.0,218,NQ,436.0,436.0,436.0,654.0,654.0,654
Yearling Steer,280-330,Feeder,D,2,3,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,769.5,769.5,769.5
