Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 30/07/2024
Comparison Date: 
Total Yarding: 393 (NQ)
Commentary
"Cattle numbers eased to 393 head, back approximately 100 on last week. Quality ranged from plain to very good in a typical winter offering. Cow numbers were back with young cattle making up 75% of the yarding. Numbers were made up of 275 young cattle, 94 cows, 22 grown bulls and a few open auction young cattle. Several pens of grain assisted young cattle were offered selling to 428c/kg for a good result. Yearlings and vealers sold mostly to feeders a few cents either side of last weeks levels. Grown steers sold to 5c/kg stronger with grown heifers selling around firm. The best heavy cows sold similar making to 354c and bulls were 30c to 40c/kg easier. 

Yearlings sold to the trade from 355c to 428c and to feeders from 310c to 401c, plainer types sold from 250c to 292c/kg. 

Light and medium weight steers sold from 360c to 400c, with heavy weights selling from 372c to 380c, feeders paid from 302c to 401c/kg. Medium weight grown heifers sold to 230c, with heavier weights selling from 248c to 358c. Feeders and restocker’s paid to 204c for plainer types. Light weight cows sold to 140c, Medium weight 1 and 2 scores sold from 196c to 282c. Heavy 3 and 4 score cows sold from 322c to 354c with the 1 and 2 scores selling from 224c to 320c/kg. Medium weight bulls sold from 280c to 284c, heavy weights sold from 220c to 288c, feeders paid from 242 to 355c for young bulls. 

Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,2,NQ,285.0,288.0,286.5,NQ,527.8,533.3,530.6,926.3,936.0,931.125
Yearling Steer,280-330,Feeder,D,1,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,576.0,576.0,576
Yearling Steer,280-330,Feeder,D,2,7,NQ,250.0,270.0,264.2857142857143,NQ,500.0,519.2,513.7,796.5,812.5,801.0714285714286
Yearling Steer,330-400,Feeder,C,2,5,NQ,290.0,322.0,313.2,NQ,537.0,596.3,580.0,1015.0,1207.5,1128.4
Yearling Steer,330-400,Feeder,D,1,6,NQ,205.0,205.0,205,NQ,394.2,394.2,394.2,768.8,768.8,768.75
Yearling Steer,330-400,Feeder,D,2,6,4,285.0,285.0,285,-35.0,548.1,548.1,548.1,1097.3,1097.3,1097.25
Yearling Steer,400+,Feeder,B,3,14,NQ,342.0,365.0,351.85714285714283,NQ,600.0,640.4,617.3,1551.3,1658.7,1612.6499720982142
Yearling Steer,400+,Feeder,C,3,6,NQ,401.0,401.0,401,NQ,729.1,729.1,729.1,1784.4,1784.4,1784.4498697916667
Yearling Steer,400+,Processor,C,4,21,20,390.0,428.0,412.9047619047619,-7.1,696.4,764.3,737.3,1852.5,1904.6,1887.9261532738096
Yearling Heifer,280-330,Feeder,C,2,1,NQ,277.0,277.0,277,NQ,522.6,522.6,522.6,900.3,900.3,900.25
Yearling Heifer,280-330,Restocker,D,2,3,-5,310.0,310.0,310,71.3,584.9,584.9,584.9,1007.5,1007.5,1007.5
Yearling Heifer,330-400,Feeder,C,1,2,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,730.0,730.0,730
Yearling Heifer,330-400,Feeder,C,2,8,NQ,284.0,305.0,289.25,NQ,546.2,564.8,550.8,965.6,1052.3,1003.2374877929688
Yearling Heifer,330-400,Feeder,C,3,2,NQ,355.0,396.0,375.5,NQ,657.4,720.0,688.7,1224.8,1405.8,1315.2750244140625
Yearling Heifer,330-400,Restocker,C,2,25,NQ,322.0,322.0,322,NQ,619.2,619.2,619.2,1110.9,1110.9,1110.9
Yearling Heifer,400+,Feeder,C,3,5,NQ,300.0,365.0,327.6,NQ,545.5,651.8,590.9,1275.0,1697.3,1450.7
Yearling Heifer,400+,Processor,C,3,3,NQ,355.0,355.0,355,NQ,633.9,645.5,637.8,1491.0,1721.8,1644.8333333333333
Yearling Heifer,400+,Processor,C,4,10,NQ,355.0,400.0,373.9,NQ,645.5,727.3,676.0,1615.3,1820.0,1712.8849609375
Vealer Steer,280-330,Restocker,C,2,6,NQ,310.0,335.0,322.5,NQ,563.6,609.1,588.1,1007.5,1105.5,1056.5
Vealer Steer,330+,Feeder,C,2,2,NQ,344.0,344.0,344,NQ,625.5,625.5,625.5,1255.6,1255.6,1255.5999755859375
Vealer Steer,330+,Feeder,C,3,1,NQ,397.0,397.0,397,NQ,721.8,721.8,721.8,1488.8,1488.8,1488.75
Vealer Steer,330+,Restocker,C,2,5,NQ,338.0,338.0,338,NQ,614.5,614.5,614.5,1166.1,1166.1,1166.1
Vealer Heifer,280-330,Feeder,C,2,6,NQ,334.0,334.0,334,NQ,618.5,618.5,618.5,1002.0,1002.0,1002
Vealer Heifer,280-330,Feeder,D,2,3,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,855.5,855.5,855.5
Vealer Heifer,280-330,Restocker,D,2,21,NQ,250.0,292.0,265.6190476190476,NQ,480.8,550.9,508.3,712.5,905.2,788.8714308965774
Manufacturing Steer,0-540,Feeder,D,1,4,NQ,202.0,202.0,202,NQ,404.0,404.0,404.0,959.5,959.5,959.5
Manufacturing Steer,0-540,Restocker,D,1,4,NQ,188.0,188.0,188,NQ,376.0,376.0,376.0,799.0,799.0,799
Grown Steer,400-500,Feeder,C,3,3,NQ,401.0,401.0,401,NQ,729.1,729.1,729.1,1784.4,1784.4,1784.4498697916667
Grown Steer,400-500,Feeder,D,2,1,-7,302.0,302.0,302,-38.0,604.0,604.0,604.0,1434.5,1434.5,1434.5
Grown Steer,500-600,Processor,C,3,1,-12,390.0,390.0,390,12.5,709.1,709.1,709.1,2047.5,2047.5,2047.5
Grown Steer,500-600,Processor,C,4,40,NQ,372.0,400.0,389.875,NQ,676.4,716.4,705.3,2100.0,2233.0,2181.985009765625
Grown Steer,500-600,Processor,D,3,8,NQ,360.0,365.0,362.5,NQ,663.6,666.7,665.2,1916.3,2098.8,2038.75
Grown Steer,600-750,Processor,C,3,3,NC,372.0,372.0,372,4.0,676.4,676.4,676.4,2325.0,2325.0,2325
Grown Steer,600-750,Processor,C,4,5,NQ,380.0,380.0,380,NQ,678.6,678.6,678.6,2375.0,2375.0,2375
Grown Heifer,0-540,Feeder,C,1,1,NQ,204.0,204.0,204,NQ,392.3,392.3,392.3,765.0,765.0,765
Grown Heifer,0-540,Processor,D,2,1,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,977.5,977.5,977.5
Grown Heifer,540+,Feeder,D,3,1,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1907.5,1907.5,1907.5
Grown Heifer,540+,Processor,B,3,1,NQ,358.0,358.0,358,NQ,650.9,650.9,650.9,2201.7,2201.7,2201.699951171875
Grown Heifer,540+,Processor,C,3,2,NC,344.0,344.0,344,-26.0,637.0,637.0,637.0,1967.7,1967.7,1967.6800537109375
Grown Heifer,540+,Processor,C,4,4,NQ,354.0,354.0,354,NQ,632.1,632.1,632.1,2035.5,2035.5,2035.5
Grown Heifer,540+,Processor,D,2,2,1,248.0,350.0,299,14.0,459.3,648.1,553.7,1426.0,2047.5,1736.75
Grown Heifer,540+,Processor,D,4,1,-1,330.0,330.0,330,-5.0,622.6,622.6,622.6,1798.5,1798.5,1798.5
Cows,0-400,Processor,D,1,2,NQ,140.0,140.0,140,NQ,333.3,333.3,333.3,490.0,490.0,490
Cows,400-520,Dairy,E,1,2,NQ,216.0,216.0,216,NQ,469.6,469.6,469.6,1026.0,1026.0,1026
Cows,400-520,Processor,D,1,25,3,196.0,282.0,274.72,55.8,435.6,613.0,599.2,891.8,1466.4,1403.9119995117187
Cows,520+,Processor,D,1,2,1,244.0,244.0,244,24.0,542.2,542.2,542.2,1281.0,1281.0,1281
Cows,520+,Processor,D,2,33,28,272.0,320.0,298.09090909090907,22.1,566.7,640.0,604.0,1496.3,1808.0,1653.013623786695
Cows,520+,Processor,D,3,16,-100,322.0,338.0,327.375,2.1,619.2,660.0,628.1,1886.0,2112.5,1971.875
Cows,520+,Processor,D,4,21,-3,338.0,354.0,349.3333333333333,5.8,637.7,669.2,655.0,2112.5,2637.3,2432.5476190476193
Bulls,0-450,Feeder,C,1,2,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,968.0,968.0,968
Bulls,0-450,Feeder,C,2,4,NQ,255.0,355.0,296.25,NQ,481.1,682.7,559.6,1011.8,1242.5,1139
Bulls,0-450,Processor,C,1,2,NQ,180.0,250.0,215,NQ,333.3,463.0,398.1,792.0,1062.5,927.25
