Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 03/12/2024
Comparison Date: 26/11/2024
Total Yarding: 113 (-25)
Commentary
"There was a smaller yarding of 113 trade and export cattle at Powranna on Tuesday with quality much improved. With good recent rains prices improved 40c to 50c on last week’s cheaper market. Most yearling steers made 278c to 312c while heifers made 250c to 332c. Grown steers and bullocks improved 40c to make 280c to 340c.

There were about 40 cows and heavy cows improved 10c to 15c to make 232c to 260c while leaner cows made 150c to 224c. Heavy bulls made 180c to 214c/kg live.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,2,1,NQ,276.0,276.0,276,NQ,511.1,511.1,511.1,1048.8,1048.8,1048.800048828125
Yearling Steer,400+,Processor,C,2,2,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1100.0,1100.0,1100
Yearling Steer,400+,Processor,C,3,7,-1,286.0,312.0,297.7142857142857,36.2,520.0,557.1,537.1,1229.8,1468.8,1381.3428780691963
Yearling Steer,400+,Restocker,C,3,3,2,278.0,302.0,286,38.0,514.8,559.3,529.6,1223.2,1283.5,1243.2999674479167
Yearling Heifer,330-400,Processor,C,3,1,NC,332.0,332.0,332,90.0,614.8,614.8,614.8,1328.0,1328.0,1328
Yearling Heifer,400+,Processor,C,3,9,NC,250.0,324.0,286,30.2,463.0,589.1,528.4,1175.0,1652.4,1328.6000027126736
Yearling Heifer,400+,Restocker,C,3,3,1,302.0,302.0,302,52.0,559.3,559.3,559.3,1494.9,1494.9,1494.9000651041667
Grown Steer,500-600,Processor,C,2,1,NQ,288.0,288.0,288,NQ,543.4,543.4,543.4,1670.4,1670.4,1670.4000244140625
Grown Steer,500-600,Processor,C,3,9,5,284.0,340.0,311.1111111111111,47.1,516.4,596.5,559.6,1515.8,1968.0,1751.6888970269097
Grown Steer,500-600,Restocker,C,2,2,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,1600.8,1600.8,1600.800048828125
Grown Steer,500-600,Restocker,C,3,2,-2,280.0,284.0,282,25.0,516.4,518.5,517.4,1512.0,1590.4,1551.2000122070312
Grown Steer,600-750,Processor,C,3,2,-2,296.0,312.0,304,33.5,528.6,557.1,542.9,1924.0,1934.4,1929.2000122070312
Grown Steer,750+,Processor,C,3,3,2,292.0,292.0,292,38.0,530.9,530.9,530.9,2198.8,2198.8,2198.7600911458335
Cows,0-400,Processor,D,1,3,NQ,150.0,150.0,150,NQ,312.5,312.5,312.5,570.0,570.0,570
Cows,0-400,Restocker,D,1,2,NQ,186.0,224.0,205,NQ,387.5,509.1,448.3,706.8,873.6,790.1999816894531
Cows,400-520,Processor,D,3,1,-3,244.0,244.0,244,22.0,460.4,460.4,460.4,1268.8,1268.8,1268.800048828125
Cows,400-520,Restocker,D,1,4,-8,170.0,216.0,204.5,44.5,386.4,450.0,434.1,884.0,1051.9,1009.9400634765625
Cows,400-520,Restocker,D,2,5,NQ,220.0,244.0,230.8,NQ,478.3,479.2,478.8,1000.4,1110.9,1077.8200439453126
Cows,400-520,Restocker,D,3,2,NQ,232.0,240.0,236,NQ,454.9,461.5,458.2,1067.2,1152.0,1109.5999755859375
Cows,520+,Processor,D,3,16,-7,232.0,260.0,249.375,16.2,446.2,490.6,464.0,1322.4,1663.2,1538.3562088012695
Bulls,450-600,Processor,C,2,1,NQ,214.0,214.0,214,NQ,375.4,375.4,375.4,1219.8,1219.8,1219.800048828125
Bulls,600+,Processor,C,2,9,5,180.0,214.0,201.55555555555554,-19.7,327.3,375.4,352.9,1310.4,1980.0,1651.0222303602432
