Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 08/10/2024
Comparison Date: 01/10/2024
Total Yarding: 68 (-102)
Commentary
"There was a much smaller yarding of 68 trade and export cattle at Powranna on Tuesday with some very good quality yearlings included. Trade cattle sold to good competition with yearling steers making 344c to 372c, leaner 292c to 300c and the few heifers 310c to 334c.
The few grown steers made 320c to 358c while heavy beef cows made 268c to 302c to average 6c higher. Medium weight cows made 250c to 272c and lighter D1 cows 118c to 180c/kg live.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,C,2,1,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,1372.4,1372.4,1372.4000244140625
Yearling Steer,400+,Processor,C,3,12,NQ,344.0,372.0,352,NQ,614.3,664.3,632.3,1626.2,2083.2,1904.8367004394531
Yearling Steer,400+,Restocker,C,2,2,1,300.0,318.0,309,7.0,566.0,600.0,583.0,1367.4,1440.0,1403.7000122070312
Yearling Heifer,400+,Processor,C,2,2,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1302.0,1302.0,1302
Yearling Heifer,400+,Processor,C,3,2,-5,334.0,334.0,334,-4.6,630.2,630.2,630.2,1519.7,1519.7,1519.699951171875
Grown Steer,500-600,Processor,C,3,3,NC,330.0,356.0,347.3333333333333,-2.7,600.0,647.3,627.7,1848.0,2136.0,2016.2666829427083
Grown Steer,600-750,Processor,C,3,4,2,320.0,358.0,348.5,-1.5,592.6,639.3,627.6,1952.0,2291.2,2206.39990234375
Cows,0-400,Restocker,D,1,7,-54,118.0,166.0,138.57142857142858,-42.3,268.2,377.3,314.9,451.9,619.2,523.6142926897321
Cows,400-520,Processor,D,1,1,-7,200.0,200.0,200,-17.5,408.2,408.2,408.2,920.0,920.0,920
Cows,400-520,Processor,D,2,4,-2,246.0,264.0,255,-5.8,482.4,517.6,500.0,1254.6,1320.0,1287.2999877929688
Cows,400-520,Processor,D,3,1,-1,272.0,272.0,272,3.0,513.2,513.2,513.2,1414.4,1414.4,1414.4000244140625
Cows,400-520,Restocker,D,1,6,-23,150.0,180.0,158.33333333333334,-17.9,340.9,375.0,348.8,682.5,850.0,728.6666666666666
Cows,520+,Processor,D,2,2,NQ,250.0,250.0,250,NQ,490.2,490.2,490.2,1312.5,1312.5,1312.5
Cows,520+,Processor,D,3,8,-13,268.0,302.0,291.25,6.3,505.7,559.3,541.7,1407.0,1972.1,1790.5725708007812
Bulls,450-600,Restocker,C,2,2,NQ,210.0,210.0,210,NQ,375.0,375.0,375.0,1260.0,1260.0,1260
Bulls,600+,Processor,C,2,3,NQ,200.0,220.0,210,NQ,357.1,386.0,372.7,1540.0,1870.0,1717.6666666666667
Bulls,600+,Restocker,C,2,1,NQ,222.0,222.0,222,NQ,389.5,389.5,389.5,1420.8,1420.8,1420.800048828125
