Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 11/06/2024
Comparison Date: 04/06/2024
Total Yarding: 107 (+4)
Commentary
"There was a similar number of 107 cattle at Powranna on Tuesday with a better run of yearlings and grown steers. The market was fully firm with yearling steers making 226c to 246c, heifers 200c to 226c and leaner 154c to 194c/kg.
Grown steers and bullocks made 210c to 256c/kg.

There was a better quality yarding of 45 cows and the better heavy cows met a stronger market making 170c to 190c, leaner 80c to 120c and very poor 10c to 50c. Heavy bulls made 120c to 150c/kg liveweight.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,3,1,NQ,226.0,226.0,226,NQ,426.4,426.4,426.4,813.6,813.6,813.5999755859375
Yearling Steer,330-400,Restocker,C,3,3,NQ,226.0,226.0,226,NQ,418.5,418.5,418.5,836.2,836.2,836.2000325520834
Yearling Steer,400+,Processor,C,3,13,NQ,226.0,246.0,235.3846153846154,NQ,414.3,439.3,426.7,949.2,1248.0,1130.3415198692908
Yearling Steer,400+,Restocker,C,2,1,-3,226.0,226.0,226,18.0,434.6,434.6,434.6,1017.0,1017.0,1017
Yearling Steer,400+,Restocker,C,3,3,NQ,224.0,236.0,228.66666666666666,NQ,422.6,429.1,426.0,940.8,1156.4,1060.6666870117188
Yearling Heifer,330-400,Processor,C,2,1,NQ,194.0,194.0,194,NQ,373.1,373.1,373.1,776.0,776.0,776
Yearling Heifer,400+,Processor,C,3,2,-7,218.0,226.0,222,-4.7,403.7,426.4,415.1,1017.0,1111.8,1064.4000244140625
Yearling Heifer,400+,Restocker,C,2,3,NQ,154.0,178.0,170,NQ,302.0,342.3,328.9,693.0,774.3,747.1999918619791
Yearling Heifer,400+,Restocker,C,3,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,900.0,900.0,900
Grown Steer,500-600,Processor,C,3,8,3,210.0,256.0,240.75,10.8,388.9,449.1,432.6,1176.0,1510.4,1403.5999908447266
Grown Steer,500-600,Restocker,C,3,4,NQ,230.0,236.0,231.5,NQ,418.2,421.4,419.0,1265.0,1274.4,1267.3500061035156
Grown Steer,600-750,Processor,C,2,2,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1323.0,1323.0,1323
Grown Steer,600-750,Processor,C,3,3,-2,220.0,220.0,220,-15.2,407.4,407.4,407.4,1392.6,1392.6,1392.5999348958333
Grown Heifer,540+,Processor,C,3,1,NQ,182.0,182.0,182,NQ,337.0,337.0,337.0,1055.6,1055.6,1055.5999755859375
Cows,0-400,Restocker,D,1,9,3,10.0,46.0,18.444444444444443,-11.6,28.6,109.5,48.7,34.3,161.0,64.75555419921875
Cows,400-520,Processor,D,1,2,NQ,50.0,80.0,65,NQ,119.0,177.8,148.4,225.0,416.0,320.5
Cows,400-520,Processor,D,2,1,-10,100.0,100.0,100,-35.5,208.3,208.3,208.3,470.0,470.0,470
Cows,400-520,Processor,D,3,1,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,900.0,900.0,900
Cows,400-520,Restocker,D,1,9,2,20.0,50.0,33.333333333333336,9.0,57.1,119.0,84.7,81.6,251.5,157.11111111111111
Cows,520+,Processor,D,1,1,NQ,80.0,80.0,80,NQ,173.9,173.9,173.9,440.0,440.0,440
Cows,520+,Processor,D,3,19,10,170.0,190.0,184.21052631578948,14.4,314.8,351.9,342.4,918.0,1539.0,1199.971589740954
Cows,520+,Restocker,D,2,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,672.0,672.0,672
Bulls,450-600,Processor,C,2,1,NQ,120.0,120.0,120,NQ,214.3,214.3,214.3,672.0,672.0,672
Bulls,600+,Processor,C,2,4,-1,140.0,150.0,147,5.0,241.4,259.6,254.6,1006.4,1515.0,1326.8500061035156
