Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 16/04/2024
Comparison Date: 09/04/2024
Total Yarding: 153 (+5)
Commentary
"There was a similar number of 153 trade and export cattle at Powranna on Tuesday with quality of trade cattle not as good. Prices lost the gains of last week with many averages 10c to 15c/kg cheaper.
Yearling steers made 214c to 248c and leaner 170c to 190c while the best heifers made 180c to 208c/kg.
The few grown steers and bullocks made 208c to 240c.

There were 70 cows and most were cheaper with the best heavy cows making 160c to 184c, leaner 120c to 152c and very lean 58c to 90c/kg.
 Heavy bulls sold for 120c to 150c/kg liveweight.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,3,1,-2,248.0,248.0,248,26.7,459.3,459.3,459.3,992.0,992.0,992
Yearling Steer,400+,Processor,C,3,2,1,232.0,240.0,236,-8.0,421.8,444.4,433.1,1160.0,1224.0,1192
Yearling Steer,400+,Restocker,C,2,2,1,170.0,190.0,180,-20.0,326.9,372.5,349.7,765.0,893.0,829
Yearling Steer,400+,Restocker,C,3,9,3,214.0,240.0,227.77777777777777,-0.2,400.0,444.4,420.0,963.2,1155.6,1084.177781846788
Yearling Heifer,330-400,Restocker,C,3,2,1,170.0,184.0,177,-59.0,326.9,347.2,337.0,629.0,699.2,664.1000061035156
Yearling Heifer,400+,Processor,C,2,1,NC,180.0,180.0,180,-6.0,352.9,352.9,352.9,972.0,972.0,972
Yearling Heifer,400+,Processor,C,3,3,-7,208.0,208.0,208,-17.6,400.0,400.0,400.0,992.2,992.2,992.1599934895834
Yearling Heifer,400+,Restocker,C,2,1,NQ,182.0,182.0,182,NQ,356.9,356.9,356.9,928.2,928.2,928.2000122070312
Yearling Heifer,400+,Restocker,C,3,4,NC,180.0,202.0,195.5,-36.5,346.2,384.6,370.6,738.0,868.6,821.6499938964844
Grown Steer,400-500,Restocker,C,3,1,NQ,208.0,208.0,208,NQ,392.5,392.5,392.5,998.4,998.4,998.4000244140625
Grown Steer,500-600,Restocker,C,3,1,NQ,218.0,218.0,218,NQ,403.7,403.7,403.7,1188.1,1188.1,1188.0999755859375
Grown Steer,600-750,Processor,C,3,3,NQ,240.0,240.0,240,NQ,444.4,444.4,444.4,1576.8,1576.8,1576.8001302083333
Grown Steer,750+,Processor,C,3,1,NQ,150.0,150.0,150,NQ,277.8,277.8,277.8,1245.0,1245.0,1245
Cows,0-400,Processor,D,1,2,NQ,70.0,70.0,70,NQ,145.8,145.8,145.8,280.0,280.0,280
Cows,400-520,Processor,D,1,9,8,86.0,90.0,87.77777777777777,-32.2,187.0,204.5,194.8,387.0,442.0,417.57777235243054
Cows,400-520,Processor,D,2,4,NQ,152.0,152.0,152,NQ,298.0,298.0,298.0,749.4,749.4,749.3599853515625
Cows,400-520,Processor,D,3,3,NC,160.0,160.0,160,-1.3,301.9,301.9,301.9,800.0,816.0,805.3333333333334
Cows,400-520,Restocker,D,1,18,1,58.0,62.0,59.333333333333336,-57.1,138.1,147.6,144.7,253.0,290.0,260.5433349609375
Cows,400-520,Restocker,D,2,9,-1,120.0,126.0,125.33333333333333,-10.1,230.8,262.5,259.0,580.9,588.0,581.6533203125
Cows,520+,Processor,D,1,2,NQ,70.0,70.0,70,NQ,145.8,145.8,145.8,395.5,395.5,395.5
Cows,520+,Processor,D,3,10,-24,160.0,184.0,175.2,-7.1,307.7,340.7,328.6,848.0,1196.0,1067.4900024414062
Cows,520+,Restocker,D,2,4,2,120.0,120.0,120,-6.0,244.9,244.9,244.9,666.0,666.0,666
Bulls,600+,Processor,C,2,5,-1,120.0,150.0,129,-17.0,206.9,254.2,223.8,912.5,1575.0,1129.9
Bulls,600+,Restocker,C,2,1,NQ,152.0,152.0,152,NQ,262.1,262.1,262.1,1048.8,1048.8,1048.800048828125
