Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 16/07/2024
Comparison Date: 09/07/2024
Total Yarding: 43 (-49)
Commentary
"There was a much smaller yarding of 43 cattle at Powranna on Tuesday with over half being cows. The quality was disappointing following last week’s good yarding but prices held up on small numbers.
Yearling steers made 230c to 266c and grown steers and bullocks 238c to 256c.

There was a very mixed yarding of cows with the best making 212c to 226c and lighter 100c to 170c/kg.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Restocker,C,3,1,NQ,248.0,248.0,248,NQ,459.3,459.3,459.3,942.4,942.4,942.4000244140625
Yearling Steer,400+,Processor,C,3,5,-5,230.0,266.0,258,5.4,442.3,492.6,475.8,1081.0,1383.2,1265.560009765625
Grown Steer,500-600,Processor,C,3,4,-8,240.0,246.0,243,-17.7,452.8,455.6,454.2,1320.0,1414.5,1367.25
Grown Steer,600-750,Processor,C,3,5,-2,238.0,252.0,247.6,-7.0,440.7,463.0,453.5,1451.8,1820.4,1604.4800048828124
Grown Steer,750+,Processor,C,3,1,NQ,256.0,256.0,256,NQ,465.5,465.5,465.5,2073.6,2073.6,2073.60009765625
Cows,0-400,Restocker,D,1,1,NQ,100.0,100.0,100,NQ,227.3,227.3,227.3,390.0,390.0,390
Cows,400-520,Processor,D,1,3,NQ,100.0,154.0,118,NQ,227.3,320.8,258.5,470.0,677.6,539.1999918619791
Cows,400-520,Processor,D,2,5,4,150.0,192.0,175.2,25.2,300.0,400.0,362.5,675.0,844.8,788.87998046875
Cows,400-520,Processor,D,3,2,1,212.0,222.0,217,17.0,407.7,426.9,417.3,1060.0,1110.0,1085
Cows,520+,Processor,D,1,8,NQ,130.0,172.0,159.25,NQ,288.9,373.9,347.1,715.0,1115.2,914.3499755859375
Cows,520+,Processor,D,2,1,NQ,170.0,170.0,170,NQ,340.0,340.0,340.0,1003.0,1003.0,1003
Cows,520+,Processor,D,3,2,-2,226.0,226.0,226,25.5,418.5,418.5,418.5,1197.8,1197.8,1197.800048828125
Bulls,600+,Processor,C,2,1,NQ,150.0,150.0,150,NQ,263.2,263.2,263.2,1425.0,1425.0,1425
