Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 20/02/2024
Comparison Date: 13/02/2024
Total Yarding: 258 (+58)
Commentary
"There was larger number of 258 trade and export cattle at Powranna on Tuesday with more cows and bulls included.

All cattle met a cheaper market with many averages 10c to 30c cheaper. The best yearling steers made 180c to 234c while the seconds made 170c to 180c/kg. Yearling heifers made 200c to 238c/kg.

Most grown steers and bullocks made 200c to 230c while crossbreds made 100c to 132c/kg.
There were approximately 130 cows and 30 bulls and the best cows made 160c to 200c and the seconds 130c to 170c. Heavy bulls made 120c to 140c/kg live weight.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,2,1,NQ,180.0,180.0,180,NQ,333.3,333.3,333.3,702.0,702.0,702
Yearling Steer,400+,Processor,C,2,1,NC,180.0,180.0,180,-55.0,333.3,333.3,333.3,810.0,810.0,810
Yearling Steer,400+,Processor,C,3,5,3,212.0,234.0,226,-21.0,385.5,417.9,406.4,1094.4,1151.4,1137.72001953125
Yearling Steer,400+,Restocker,C,2,1,-2,170.0,170.0,170,-60.0,326.9,326.9,326.9,782.0,782.0,782
Yearling Steer,400+,Restocker,C,3,9,5,200.0,232.0,218.66666666666666,-15.3,363.6,429.6,400.1,810.0,1229.6,967.2888861762153
Yearling Heifer,330-400,Restocker,C,3,3,NQ,200.0,210.0,206.66666666666666,NQ,384.6,396.2,392.4,780.0,840.0,820
Yearling Heifer,400+,Processor,C,3,8,-1,216.0,238.0,225.75,-16.0,407.5,440.7,420.9,960.5,1171.6,1050.8249969482422
Yearling Heifer,400+,Restocker,C,3,15,1,200.0,230.0,219.2,-22.2,377.4,434.0,408.4,820.0,1209.6,1025.4999837239584
Grown Steer,400-500,Restocker,D,2,2,NQ,100.0,100.0,100,NQ,208.3,208.3,208.3,490.0,490.0,490
Grown Steer,500-600,Processor,C,3,1,-5,222.0,222.0,222,-28.0,403.6,403.6,403.6,1287.6,1287.6,1287.5999755859375
Grown Steer,500-600,Restocker,C,3,3,NQ,200.0,230.0,216.66666666666666,NQ,370.4,418.2,398.7,1190.0,1288.0,1236.6666666666667
Grown Steer,500-600,Restocker,D,2,11,NQ,100.0,146.0,125.0909090909091,NQ,208.3,304.2,260.6,558.0,836.6,709.9527254971591
Grown Steer,600-750,Processor,C,3,7,NC,206.0,220.0,212,-42.6,375.0,392.9,386.5,1256.6,1650.0,1431.0428815569196
Grown Steer,600-750,Restocker,D,2,6,NQ,132.0,132.0,132,NQ,275.0,275.0,275.0,868.6,868.6,868.5599772135416
Grown Heifer,0-540,Restocker,C,3,1,NQ,210.0,210.0,210,NQ,396.2,396.2,396.2,1113.0,1113.0,1113
Grown Heifer,540+,Processor,C,3,8,-5,200.0,228.0,217.25,-20.8,370.4,422.2,402.3,1180.0,1356.8,1297.5700073242188
Cows,400-520,Processor,D,2,4,-1,120.0,120.0,120,-50.0,240.0,240.0,240.0,552.0,576.0,564
Cows,400-520,Processor,D,3,4,NQ,166.0,166.0,166,NQ,325.5,325.5,325.5,859.9,859.9,859.8800048828125
Cows,400-520,Restocker,D,1,34,33,50.0,110.0,64.11764705882354,-75.9,125.0,220.0,141.6,236.0,451.0,295.15293615004595
Cows,400-520,Restocker,D,2,11,2,128.0,128.0,128,-45.6,284.4,284.4,284.4,625.9,625.9,625.9199662642045
Cows,520+,Processor,D,2,2,-2,128.0,128.0,128,-47.0,256.0,256.0,256.0,684.8,684.8,684.7999877929688
Cows,520+,Processor,D,3,28,-10,160.0,200.0,188.35714285714286,-29.0,313.7,370.4,351.9,992.0,1600.0,1214.5321306501116
Cows,520+,Restocker,D,1,1,NQ,50.0,50.0,50,NQ,113.6,113.6,113.6,285.0,285.0,285
Cows,520+,Restocker,D,2,8,7,100.0,110.0,107.5,-72.5,204.1,244.4,234.4,530.0,608.3,588.7249755859375
Cows,520+,Restocker,D,3,2,NQ,140.0,184.0,162,NQ,291.7,347.2,319.4,784.0,1159.2,971.5999755859375
Bulls,450-600,Processor,C,2,8,NQ,138.0,138.0,138,NQ,242.1,242.1,242.1,823.9,823.9,823.8599853515625
Bulls,600+,Processor,C,2,20,16,120.0,140.0,135.15,-6.8,214.3,246.4,237.1,805.2,1417.5,991.1050048828125
