Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,400+,Processor,C,2,2,NQ,240.0,250.0,245,NQ,470.6,490.2,480.4,1104.0,1275.0,1189.5
Yearling Steer,400+,Processor,C,3,1,-4,290.0,290.0,290,-12.0,527.3,527.3,527.3,1450.0,1450.0,1450
Yearling Steer,400+,Restocker,C,1,7,NQ,132.0,180.0,166.28571428571428,NQ,293.3,383.0,357.4,534.6,774.0,705.5999930245536
Yearling Steer,400+,Restocker,C,3,1,-8,290.0,290.0,290,-0.4,537.0,537.0,537.0,1479.0,1479.0,1479
Yearling Heifer,280-330,Restocker,C,2,1,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,682.0,682.0,682
Yearling Heifer,330-400,Processor,C,3,1,-4,296.0,296.0,296,6.0,558.5,558.5,558.5,1184.0,1184.0,1184
Yearling Heifer,330-400,Restocker,C,2,5,NQ,200.0,260.0,234,NQ,400.0,509.8,465.6,780.0,975.0,887
Yearling Heifer,400+,Processor,C,2,2,NQ,240.0,250.0,245,NQ,470.6,490.2,480.4,1200.0,1250.0,1225
Yearling Heifer,400+,Processor,C,3,3,-6,270.0,294.0,284,4.2,509.4,554.7,532.5,1242.0,1468.8,1325
Yearling Heifer,400+,Restocker,C,2,3,NQ,260.0,266.0,264,NQ,509.8,521.6,517.6,1250.2,1274.0,1258.13330078125
Grown Steer,400-500,Restocker,C,3,1,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1370.0,1370.0,1370
Grown Steer,500-600,Processor,C,3,1,-7,270.0,270.0,270,-9.0,500.0,500.0,500.0,1458.0,1458.0,1458
Grown Steer,500-600,Restocker,C,2,1,NQ,254.0,254.0,254,NQ,508.0,508.0,508.0,1320.8,1320.8,1320.800048828125
Grown Steer,500-600,Restocker,C,3,1,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,1516.2,1516.2,1516.199951171875
Grown Steer,600-750,Processor,C,2,4,NQ,256.0,260.0,259,NQ,492.3,500.0,498.1,1656.2,1817.6,1696.5498962402344
Grown Steer,600-750,Processor,C,3,5,-6,290.0,332.0,310,41.1,537.0,592.9,561.2,1885.0,2144.0,2020.6
Cows,0-400,Restocker,D,1,5,1,104.0,150.0,116.4,-41.1,236.4,340.9,264.5,374.4,555.0,426.839990234375
Cows,0-400,Restocker,D,2,2,NQ,222.0,232.0,227,NQ,483.3,504.5,493.9,799.2,904.8,852
Cows,400-520,Processor,D,2,2,NQ,222.0,230.0,226,NQ,453.1,460.0,456.5,1087.8,1196.0,1141.9000244140625
Cows,400-520,Processor,D,3,1,-7,234.0,234.0,234,-18.0,450.0,450.0,450.0,1146.6,1146.6,1146.5999755859375
Cows,400-520,Restocker,D,1,3,-9,152.0,210.0,180.66666666666666,-25.3,345.5,456.5,403.7,623.2,987.0,794.7333374023438
Cows,400-520,Restocker,D,2,12,4,202.0,236.0,224.33333333333334,3.6,404.0,491.7,459.1,929.2,1100.0,1026.010004679362
Cows,520+,Processor,D,2,6,2,230.0,242.0,235.66666666666666,-14.3,451.0,484.0,463.7,1306.8,1748.0,1549.6000162760417
Cows,520+,Processor,D,3,24,-6,240.0,262.0,254.91666666666666,-1.2,452.8,485.2,476.4,1260.0,1834.0,1566.2916819254558
Cows,520+,Restocker,D,2,2,-7,232.0,232.0,232,2.2,473.5,473.5,473.5,1218.0,1218.0,1218
Bulls,450-600,Processor,C,2,1,NC,232.0,232.0,232,22.0,407.0,407.0,407.0,1345.6,1345.6,1345.5999755859375
Bulls,600+,Processor,C,2,6,-1,200.0,238.0,217.16666666666666,4.6,357.1,417.5,382.0,1974.0,2165.8,2070.9666748046875
