Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Powranna
Report Date: 29/10/2024
Comparison Date: 22/10/2024
Total Yarding: 91 (-54)
Commentary
"There was a smaller yarding of 91 trade and export cattle at Powranna on Tuesday with quality not as good and as a result prices for trade cattle were slightly cheaper with yearling steers making 302c to 336c and heifers 310c to 330c.
The few grown steers made 322c to 330c and heavy heifers 280c to 328c.

There was a smaller yarding of about 40 cows with very few heavy pens and that market lost most of last week’s gains to make 278c to 288c, leaner 200c to 270c and very lean 130c to 180c/kg live.

Market Reporter Richard Bailey"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Processor,C,3,2,NQ,311.0,330.0,320.5,NQ,586.8,589.3,588.0,1244.0,1320.0,1282
Yearling Steer,400+,Processor,C,3,8,7,302.0,336.0,327.25,-20.8,578.6,607.3,595.0,1268.4,1848.0,1614.625
Yearling Steer,400+,Restocker,C,2,1,-1,302.0,302.0,302,54.0,569.8,569.8,569.8,1268.4,1268.4,1268.4000244140625
Yearling Steer,400+,Restocker,C,3,1,-1,320.0,320.0,320,-11.0,592.6,592.6,592.6,1504.0,1504.0,1504
Yearling Heifer,280-330,Processor,C,3,1,NC,320.0,320.0,320,-12.0,603.8,603.8,603.8,1008.0,1008.0,1008
Yearling Heifer,280-330,Restocker,C,2,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,913.5,913.5,913.5
Yearling Heifer,330-400,Processor,C,3,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1320.0,1320.0,1320
Yearling Heifer,330-400,Restocker,C,2,1,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1240.0,1240.0,1240
Yearling Heifer,400+,Processor,C,3,2,-10,318.0,318.0,318,-18.5,588.9,588.9,588.9,1653.6,1653.6,1653.5999755859375
Yearling Heifer,400+,Restocker,C,2,3,2,252.0,252.0,252,-58.0,504.0,504.0,504.0,1025.6,1025.6,1025.6399739583333
Grown Steer,400-500,Processor,C,2,2,NQ,274.0,278.0,276,NQ,526.9,534.6,530.8,1233.0,1334.4,1283.7000122070312
Grown Steer,500-600,Processor,C,3,1,-4,322.0,322.0,322,-26.8,585.5,585.5,585.5,1771.0,1771.0,1771
Grown Steer,500-600,Restocker,C,2,1,NQ,292.0,292.0,292,NQ,561.5,561.5,561.5,1518.4,1518.4,1518.4000244140625
Grown Steer,600-750,Processor,C,3,1,-4,330.0,330.0,330,-6.4,589.3,589.3,589.3,2178.0,2178.0,2178
Grown Heifer,0-540,Processor,C,3,3,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,1672.8,1705.6,1694.6666666666667
Grown Heifer,540+,Processor,C,3,3,2,280.0,322.0,308,-4.0,518.5,596.3,570.4,1899.8,2060.8,1992.2000325520833
Cows,0-400,Processor,D,1,1,NC,190.0,190.0,190,-14.0,422.2,422.2,422.2,741.0,741.0,741
Cows,0-400,Processor,D,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,760.0,760.0,760
Cows,0-400,Restocker,D,1,6,4,144.0,220.0,182.66666666666666,42.7,321.7,440.0,382.7,547.2,820.6,691.3666381835938
Cows,400-520,Processor,D,1,3,-9,130.0,220.0,160,-67.0,295.5,431.4,340.8,637.0,1078.0,784
Cows,400-520,Processor,D,2,20,12,200.0,252.0,227.6,-38.4,400.0,484.6,445.7,950.0,1159.2,1071.4000091552734
Cows,400-520,Processor,D,3,1,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1377.0,1377.0,1377
Cows,400-520,Restocker,D,1,2,-4,132.0,160.0,146,-4.0,300.0,355.6,327.8,574.2,672.0,623.1000061035156
Cows,400-520,Restocker,D,2,2,NQ,224.0,224.0,224,NQ,430.8,430.8,430.8,1120.0,1120.0,1120
Cows,520+,Processor,D,2,3,NC,224.0,278.0,255.33333333333334,-25.3,448.0,514.8,490.2,1299.2,1529.0,1417.9333089192708
Cows,520+,Processor,D,3,7,-16,278.0,288.0,282.2857142857143,-33.1,514.8,533.3,522.8,1584.6,1937.3,1746.402866908482
Bulls,600+,Processor,C,2,3,1,220.0,230.0,226,-4.0,379.3,396.6,389.7,1960.8,2139.0,2055.933349609375
