Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 5618 (+3400)
Commentary
"Roma Agents yarded 5,618 head a large increase on last sale. All the regular processors feedlotters and backgrounders present. A quality yarding penned with early weaners and heavy feeders and prime cows. The market could not maintain the levels of last sale. 

Yearling steers 200 to 280kg sold from 332c to 484c/kg. Yearling steers 280 to 330kg with the majority selling from 316c to 484c/kg for the better pens. Yearling steers 330 to 400kg went against the trend sold almost 10c/kg dearer to make 426c/kg. Yearling steers 400 to 480kg were dearer also and made from 385c to 410c/kg. Yearling steers over 480kg topped 386c/kg to feed.

Yearling heifers 200 to 280kg sold from 240c for the plainer types and to 360c/kg for the better pens. Yearling heifers 280 to 330kg sold to 346c to processors with heifers going on feed made to 372c/kg almost 25c/kg stronger than last sale. Yearling heifers 330 to 400kg with the majority selling from 240c  to 386c/kg for the better lines. Yearling heifers 400 to 480kg sold to a dearer trend topping 372c to feed and also to restockers.


Grown steers 400 to 500kg made to 398c/kg to feed. A small number grown steers 500 to 600kg made to 385c to processors and bullocks to 358c/kg. Grown heifers over 540kg were well sort after selling from 280c to 356c/kg to processors. Another top line up of trucked and travelled prime cows. The 2 score cows 400 to 520kg sold from 210c to 279c/kg. The 3 score cows over 520kg made to 317c/kg to processors. Heavy bulls over 600kg made to 326c/kg.
A large number of cows and calves penned and sold from $800/unit with the better runs making to $1975/unit.

Market reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,9,-5,370.0,404.2,389,-101.2,698.1,762.6,734.0,703.0,808.4,761.5555555555555
Yearling Steer,200-280,Processor,C,2,16,NQ,255.0,255.0,255,NQ,481.1,481.1,481.1,663.0,663.0,663
Yearling Steer,200-280,Restocker,C,2,423,352,332.2,484.2,445.07897227763004,12.3,626.8,913.6,839.8,797.3,1355.8,1174.3109555075355
Yearling Steer,280-330,Feeder,C,2,51,-14,334.2,350.2,343.29414517271755,-56.7,630.6,660.8,647.7,995.8,1155.7,1035.895067401961
Yearling Steer,280-330,Restocker,C,2,752,555,316.2,484.2,397.6266071238416,-38.6,596.6,913.6,750.2,973.5,1452.6,1215.0163150543863
Yearling Steer,280-330,Restocker,D,2,1,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,840.0,840.0,840
Yearling Steer,330-400,Feeder,C,2,238,33,330.2,416.2,382.04370860893187,-23.3,623.0,785.3,720.8,1169.7,1560.0,1415.3657539431788
Yearling Steer,330-400,Restocker,C,2,553,323,322.2,426.2,387.7652917899878,5.3,607.9,804.2,731.6,1099.5,1680.8,1423.6298137202616
Yearling Steer,400+,Feeder,C,2,186,38,330.0,398.2,388.0440949470766,7.6,622.6,751.3,732.2,1386.0,1911.7,1719.1850008400538
