Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 25/02/2025
Comparison Date: 
Total Yarding: 6745 (NQ)
Commentary
"Roma Agents yarded 6,745 head. All the regular processors feedlotters and backgrounders and present but selective. The market could not maintain the levels of last sale. A quality yarding of heavy heifers and cows penned.

Yearling steers under 200g made to 330c/kg. Yearling steers 200 to 280kg topped 488c/kg. Yearling steers 280 to 330kg with the majority selling from 302c to 452c/kg. Yearling steers 330 to 400kg made from 354c to 428c/kg for the better pens. Yearling steers 400 to 480kg sold from 314c to 382c to feed and 386c/kg to restockers. Yearling steers over 480kg made from 324c to 408c/kg to feed.

Yearling heifers under 200kg topped 326c/kg. Yearling heifers 200 to 280kg made from 210c for the plainer types to 364c/kg. Yearling heifers 280 to 330kg sold from 210 to 354c/kg. Yearling heifers 330 to 400kg made to 364c/kg to restockers. Yearling heifers 400 to 480kg made to 362c/kg. Yearling heifers over 480kg topped 336c/kg to processors.

Bullocks over 600kg topped 340c with grown heifers over 540kg 337c/kg to processors. A quality yarding of cows penned and improved marginally. The 2 score cows 400 to 520kg sold from 200c to 276c/kg. The 3 score cows over 520kg topped 318c and sold from 270c/kg. Bulls over 600kg topped 308c/kg. Bulls 450 to 600kg to 320c and young bulls under 450kg made 412c/kg to restockers.

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,67,-53,238.2,372.2,279.60298726096084,-159.3,449.4,702.3,527.6,464.5,744.4,547.1701477961753
Yearling Steer,200-280,Feeder,C,2,90,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,864.9,864.9,864.9
Yearling Steer,200-280,Restocker,C,2,878,47,300.0,488.2,405.3546762661945,-31.4,566.0,921.1,764.8,651.0,1283.0,1051.2222698793867
Yearling Steer,200-280,Restocker,D,2,18,2,220.0,238.2,225.05555555555554,-15.1,415.1,449.4,424.6,571.7,583.0,572.522216796875
Yearling Steer,280-330,Feeder,C,2,19,-2,302.2,422.2,363.4315892269737,33.4,570.2,796.6,685.7,930.8,1351.0,1139.1996042351973
Yearling Steer,280-330,Processor,C,2,15,14,302.2,302.2,302.2,-67.8,570.2,570.2,570.2,967.0,967.0,967.0399739583333
Yearling Steer,280-330,Restocker,C,2,781,-149,300.0,452.2,389.1708146606914,-11.2,566.0,853.2,734.3,930.8,1391.7,1183.2963508478963
Yearling Steer,330-400,Feeder,C,2,158,-338,300.0,390.0,365.8152025440071,-9.8,566.0,735.8,690.2,1071.7,1520.8,1375.5858494239517
Yearling Steer,330-400,Feeder,D,2,5,NQ,298.2,298.2,298.2,NQ,562.6,562.6,562.6,1192.8,1192.8,1192.8
Yearling Steer,330-400,Processor,C,2,37,36,322.2,362.2,342.74055109797297,42.7,607.9,683.4,646.7,1092.3,1282.2,1189.7896431587837
Yearling Steer,330-400,Restocker,C,2,415,-41,300.0,428.2,383.2691643036992,-2.4,566.0,807.9,723.1,1185.0,1506.2,1369.200491810994
Yearling Steer,400+,Feeder,C,2,200,-296,324.2,408.2,369.9580191040039,1.0,611.7,770.2,698.0,1580.0,2167.5,1672.900961303711
Yearling Steer,400+,Feeder,C,3,8,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,1820.0,1890.0,1855
Yearling Steer,400+,Processor,C,2,5,-19,310.0,330.2,318.0800048828125,-7.0,584.9,623.0,600.2,1550.0,1915.2,1676.252001953125
Yearling Steer,400+,Processor,C,3,26,16,302.2,345.2,336.3461608886719,17.3,570.2,651.3,634.6,1480.8,2071.2,1928.7869121844951
Yearling Steer,400+,Restocker,C,2,72,-30,300.0,386.2,363.9194632636176,16.3,566.0,728.7,686.6,1281.9,1650.5,1585.5110626220703
Yearling Heifer,0-200,Restocker,C,2,115,104,220.2,326.2,245.35999755859376,-57.7,415.5,628.4,464.1,429.4,636.1,478.66759988536006
Yearling Heifer,200-280,Feeder,C,2,39,NQ,270.0,330.0,299.2871844951923,NQ,540.0,660.0,598.6,702.0,896.6,793.8502604166666
Yearling Heifer,200-280,Processor,C,2,33,27,272.2,316.2,286.8666844223485,-27.7,544.4,632.4,573.7,598.8,885.4,694.3466796875
Yearling Heifer,200-280,Restocker,C,2,669,111,210.0,364.2,284.17908098024105,-23.9,420.0,728.4,568.4,462.0,946.9,733.0783567328803
Yearling Heifer,200-280,Restocker,C,3,4,NQ,222.2,222.2,222.1999969482422,NQ,444.4,444.4,444.4,511.1,511.1,511.05999755859375
Yearling Heifer,200-280,Restocker,D,2,10,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,450.0,450.0,450
Yearling Heifer,280-330,Feeder,C,2,353,154,250.0,330.0,308.43513173219503,-20.2,500.0,660.0,616.9,822.6,1089.0,970.2561130253519
Yearling Heifer,280-330,Processor,C,2,141,88,270.2,344.2,287.8638353280142,-6.9,540.4,688.4,575.7,812.6,1101.4,899.2347303891013
Yearling Heifer,280-330,Restocker,C,2,870,477,210.0,354.2,322.2749541710163,3.2,420.0,708.4,644.5,609.0,1155.7,1006.0922764569864
Yearling Heifer,330-400,Feeder,C,2,472,-226,282.2,340.0,316.61737926935746,-14.6,564.4,680.0,633.2,1020.7,1344.8,1139.220626055184
Yearling Heifer,330-400,Feeder,C,3,20,-88,206.2,336.2,325.05000228881835,18.5,412.4,672.4,650.1,824.8,1344.8,1300.2000091552734
Yearling Heifer,330-400,Processor,C,2,118,23,200.0,328.2,289.24238301939886,-20.2,400.0,656.4,578.5,700.0,1312.8,1071.632366115764
Yearling Heifer,330-400,Processor,C,3,18,-11,326.2,326.2,326.20000542534723,-3.0,652.4,652.4,652.4,1304.8,1304.8,1304.800021701389
Yearling Heifer,330-400,Restocker,C,2,502,144,252.2,362.2,347.7267110148274,27.9,504.4,724.4,695.5,907.9,1448.8,1292.7451699549458
Yearling Heifer,400+,Feeder,C,2,62,NQ,282.2,342.2,325.74839536605344,NQ,564.4,684.4,651.5,1411.0,1519.4,1460.2580015120968
Yearling Heifer,400+,Feeder,C,3,4,-63,336.2,336.2,336.20001220703125,-21.3,672.4,672.4,672.4,1512.9,1512.9,1512.9000244140625
Yearling Heifer,400+,Feeder,D,2,18,NQ,292.2,292.2,292.20000542534723,NQ,584.4,584.4,584.4,1519.4,1519.4,1519.4398871527778
Yearling Heifer,400+,Processor,C,2,20,-24,230.0,316.2,292.7700134277344,-38.7,460.0,632.4,585.5,1035.0,1517.8,1357.7350036621094
Yearling Heifer,400+,Processor,C,3,50,-38,270.0,336.2,305.00400634765623,-9.3,540.0,672.4,610.0,1337.4,1761.1,1518.3400024414063
Yearling Heifer,400+,Restocker,C,2,98,NQ,315.0,362.2,332.73061822385205,NQ,630.0,724.4,665.5,1462.5,1584.0,1517.5978954081634
Grown Steer,500-600,Feeder,C,3,1,NQ,308.2,308.2,308.20001220703125,NQ,581.5,581.5,581.5,1787.6,1787.6,1787.56005859375
Grown Steer,500-600,Processor,C,3,9,-42,280.0,340.0,320.8000081380208,-11.6,528.3,641.5,605.3,1540.0,1993.2,1819.5155707465278
Grown Steer,600-750,Processor,C,3,26,-40,280.0,350.2,335.13846998948316,-5.0,560.0,660.8,633.6,1820.0,2276.3,2170.7523381159854
Grown Heifer,0-540,Feeder,C,2,2,-44,302.2,302.2,302.20001220703125,-13.9,604.4,604.4,604.4,1269.2,1269.2,1269.2401123046875
Grown Heifer,0-540,Processor,C,2,40,-14,150.0,334.2,327.14000549316404,18.2,300.0,668.4,654.3,780.0,1500.0,1413.8160095214844
Grown Heifer,0-540,Processor,C,3,79,-36,284.2,330.0,324.2354496823082,17.1,568.4,660.0,648.5,1421.0,1706.6,1639.9230122626582
Grown Heifer,0-540,Processor,D,2,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,780.0,780.0,780
Grown Heifer,0-540,Processor,D,3,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,780.0,780.0,780
Grown Heifer,0-540,Restocker,C,2,1,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,792.0,792.0,792
Grown Heifer,0-540,Restocker,C,3,18,-31,326.2,326.2,326.20000542534723,29.9,652.4,652.4,652.4,1565.8,1565.8,1565.759982638889
Grown Heifer,540+,Processor,C,2,1,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,1218.0,1218.0,1218
Grown Heifer,540+,Processor,C,3,125,57,280.2,337.2,318.64801123046874,-5.5,560.4,674.4,637.3,1740.0,2177.4,1846.35994140625
