Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 4095 (-2617)
Commentary
" Well with great falls of rain in the supply district Roma Agents yarded 4,095 head. Cattle were drawn from NSW SA and the major supply area of QLD. All the regular processors feedlotters and backgrounders present and active with the market firm for steers. Meat works bullocks heavy heifers and cows were dearer.

Yearling steers 200 to 280kg sold from 303c to 434c/kg for the better lines. Yearling steers 280 to 330kg also sold to 434c to be 5c to 10c/kg stronger than last sale. Yearling steers 330 to 400kg made from 308c to 392c/kg. Yearling steers 400 to 480kg steers sold to improved rates and made to 368c/kg. Yearling steers over 480kg topped 322c/kg.

Yearling heifers under 200kg sold to 308c/kg. Yearling heifers 200 to 280kg with the majority selling from 290c to 322c/kg for better types.Yearling heifers 280 to 330kg improved slightly and made to 334c/kg. Yearling heifers 330 to 400kg also gained in price and sold to 350c/kg. Yearling heifers 400 to 480kg sold to 361c/kg to processors. Yearling heifers over 480kg made from 304c to 346c/kg.

Grown steers 500 to 600kg topped 361c/kg almost 30c/kg dearer than last sale. A small number of bullocks over 600kg made to 335c/kg. Heavy heifers over 540kg topped 356c/kg. Another good run of cows penned and sold to stronger demand. The 2 score cows 400 to 520kg with the majority selling from 210c to 272c/kg. The 3 score cows over 520kg topped 300c/kg. 

Bulls over 600kg topped 311c/kg. Bulls 450 to 600kg made to 296c/kg. Bulls under 450kg sold from 240c to 374c/kg. A large run of cows & calves penned and sold from $800/hd to $1950/hd.



Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,13,NQ,404.2,404.2,404.2000075120192,NQ,762.6,762.6,762.6,768.0,768.0,767.9800180288462
Yearling Steer,0-200,Restocker,D,2,13,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,456.0,456.0,456
Yearling Steer,200-280,Feeder,C,2,20,NQ,378.2,378.2,378.2,NQ,713.6,713.6,713.6,934.2,934.2,934.1541015625
Yearling Steer,200-280,Restocker,C,2,247,-374,303.2,434.2,383.4469737929371,-5.9,572.1,819.2,723.5,782.3,1150.6,963.6948032147488
Yearling Steer,280-330,Feeder,C,2,18,3,308.2,308.2,308.20000542534723,6.0,581.5,581.5,581.5,924.6,924.6,924.5999348958334
