Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,1,NQ,220.0,220.0,220,NQ,440.0,440.0,440.0,693.0,693.0,693
Yearling Steer,280-330,Processor,C,2,2,NQ,270.0,296.0,283,NQ,540.0,592.0,566.0,891.0,976.8,933.8999938964844
Yearling Steer,280-330,Restocker,C,2,1,-15,260.0,260.0,260,8.0,520.0,520.0,520.0,780.0,780.0,780
Yearling Steer,330-400,Feeder,C,2,14,NQ,264.0,338.0,317.57142857142856,NQ,528.0,676.0,635.1,963.6,1216.0,1159.4642857142858
Yearling Steer,330-400,Processor,C,2,11,10,286.0,330.0,307.45454545454544,5.5,572.0,660.0,614.9,984.9,1272.0,1164.8545476740057
Yearling Steer,330-400,Processor,C,3,3,-6,272.0,310.0,294,-9.6,544.0,620.0,588.0,992.8,1193.5,1113.7666625976562
Yearling Steer,330-400,Restocker,C,2,18,14,260.0,290.0,279.1111111111111,29.1,520.0,580.0,558.2,923.0,1123.2,1029.199978298611
Yearling Steer,400+,Processor,C,2,3,NQ,300.0,322.0,311.3333333333333,NQ,600.0,644.0,622.7,1230.0,1320.2,1276.4666341145833
Yearling Heifer,280-330,Restocker,C,2,3,NQ,254.0,254.0,254,NQ,508.0,508.0,508.0,762.0,762.0,762
Yearling Heifer,330-400,Processor,C,2,8,-9,292.0,308.0,298,19.2,584.0,616.0,596.0,1109.6,1185.8,1138.1750183105469
Yearling Heifer,330-400,Processor,C,3,5,NQ,260.0,270.0,262,NQ,520.0,540.0,524.0,949.0,985.5,956.3
Yearling Heifer,330-400,Restocker,C,2,8,NQ,220.0,292.0,265,NQ,440.0,584.0,530.0,770.0,1065.8,954.875
Vealer Steer,0-200,Restocker,C,2,14,9,150.0,272.0,239.57142857142858,-20.4,300.0,544.0,479.1,292.5,538.6,467.6728515625
Vealer Steer,280-330,Restocker,C,2,4,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,741.0,741.0,741
Vealer Heifer,0-200,Processor,C,2,5,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,456.0,456.0,456
Vealer Heifer,0-200,Restocker,C,2,7,1,170.0,170.0,170,-10.0,340.0,340.0,340.0,340.0,340.0,340
Vealer Heifer,200-280,Restocker,C,2,21,NQ,170.0,242.0,198.47619047619048,NQ,340.0,484.0,397.0,396.0,627.0,524.7523774646577
Cows,0-400,Processor,D,2,4,-2,100.0,142.0,110.5,-21.5,212.8,302.1,235.1,365.0,560.9,413.9750061035156
Cows,400-520,Processor,D,2,4,-4,155.0,155.0,155,-3.8,329.8,329.8,329.8,751.8,751.8,751.75
Cows,520+,Processor,C,3,8,3,220.0,260.0,244.25,24.3,440.0,520.0,488.5,1661.0,2051.1,1822.8125305175781
Bulls,0-450,Processor,C,2,1,NQ,272.0,272.0,272,NQ,544.0,544.0,544.0,911.2,911.2,911.2000122070312
