Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SA Livestock Exchange
Report Date: 29/10/2024
Comparison Date: 
Total Yarding: 220 (NQ)
Commentary
"Specialty butchers and restocker orders put a good floor to prices as agents offered 220 liveweight and open auction cattle. Some well finished older steers along with some ideal younger cattle sold to stronger enquiry. Cows sold generally firm for type and condition.

Vealer steers sold from 250c to 356c as heifers ranged from 228c to 318c/kg. Yearling steers sold from 164c to 328c with heifers fetching 174c to 282c/kg.

Grown steers sold from 200c to 304c with heifers selling to 310c/kg. Light cows sold to 100c, medium cows sold from 72c to 230c with heavy cows fetching 240c to 250c/kg. Bulls sold from 150c to 250c/kg.

Market report: John Traeger."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,7,-9,250.0,280.0,258.57142857142856,-9.7,500.0,560.0,517.1,750.0,910.0,795.7142857142857
Yearling Steer,280-330,Restocker,D,2,15,9,250.0,250.0,250,90.0,531.9,531.9,531.9,750.0,750.0,750
Yearling Steer,330-400,Feeder,C,3,4,NC,302.0,302.0,302,-6.0,604.0,604.0,604.0,1202.0,1202.0,1201.9599609375
Yearling Steer,330-400,Processor,C,2,2,NQ,306.0,306.0,306,NQ,612.0,612.0,612.0,1178.1,1178.1,1178.0999755859375
Yearling Steer,330-400,Processor,C,3,1,NQ,296.0,296.0,296,NQ,592.0,592.0,592.0,1065.6,1065.6,1065.5999755859375
Yearling Steer,330-400,Restocker,C,2,16,15,240.0,280.0,258.75,18.8,480.0,560.0,517.5,852.0,1008.0,909.5124816894531
Yearling Steer,330-400,Restocker,D,2,16,NQ,164.0,228.0,187.75,NQ,348.9,485.1,399.5,565.8,763.8,640.6124877929688
Yearling Steer,400+,Processor,C,3,6,NQ,328.0,328.0,328,NQ,656.0,656.0,656.0,1426.8,1426.8,1426.8001302083333
Yearling Heifer,280-330,Restocker,C,2,9,-1,174.0,264.0,223.55555555555554,-27.4,348.0,528.0,447.1,530.7,871.2,697.062242296007
Yearling Heifer,280-330,Restocker,D,2,12,6,100.0,206.0,174.16666666666666,-57.8,212.8,438.3,370.6,295.0,618.0,522.7000020345052
Yearling Heifer,330-400,Feeder,C,2,12,NQ,220.0,240.0,233.33333333333334,NQ,440.0,480.0,466.7,836.0,900.0,878.6666666666666
Yearling Heifer,330-400,Processor,C,3,3,NQ,272.0,282.0,276,NQ,544.0,564.0,552.0,944.7,1000.1,965.5999959309896
Yearling Heifer,330-400,Restocker,C,2,3,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,700.0,700.0,700
Yearling Heifer,400+,Feeder,C,2,4,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,972.0,972.0,972
Vealer Steer,200-280,Restocker,D,2,13,NQ,250.0,256.0,252.30769230769232,NQ,531.9,544.7,536.8,650.0,716.8,675.6923076923077
Vealer Steer,280-330,Processor,C,2,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,810.0,810.0,810
Vealer Steer,280-330,Processor,C,3,4,NQ,300.0,356.0,329,NQ,600.0,712.0,658.0,885.0,1157.0,1029.9500122070312
Vealer Steer,280-330,Restocker,C,2,7,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,741.0,741.0,741
Vealer Heifer,280-330,Processor,C,3,5,NQ,228.0,318.0,260,NQ,456.0,636.0,520.0,684.0,1001.7,801.4599975585937
