Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 05/12/2024
Comparison Date: 28/11/2024
Total Yarding: 956 (+58)
Commentary
"There was a slight increase in numbers for a total yarding of 956 mostly good quality cattle. There were some outstanding runs of ideal feeder steers, along with some well-bred weaners returning to the paddock, and there were 165 cows, including some high yielding heavy types. All the usual buyers were operating, along with some extra restocker interest, resulting in dearer trends.

The limited supply of yearlings to process lifted 7c, selling from 280c to 340c/kg. Medium weight feeder steers jumped 20c, making from 278c to 366c, and heifers to feed were also dearer selling 270c to 312c/kg. Young cattle suiting the restockers were considerably dearer, with the steers ranging from 285c to 362c, and the heifers sold from 220c to 340c/kg.

There were not enough heavy grown cattle to quote. Cows were up to 13c dearer, with the 2 and 3 scores making from 200c to 275c, and heavy prime cows made from 276c to 305c/kg. Heavy bulls to process reached 290c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,6,NQ,300.0,300.0,300,NQ,545.5,545.5,545.5,975.0,975.0,975
Yearling Steer,280-330,Processor,C,3,2,NQ,314.0,314.0,314,NQ,560.7,560.7,560.7,989.1,989.1,989.0999755859375
Yearling Steer,280-330,Restocker,C,2,6,-13,317.0,317.0,317,26.5,576.4,576.4,576.4,1030.3,1030.3,1030.25
Yearling Steer,330-400,Feeder,C,2,85,44,278.0,359.0,318.49411764705883,6.1,514.8,641.1,577.0,986.0,1418.1,1184.2952837775736
Yearling Steer,330-400,Processor,C,3,13,7,302.0,330.0,319.38461538461536,7.4,559.3,581.8,574.2,1072.1,1270.5,1204.5692420372595
Yearling Steer,330-400,Restocker,C,2,30,25,325.0,362.0,343.03333333333336,13.0,590.9,646.4,617.9,1153.8,1309.0,1194.3283203125
Yearling Steer,400+,Feeder,C,2,124,52,286.0,366.0,337.71774193548384,28.9,529.6,653.6,608.0,1197.2,1720.2,1555.2903265183973
