Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 12/12/2024
Comparison Date: 05/12/2024
Total Yarding: 996 (+40)
Commentary
"There was a slight increase in numbers, for a total yarding of 996 fair, to good quality cattle. There was a limited supply of prime yearlings to suit the trade, with most young cattle returning to the paddock or feedlot. There were a few good pens of heavy grown cattle and there were 180 cows. All the usual buyers, with the addition of extra restocker orders, resulted in a dearer market.

Prime yearlings lifted 6c, selling from 310c to 350c/kg. Feeder steers were up to 10c dearer, making from 304c to 355c, and heifers to feed averaged 299c/kg. Young cattle to the restockers were considerably dearer, with the steers ranging from 325c to 432c and the heifers made from 205c to 360c/kg..

Heavy grown steers were 5c better, topping at 350c and grown heifers were also 5c dearer, reaching 341c/kg. There was still strong demand for the cows, with 2 and 3 scores selling from 160c to 286c and the best heavy prime cows made 294c/kg. Heavy bulls to process were significantly dearer, ranging from 268c to 304c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Restocker,C,2,3,-3,358.0,358.0,358,41.0,650.9,650.9,650.9,1163.5,1163.5,1163.5
Yearling Steer,330-400,Feeder,C,2,98,13,304.0,355.0,333.01020408163265,14.5,563.0,638.2,602.5,1104.0,1368.9,1251.9066311583226
Yearling Steer,330-400,Processor,C,3,5,-8,315.0,325.0,321,1.6,572.7,590.9,583.6,1149.8,1283.8,1230.15
Yearling Steer,330-400,Restocker,C,2,18,-12,326.0,348.0,345.05555555555554,2.0,592.7,632.7,627.4,1092.1,1270.2,1214.8777533637153
Yearling Steer,400+,Feeder,C,2,73,-51,318.0,347.0,333.2739726027397,-4.4,578.2,630.9,609.0,1402.7,1563.1,1489.0643661708048
Yearling Steer,400+,Feeder,C,3,2,NQ,330.0,330.0,330,NQ,600.0,600.0,600.0,1485.0,1485.0,1485
