Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,1,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,812.0,812.0,812
Yearling Steer,200-280,Restocker,C,2,2,NQ,320.0,320.0,320,NQ,627.5,627.5,627.5,864.0,864.0,864
Yearling Steer,200-280,Restocker,D,1,5,NQ,180.0,180.0,180,NQ,383.0,383.0,383.0,414.0,414.0,414
Yearling Steer,200-280,Restocker,D,2,11,6,265.0,326.0,311.45454545454544,-17.3,530.0,626.9,607.0,662.5,880.2,824.1227361505681
Yearling Steer,280-330,Dairy,D,1,26,NQ,210.0,247.0,244.15384615384616,NQ,466.7,525.5,521.0,598.5,790.4,775.6385216346154
Yearling Steer,280-330,Feeder,C,2,13,NQ,340.0,360.0,352.15384615384613,NQ,653.8,692.3,677.2,1088.0,1152.0,1135.0384615384614
Yearling Steer,280-330,Feeder,D,2,1,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,960.0,960.0,960
Yearling Steer,280-330,Processor,C,2,1,NQ,324.0,324.0,324,NQ,623.1,623.1,623.1,1036.8,1036.8,1036.800048828125
Yearling Steer,330-400,Dairy,D,1,41,NQ,233.0,233.0,233,NQ,495.7,495.7,495.7,792.2,792.2,792.200028582317
Yearling Steer,330-400,Dairy,D,2,29,NQ,250.0,250.0,250,NQ,531.9,531.9,531.9,925.0,925.0,925
Yearling Steer,330-400,Feeder,C,2,54,-44,320.0,366.0,346.5,-13.8,615.4,703.8,666.3,1072.0,1379.4,1216.701859085648
Yearling Steer,330-400,Processor,C,2,4,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1241.0,1241.0,1241
Yearling Steer,330-400,Processor,D,2,1,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,904.5,904.5,904.5
Yearling Steer,330-400,Restocker,C,2,15,-10,321.0,356.0,339.8,1.0,617.3,684.6,649.3,1190.0,1360.0,1260.317333984375
Yearling Steer,400+,Feeder,C,2,56,22,322.0,368.0,353.75,13.2,607.5,707.7,680.1,1470.0,1627.2,1537.0089067731585
Yearling Steer,400+,Feeder,C,3,30,23,344.0,351.0,347.03333333333336,7.0,637.0,650.0,642.7,1582.4,1840.4,1694.5783203125
Yearling Steer,400+,Processor,C,3,6,-4,340.0,350.0,343.3333333333333,-1.7,618.2,648.1,626.2,1535.3,1697.5,1599.3333333333333
Yearling Steer,400+,Restocker,C,2,40,31,324.0,360.0,349.9,13.9,623.1,692.3,666.5,1386.0,1726.6,1608.5699951171875
Yearling Steer,400+,Restocker,C,3,30,NQ,348.0,353.0,351.8333333333333,NQ,641.8,644.4,642.4,1635.6,1835.6,1788.9333658854166
Yearling Heifer,200-280,Restocker,C,2,4,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,665.6,665.6,665.5999755859375
Yearling Heifer,200-280,Restocker,D,1,5,NQ,265.0,280.0,268,NQ,560.0,563.8,563.1,672.0,694.3,689.839990234375
Yearling Heifer,200-280,Restocker,D,2,2,NQ,200.0,200.0,200,NQ,416.7,416.7,416.7,520.0,520.0,520
Yearling Heifer,280-330,Feeder,C,2,20,8,280.0,390.0,314,-7.7,538.5,750.0,587.1,840.0,1170.0,1004.6
Yearling Heifer,280-330,Feeder,D,2,1,NQ,242.0,242.0,242,NQ,484.0,484.0,484.0,774.4,774.4,774.4000244140625
Yearling Heifer,280-330,Processor,D,2,3,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,684.0,684.0,684
Yearling Heifer,280-330,Restocker,D,2,8,NQ,240.0,250.0,241.25,NQ,480.0,480.8,480.1,768.0,812.5,773.5625
Yearling Heifer,330-400,Feeder,C,2,57,-12,265.0,326.0,310,-3.6,509.6,626.9,596.2,901.0,1271.4,1168.1026247258771
Yearling Heifer,330-400,Feeder,D,2,1,NC,220.0,220.0,220,-65.0,440.0,440.0,440.0,803.0,803.0,803
