Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: SELX Yass
Report Date: 21/11/2024
Comparison Date: 14/11/2024
Total Yarding: 714 (-356)
Commentary
"There were some good runs of feeder steers, along with a few pens of prime yearling heifers in a decreased yarding of 714 mixed quality cattle. There was a limited supply of young cattle to suit the restockers and there were 90 cows. Buyers were not as active as previous sales, selling to mostly cheaper trends.

Yearlings to suit the trade were mostly firm, with the steers reaching 336c, and heifers made from 230c to 320c/kg. There was some strong competition between backgrounders and the feedlot buyers for the yearling steers, resulting in dearer prices, selling from 274c to 343c/kg. Heifers to feed were up to 12c cheaper, to average 268c/kg. Weaners returning to the paddock sold to variable trends, with the steers ranging from 160c to 342c, and the heifers ranged from 170c to 306c/kg.

Heavy grown steers slipped 4c selling from 245c to 322c, and grown heifers fell 10c, making from 242c to 320c/kg. 2 and 3 score cows were up to 17c cheaper, ranging from 185c to 255c, and heavy 4 score cows were back 2c, topping at 279c/kg. The best heavy weight bull made 300c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,8,-11,280.0,300.0,292.5,12.6,518.5,535.7,529.3,910.0,975.0,950.625
Yearling Steer,280-330,Restocker,C,2,30,19,302.0,328.0,323,28.5,549.1,596.4,581.0,936.2,1066.0,1025.7799641927083
Yearling Steer,330-400,Feeder,C,2,54,-111,274.0,328.0,316.3333333333333,3.2,507.4,596.4,571.2,1000.1,1262.8,1167.6944127965855
Yearling Steer,330-400,Feeder,D,2,4,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,810.3,810.3,810.2999877929688
Yearling Steer,330-400,Restocker,C,2,13,-45,292.0,318.0,306,9.2,530.9,578.2,556.4,1007.4,1160.7,1089.9461388221155
Yearling Steer,400+,Feeder,C,2,62,-78,275.0,343.0,314.66129032258067,-0.1,518.9,612.5,570.9,1117.8,1551.0,1343.3314484627017
