Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Not Selected
Report Date: 
Comparison Date: Date not set
Please complete selections
Commentary


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Restocker,C,2,3,NQ,282.0,282.0,282,NQ,542.3,542.3,542.3,665.5,665.5,665.52001953125
Yearling Steer,280-330,Feeder,C,2,1,-4,366.0,366.0,366,13.2,703.8,703.8,703.8,1171.2,1171.2,1171.199951171875
Yearling Steer,280-330,Feeder,C,3,1,NQ,364.0,364.0,364,NQ,686.8,686.8,686.8,1128.4,1128.4,1128.4000244140625
Yearling Steer,280-330,Restocker,C,2,8,-15,370.0,370.0,370,-23.4,711.5,711.5,711.5,1187.7,1187.7,1187.699951171875
Yearling Steer,330-400,Feeder,C,3,11,-14,338.0,360.0,354,21.1,637.7,692.3,670.3,1149.2,1407.6,1321.936356977983
Yearling Steer,400+,Feeder,C,2,2,1,334.0,334.0,334,4.0,642.3,642.3,642.3,1696.7,1696.7,1696.719970703125
Yearling Steer,400+,Feeder,C,3,27,-4,328.0,350.0,337.7037037037037,-14.6,618.9,660.4,637.2,1443.2,1870.0,1561.3496274594906
Yearling Steer,400+,Processor,C,2,1,NQ,302.0,302.0,302,NQ,580.8,580.8,580.8,1359.0,1359.0,1359
Yearling Steer,400+,Processor,C,3,3,-22,290.0,306.0,298.6666666666667,-27.3,547.2,577.4,567.2,1315.8,1560.0,1422.6000162760417
Yearling Heifer,200-280,Restocker,C,2,3,NQ,282.0,282.0,282,NQ,564.0,564.0,564.0,685.3,685.3,685.260009765625
Yearling Heifer,280-330,Feeder,C,2,1,-2,340.0,340.0,340,36.0,653.8,653.8,653.8,1054.0,1054.0,1054
Yearling Heifer,280-330,Feeder,C,3,4,-4,316.0,354.0,325.5,-9.0,596.2,680.8,617.4,1020.7,1044.3,1032.1150207519531
Yearling Heifer,280-330,Processor,C,2,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,812.0,812.0,812
Yearling Heifer,330-400,Feeder,C,3,9,-10,320.0,352.0,341.77777777777777,32.5,603.8,664.2,644.9,1159.2,1270.5,1230.5110948350693
Yearling Heifer,330-400,Processor,C,3,1,-16,310.0,310.0,310,-7.3,574.1,574.1,574.1,1193.5,1193.5,1193.5
Yearling Heifer,400+,Feeder,C,3,10,-39,324.0,330.0,326.8,4.6,611.3,622.6,616.6,1336.5,1539.0,1444.2880126953125
Yearling Heifer,400+,Processor,C,3,3,-36,318.0,320.0,318.6666666666667,6.3,600.0,603.8,601.3,1312.0,1520.0,1450.693359375
Yearling Heifer,400+,Processor,C,4,2,NQ,318.0,322.0,320,NQ,600.0,607.5,603.8,1626.1,1749.0,1687.5499877929688
Vealer Steer,0-200,Restocker,B,3,6,NQ,422.0,422.0,422,NQ,796.2,796.2,796.2,772.3,772.3,772.260009765625
Vealer Steer,0-200,Restocker,C,2,3,NC,400.0,438.0,425.3333333333333,53.3,769.2,842.3,817.9,780.0,832.2,814.8000081380209
Vealer Steer,200-280,Processor,C,3,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,800.0,800.0,800
Vealer Steer,200-280,Restocker,C,2,45,32,338.0,438.0,383.8666666666667,-8.9,650.0,842.3,735.9,795.8,1026.7,937.1053371853299
Vealer Steer,280-330,Feeder,C,3,1,NC,374.0,374.0,374,56.0,705.7,705.7,705.7,1196.8,1196.8,1196.800048828125
Vealer Steer,280-330,Restocker,B,3,3,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,1102.5,1113.0,1109.5
Vealer Steer,280-330,Restocker,C,3,32,NQ,320.0,398.0,357.3125,NQ,603.8,750.9,674.2,938.1,1253.2,1086.382495880127
Vealer Steer,330+,Feeder,B,3,2,NQ,360.0,360.0,360,NQ,666.7,666.7,666.7,1342.8,1342.8,1342.800048828125
Vealer Steer,330+,Feeder,C,3,32,30,342.0,394.0,374.3125,49.3,645.3,743.4,706.3,1333.8,1708.0,1501.8143463134766
Vealer Steer,330+,Processor,B,3,2,NQ,328.0,360.0,344,NQ,585.7,642.9,614.3,1314.0,1394.0,1354
Vealer Steer,330+,Restocker,C,3,5,4,368.0,374.0,371.6,31.6,694.3,705.7,701.1,1243.8,1264.1,1256.007958984375
Vealer Heifer,200-280,Processor,C,2,2,-30,324.0,324.0,324,-0.2,623.1,623.1,623.1,771.1,771.1,771.1199951171875
Vealer Heifer,200-280,Processor,C,3,8,7,320.0,334.0,327.75,7.8,603.8,630.2,618.4,674.8,902.0,777.2874908447266
Vealer Heifer,200-280,Restocker,B,3,10,NQ,398.0,398.0,398,NQ,750.9,750.9,750.9,807.9,807.9,807.939990234375
Vealer Heifer,200-280,Restocker,C,2,8,-23,316.0,340.0,331.5,-10.1,607.7,653.8,637.5,663.6,850.0,769.8500061035156
Vealer Heifer,200-280,Restocker,C,3,15,NQ,328.0,372.0,349.8666666666667,NQ,618.9,701.9,660.1,738.0,837.0,787.2
Vealer Heifer,280-330,Feeder,C,3,14,NQ,294.0,345.0,316.35714285714283,NQ,554.7,650.9,596.1,967.3,1089.0,1030.700718470982
Vealer Heifer,280-330,Processor,B,3,1,NQ,314.0,314.0,314,NQ,581.5,581.5,581.5,1036.2,1036.2,1036.199951171875
Vealer Heifer,280-330,Processor,C,3,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,992.0,992.0,992
Vealer Heifer,280-330,Restocker,B,3,4,-8,324.0,364.0,344,-10.0,600.0,686.8,643.4,955.8,1030.1,992.9599914550781
Vealer Heifer,280-330,Restocker,C,2,17,-28,346.0,376.0,367.1764705882353,28.5,665.4,723.1,706.1,979.2,1075.4,1047.07177734375
Vealer Heifer,280-330,Restocker,C,3,4,NQ,325.0,325.0,325,NQ,613.2,613.2,613.2,1043.3,1043.3,1043.25
Vealer Heifer,330+,Feeder,C,3,32,NQ,312.0,330.0,327.15625,NQ,600.0,622.6,616.2,1070.2,1513.4,1266.6821937561035
Vealer Heifer,330+,Processor,B,3,3,NQ,350.0,350.0,350,NQ,625.0,625.0,625.0,1267.0,1267.0,1267
Vealer Heifer,330+,Processor,C,3,21,15,320.0,360.0,338.95238095238096,22.0,592.6,666.7,627.7,1094.4,1486.8,1268.0619128999256
Vealer Heifer,330+,Restocker,C,3,4,NQ,308.0,308.0,308,NQ,592.3,592.3,592.3,1034.9,1034.9,1034.8800048828125
Manufacturing Steer,0-540,Restocker,D,2,1,NQ,250.0,250.0,250,NQ,520.8,520.8,520.8,1150.0,1150.0,1150
Manufacturing Steer,540+,Processor,C,4,1,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,2304.0,2304.0,2304
Manufacturing Steer,540+,Processor,D,2,1,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,1586.0,1586.0,1586
Manufacturing Steer,540+,Processor,D,3,1,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1900.0,1900.0,1900
Manufacturing Steer,540+,Processor,D,4,1,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,2535.0,2535.0,2535
Grown Steer,,Processor,C,4,1,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,2507.1,2507.1,2507.10009765625
Grown Steer,0-400,Restocker,C,2,4,NQ,244.0,244.0,244,NQ,498.0,498.0,498.0,839.4,839.4,839.3599853515625
Grown Steer,400-500,Feeder,C,2,7,NQ,310.0,310.0,310,NQ,596.2,596.2,596.2,1413.6,1413.6,1413.6000279017858
Grown Steer,500-600,Processor,C,3,2,-4,308.0,320.0,314,-22.0,592.3,603.8,598.0,1786.4,1808.0,1797.2000122070312
Grown Steer,500-600,Processor,C,4,11,NQ,324.0,334.0,329.8181818181818,NQ,600.0,618.5,610.8,1900.8,2004.0,1912.636474609375
Grown Steer,600-750,Processor,C,3,1,NC,330.0,330.0,330,-16.0,622.6,622.6,622.6,2425.5,2425.5,2425.5
Grown Steer,600-750,Processor,C,4,11,10,328.0,334.0,332.90909090909093,-11.1,607.4,618.5,616.5,2082.8,2164.3,2149.4982688210225
Grown Heifer,0-540,Feeder,C,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1062.5,1062.5,1062.5
Grown Heifer,0-540,Processor,C,3,1,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,1450.8,1450.8,1450.800048828125
Grown Heifer,0-540,Processor,D,2,2,NQ,258.0,258.0,258,NQ,496.2,496.2,496.2,1065.5,1065.5,1065.5400390625
Grown Heifer,0-540,Restocker,D,2,4,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,1345.6,1345.6,1345.5999755859375
Grown Heifer,540+,Processor,C,3,8,NQ,318.0,320.0,318.75,NQ,600.0,603.8,601.4,1917.5,1990.4,1944.862548828125
Grown Heifer,540+,Processor,C,4,1,NQ,328.0,328.0,328,NQ,618.9,618.9,618.9,2197.6,2197.6,2197.60009765625
Grown Heifer,540+,Processor,D,3,3,NQ,310.0,312.0,311.3333333333333,NQ,596.2,600.0,598.7,1844.5,1928.2,1900.2733561197917
Cows,0-400,Processor,D,2,1,NQ,208.0,208.0,208,NQ,433.3,433.3,433.3,811.2,811.2,811.2000122070312
Cows,400-520,Processor,D,2,6,-10,180.0,278.0,245.66666666666666,-45.1,383.0,591.5,516.9,837.0,1350.0,1124.1333414713542
Cows,400-520,Processor,D,3,6,-7,280.0,296.0,288,-10.4,571.4,604.1,587.8,1414.0,1530.3,1472.1599934895833
Cows,400-520,Processor,D,4,1,NQ,302.0,302.0,302,NQ,592.2,592.2,592.2,1434.5,1434.5,1434.5
Cows,400-520,Restocker,D,2,7,5,222.0,276.0,268.2857142857143,22.3,462.5,575.0,558.9,1121.1,1222.7,1208.1685791015625
Cows,520+,Processor,C,4,1,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,2565.0,2565.0,2565
Cows,520+,Processor,D,2,3,1,268.0,268.0,268,-19.0,558.3,558.3,558.3,1447.2,1447.2,1447.1998697916667
Cows,520+,Processor,D,3,84,-17,262.0,306.0,298.64285714285717,-16.2,545.8,612.0,601.1,1518.0,2006.4,1723.1369018554688
Cows,520+,Processor,D,4,40,19,280.0,306.0,302.9,-13.0,538.5,612.0,594.3,1781.8,2534.0,2039.8989990234375
Cows,520+,Restocker,D,2,16,6,276.0,286.0,276.625,-39.4,563.3,608.5,566.1,1501.4,1558.7,1505.0187225341797
Calves,80+,Restocker,B,2,7,NQ,380.0,380.0,380,NQ,717.0,717.0,717.0,554.8,554.8,554.7999790736607
Calves,80+,Restocker,C,3,1,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,351.8,351.8,351.75
Bulls,0-450,Processor,C,2,1,NC,328.0,328.0,328,42.0,618.9,618.9,618.9,918.4,918.4,918.4000244140625
Bulls,0-450,Processor,C,3,8,NQ,244.0,322.0,283,NQ,460.4,607.5,534.0,811.4,1054.1,932.7599792480469
Bulls,0-450,Restocker,B,2,4,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,929.6,929.6,929.6400146484375
Bulls,0-450,Restocker,B,3,6,NQ,294.0,328.0,316.6666666666667,NQ,544.4,607.4,586.4,934.8,1161.3,1010.3000081380209
Bulls,0-450,Restocker,C,2,7,3,228.0,302.0,238.57142857142858,-50.4,430.2,580.8,451.7,694.6,834.5,814.4971226283482
Bulls,450-600,Processor,B,2,2,1,252.0,252.0,252,-14.0,475.5,475.5,475.5,1431.4,1431.4,1431.3599853515625
