Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 01/10/2024
Comparison Date: 
Total Yarding: 1960 (NQ)
Commentary
"There were 1500 exports and 455 trade cattle, amongst the exports were 700 cows. Not all buyers were in attendance. There were some good quality bullocks on hand and an even mix of both beef and dairy cows. Prices came back across most grades of stock, with grown steers 3c to 13c/kg cheaper, beef cows 5c to 9c/kg back, the dairy cow portion were 10c to 18c/kg down. 

The trade cattle were of mixed quality with several pens of lighter weighted calves about. The vealers ranged from 300 to 340c/kg. The yearling steers to processes made between 320 to 386c/kg. The yearling heifers made from'290c to 370c/kg.

The 500 to 600kg steers ranged from 324c to 381c/kg, while the 600kg plus bullocks made from 322c to 372c/kg. The heavy beef cows made from 266c to 338c/kg which was 5c to 9c/kg down. The heavy dairy cow portion saw a 10c to 18c/kg drop and made from 242c to 285c/kg"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Dairy,D,1,21,16,222.0,222.0,222,2.0,482.6,482.6,482.6,843.6,854.7,851.528552827381
Yearling Steer,330-400,Dairy,D,2,4,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,930.8,930.8,930.75
Yearling Steer,330-400,Feeder,C,2,4,NQ,330.0,330.0,330,NQ,634.6,634.6,634.6,1270.5,1270.5,1270.5
Yearling Steer,330-400,Processor,B,1,3,NQ,380.0,380.0,380,NQ,690.9,690.9,690.9,1349.0,1349.0,1349
Yearling Steer,330-400,Processor,B,2,7,3,385.0,385.0,385,-16.5,700.0,700.0,700.0,1501.5,1501.5,1501.5
Yearling Steer,330-400,Processor,C,1,2,NQ,360.0,360.0,360,NQ,679.2,679.2,679.2,1278.0,1278.0,1278
Yearling Steer,330-400,Processor,C,3,14,-10,322.0,385.0,368.07142857142856,-5.6,607.5,713.0,688.8,1175.3,1496.0,1404.0071498325892
Yearling Steer,330-400,Processor,D,1,12,NQ,320.0,320.0,320,NQ,615.4,615.4,615.4,1136.0,1136.0,1136
Yearling Steer,400+,Processor,C,3,14,6,365.0,385.0,373.57142857142856,4.8,688.7,726.4,704.9,1551.3,1674.8,1604.1785714285713
Yearling Steer,400+,Restocker,C,2,7,NQ,335.0,355.0,340.7142857142857,NQ,644.2,669.8,651.5,1423.8,1508.8,1448.0357142857142
Yearling Heifer,280-330,Feeder,C,2,4,NQ,317.0,317.0,317,NQ,609.6,609.6,609.6,998.5,998.5,998.5499877929688
Yearling Heifer,280-330,Feeder,D,2,4,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,896.0,896.0,896
Yearling Heifer,280-330,Processor,C,2,8,NQ,244.0,332.0,288,NQ,460.4,638.5,549.4,695.4,1045.8,870.6000366210938
Yearling Heifer,330-400,Feeder,D,2,8,-1,270.0,274.0,272,-50.3,529.4,537.3,533.3,1012.5,1027.5,1020
