Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 03/12/2024
Comparison Date: 26/11/2024
Total Yarding: 1820 (-90)
Commentary
"There were 1345 exports and 475 trade cattle offered, as rain fell on and off during the sale. A wide range of rainfall reports were seen, but all  have the same conclusion, its wet underfoot and crops will suffer from it.  The buyer numbers were reduced as several exporters stayed away, this however failed to deter the silver lining, as prices across all the better shaped and conditioned grades jumped by 10c to 35c/kg. Cows were the biggest shacker and mover to see gains of 20c to 30c/kg across all grades. 

The trade cattle had a large line of vealers off one property that met strong competition from restockers and prices ranged from 310c to 350c/kg. The trade cattle had a few more better finished lines of supplementary fed cattle. The best of the vealers made from 320c to 376c/kg. The yearling steers ranged from 302c to 370c/kg, which was 15c to 30c/kg higher. The heifer portion to the trade made from 278c to 355c/kg.

The Friesian steer numbers were tight, with the best reaching 295c/kg. The 500 to 600kg steers C3 and C4 made from 322c to 345c/kg to average 333c/kg. The 600kg plus steers made from 310c to 350c/kg, which was 8c to 13c/kg better. The heavy, well conditioned beef cows made from 280c to a top of 319c/kg. The dairy cow numbers tightened and prices ranged from 245c to 300c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,1,3,NQ,343.0,343.0,343,NQ,659.6,659.6,659.6,1131.9,1131.9,1131.9000651041667
Yearling Steer,330-400,Feeder,C,1,8,6,299.0,299.0,299,-22.0,598.0,598.0,598.0,1061.4,1061.4,1061.449951171875
Yearling Steer,330-400,Feeder,C,2,4,NQ,335.0,335.0,335,NQ,644.2,644.2,644.2,1306.5,1306.5,1306.5
Yearling Steer,330-400,Processor,C,2,10,-3,335.0,360.0,347.5,34.4,632.1,666.7,649.4,1273.0,1386.0,1329.5
Yearling Steer,330-400,Processor,C,3,11,NQ,340.0,376.0,360,NQ,641.5,696.3,668.8,1207.0,1447.6,1329.2727272727273
Yearling Steer,400+,Processor,B,2,3,1,355.0,355.0,355,15.0,645.5,645.5,645.5,1473.3,1473.3,1473.25
Yearling Steer,400+,Processor,B,3,10,NQ,360.0,360.0,360,NQ,631.6,654.5,652.2,1512.0,1530.0,1528.2
Yearling Steer,400+,Processor,C,3,25,-8,302.0,370.0,348.56,21.0,559.3,686.8,651.9,1374.1,1628.7,1532.541591796875
Yearling Heifer,280-330,Restocker,C,1,8,NQ,267.0,267.0,267,NQ,534.0,534.0,534.0,867.8,867.8,867.75
Yearling Heifer,280-330,Restocker,D,1,8,-6,241.0,241.0,241,-5.8,472.5,472.5,472.5,698.9,698.9,698.9000244140625
Yearling Heifer,330-400,Feeder,D,2,9,-9,275.0,275.0,275,10.1,528.8,528.8,528.8,921.3,921.3,921.25
Yearling Heifer,330-400,Processor,C,1,3,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1174.3,1174.3,1174.25
