Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 1520 (-380)
Commentary
"There were  1085 exports and 435 trade cattle. Amongst the exports were 495 cows, with very few dairy cows offered this week. A few new faces were at the rails and competition was strong on the finished heavy steers and bullocks. The trade section consisted of a lot of lighter weighted yearlings and vealer calves and showed mixed pricing trends. Feedlot and store buyer activity was alive and well, with a range of weight categories on offer. 

The vealers ranged from 270c to a top of 350c/kg, with a large percentage under 300kg live weight. Only the odd yearling steer went to the trade and made to 370c/kg, as most yearling steers suited store buyers and made from 285c to 326c/kg. The yearling heifer portion to processors reached 365c/kg. The store heifers made from 270c to 319c/kg and were once again mainly light weights.

The 400 to 500kg steers ranged from 300c to 330c/kg, the 500 to 600kg steers C3 and C4 made from 312c to 370c/kg to average 351c/kg, while the 600kg plus bullocks made from 319c to 350c/kg to average 336c/kg which was 10c to 15c/kg better on last week for the top end C4 steers.

The heavy beef cows made from 245c to 290c/kg to average 286c/kg for the D4’s and the dairy cows made from 218c to 270c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,330-400,Feeder,C,1,14,11,285.0,302.0,292.2857142857143,9.3,558.8,569.8,563.5,983.3,1132.5,1047.2142857142858
Yearling Steer,330-400,Feeder,C,2,6,-10,302.0,302.0,302,-9.0,580.8,580.8,580.8,1072.1,1072.1,1072.0999348958333
Yearling Steer,330-400,Feeder,D,1,8,NQ,285.0,285.0,285,NQ,558.8,558.8,558.8,983.3,983.3,983.25
Yearling Steer,330-400,Processor,C,2,11,-21,302.0,347.0,320.72727272727275,-7.5,569.8,642.6,602.9,1041.9,1301.3,1165.9818226207387
Yearling Steer,330-400,Processor,C,3,12,-5,320.0,361.0,335.9166666666667,8.3,603.8,681.1,637.9,1200.0,1425.9,1297.3374837239583
Yearling Steer,330-400,Restocker,D,1,18,NQ,270.0,299.0,274.8333333333333,NQ,540.0,598.0,549.7,1012.5,1061.4,1020.6583251953125
Yearling Steer,400+,Feeder,C,3,5,NQ,326.0,326.0,326,NQ,615.1,615.1,615.1,1450.7,1450.7,1450.7
Yearling Steer,400+,Processor,B,2,4,NQ,370.0,370.0,370,NQ,660.7,660.7,660.7,1535.5,1535.5,1535.5
Yearling Steer,400+,Processor,C,3,9,-22,348.0,355.0,348.77777777777777,25.9,644.4,645.5,644.6,1473.3,1513.8,1509.2944878472222
Yearling Steer,400+,Restocker,D,1,35,NQ,260.0,260.0,260,NQ,565.2,565.2,565.2,1131.0,1131.0,1131
Yearling Heifer,280-330,Feeder,C,2,6,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,882.0,882.0,882
Yearling Heifer,280-330,Restocker,D,1,4,-21,238.0,238.0,238,-2.0,476.0,476.0,476.0,678.3,678.3,678.2999877929688
Yearling Heifer,330-400,Feeder,C,1,6,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,966.0,966.0,966
Yearling Heifer,330-400,Feeder,D,2,14,NQ,296.0,319.0,309.14285714285717,NQ,569.2,613.5,594.5,1110.0,1244.1,1186.6285574776787
Yearling Heifer,330-400,Processor,C,1,2,NQ,315.0,315.0,315,NQ,594.3,594.3,594.3,1212.8,1212.8,1212.75
Yearling Heifer,330-400,Processor,C,3,12,-7,310.0,340.0,325.8333333333333,-7.0,584.9,641.5,614.8,1085.0,1309.0,1199.9166666666667
Yearling Heifer,330-400,Processor,C,4,2,NQ,365.0,365.0,365,NQ,675.9,675.9,675.9,1441.8,1441.8,1441.75
Yearling Heifer,330-400,Processor,D,3,2,-16,300.0,300.0,300,-14.3,566.0,566.0,566.0,1005.0,1005.0,1005
Yearling Heifer,330-400,Restocker,D,1,7,NQ,270.0,270.0,270,NQ,540.0,540.0,540.0,1053.0,1053.0,1053
Yearling Heifer,400+,Feeder,C,1,5,NQ,290.0,290.0,290,NQ,568.6,568.6,568.6,1261.5,1261.5,1261.5
Yearling Heifer,400+,Processor,C,4,12,9,338.0,345.0,341.5,11.5,637.7,638.9,638.3,1537.9,1721.6,1629.72509765625
Vealer Steer,200-280,Processor,C,1,6,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,728.5,728.5,728.5
Vealer Steer,200-280,Restocker,C,1,4,NQ,350.0,350.0,350,NQ,673.1,673.1,673.1,962.5,962.5,962.5
Vealer Steer,280-330,Processor,B,1,3,NQ,340.0,340.0,340,NQ,629.6,629.6,629.6,1020.0,1020.0,1020
Vealer Steer,280-330,Processor,C,1,10,NQ,315.0,325.0,320,NQ,594.3,613.2,603.8,1039.5,1072.5,1056
Vealer Steer,280-330,Processor,C,2,3,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,877.5,877.5,877.5
Vealer Steer,330+,Processor,B,2,2,NQ,350.0,350.0,350,NQ,603.4,603.4,603.4,1312.5,1312.5,1312.5
Vealer Heifer,200-280,Feeder,C,2,5,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,812.0,812.0,812
Vealer Heifer,200-280,Processor,C,2,7,NQ,310.0,330.0,318.57142857142856,NQ,584.9,611.1,596.1,868.0,924.0,892
Vealer Heifer,200-280,Restocker,C,1,6,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,689.0,689.0,689
Vealer Heifer,280-330,Feeder,C,3,3,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,924.0,924.0,924
Vealer Heifer,280-330,Processor,C,2,3,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,960.0,960.0,960
Vealer Heifer,280-330,Processor,C,3,15,NQ,299.0,315.0,302.4,NQ,564.2,594.3,570.6,897.0,1039.5,944.1
Vealer Heifer,330+,Processor,C,3,5,1,310.0,310.0,310,-30.0,584.9,584.9,584.9,1100.5,1100.5,1100.5
Vealer Heifer,330+,Processor,D,3,6,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1000.5,1000.5,1000.5
Manufacturing Steer,0-540,Dairy,D,1,19,-27,200.0,272.0,243.26315789473685,4.6,416.7,555.1,501.1,700.0,1237.6,1033.7420847039473
Manufacturing Steer,540+,Dairy,D,1,24,-7,270.0,270.0,270,-10.9,540.0,551.0,545.5,1579.5,1579.5,1579.5
Grown Steer,0-400,Feeder,D,2,11,NQ,282.0,282.0,282,NQ,552.9,552.9,552.9,1077.2,1077.2,1077.2399680397727
Grown Steer,400-500,Feeder,C,1,14,12,280.0,311.0,295.5,25.5,538.5,598.1,568.3,1148.0,1275.1,1211.550013950893
Grown Steer,400-500,Feeder,D,3,2,NQ,309.0,309.0,309,NQ,583.0,583.0,583.0,1498.7,1498.7,1498.6500244140625
Grown Steer,400-500,Processor,C,1,12,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1455.0,1455.0,1455
Grown Steer,400-500,Processor,C,3,25,19,308.0,330.0,322.16,7.2,592.3,622.6,611.4,1328.0,1633.5,1529.86
Grown Steer,400-500,Processor,C,4,10,NQ,342.0,342.0,342,NQ,645.3,645.3,645.3,1706.6,1706.6,1706.5798828125
Grown Steer,500-600,Feeder,C,1,12,NQ,311.0,311.0,311,NQ,598.1,598.1,598.1,1663.8,1663.8,1663.8499348958333
Grown Steer,500-600,Feeder,C,2,17,9,316.0,316.0,316,-4.0,607.7,607.7,607.7,1595.8,1595.8,1595.8000919117646
Grown Steer,500-600,Processor,C,2,15,4,312.0,320.0,314.6666666666667,-0.3,600.0,603.8,601.3,1716.0,1904.0,1778.6666666666667
Grown Steer,500-600,Processor,C,3,21,-28,330.0,330.0,330,-3.1,622.6,622.6,622.6,1765.5,1815.0,1791.4285714285713
Grown Steer,500-600,Processor,C,4,50,19,334.0,370.0,351.48,13.7,618.5,685.2,650.9,1870.0,2030.0,1939.3860009765624
Grown Steer,600-750,Processor,C,3,15,12,330.0,330.0,330,14.0,622.6,622.6,622.6,2260.5,2260.5,2260.5
Grown Steer,600-750,Processor,C,4,44,-25,319.0,350.0,336.8636363636364,1.7,601.9,648.1,628.5,2025.7,2275.0,2119.7318226207385
Grown Steer,600-750,Processor,D,3,8,5,310.0,310.0,310,16.0,584.9,584.9,584.9,2325.0,2325.0,2325
Grown Steer,750+,Processor,D,4,8,NQ,287.0,287.0,287,NQ,541.5,541.5,541.5,2296.0,2296.0,2296
Grown Heifer,0-540,Dairy,D,1,2,NQ,178.0,178.0,178,NQ,378.7,378.7,378.7,809.9,809.9,809.9000244140625
Grown Heifer,0-540,Feeder,C,2,6,NQ,314.0,314.0,314,NQ,603.8,603.8,603.8,1554.3,1554.3,1554.3001302083333
Grown Heifer,0-540,Feeder,D,2,54,NQ,290.0,317.0,297.4074074074074,NQ,557.7,621.6,574.2,1203.5,1426.5,1245.8092447916667
Grown Heifer,0-540,Feeder,D,3,7,-13,333.0,333.0,333,59.0,628.3,628.3,628.3,1615.1,1615.1,1615.050083705357
Grown Heifer,0-540,Processor,C,3,12,11,320.0,320.0,320,10.0,603.8,603.8,603.8,1648.0,1648.0,1648
Grown Heifer,0-540,Processor,C,4,12,NQ,323.0,323.0,323,NQ,609.4,609.4,609.4,1728.1,1728.1,1728.0501302083333
Grown Heifer,0-540,Processor,D,3,14,6,275.0,309.0,289.57142857142856,4.6,539.2,594.2,562.8,1223.8,1541.9,1360.104282924107
Grown Heifer,0-540,Restocker,D,1,7,NQ,270.0,270.0,270,NQ,574.5,574.5,574.5,1066.5,1066.5,1066.5
Grown Heifer,0-540,Restocker,D,2,8,NQ,267.0,267.0,267,NQ,544.9,544.9,544.9,1188.2,1188.2,1188.1500244140625
Grown Heifer,540+,Processor,D,3,2,-11,323.0,323.0,323,21.0,609.4,609.4,609.4,1760.3,1760.3,1760.3499755859375
Cows,400-520,Dairy,D,1,7,-3,227.0,227.0,227,-23.0,504.4,504.4,504.4,930.7,930.7,930.6999860491071
Cows,400-520,Dairy,D,2,9,NQ,233.0,233.0,233,NQ,506.5,506.5,506.5,1130.1,1130.1,1130.050021701389
Cows,400-520,Dairy,E,1,25,1,185.0,212.0,199.72,4.3,440.5,500.0,471.3,897.3,1091.8,976.8380078125
Cows,400-520,Processor,D,1,53,28,245.0,275.0,257.3207547169811,13.5,523.4,572.9,549.3,1090.3,1361.3,1237.184164946934
Cows,400-520,Processor,D,2,20,NQ,252.0,263.0,254.75,NQ,514.3,547.9,522.7,1146.6,1354.4,1198.5625
Cows,400-520,Processor,D,3,8,NQ,268.0,268.0,268,NQ,558.3,558.3,558.3,1337.3,1337.3,1337.3199462890625
Cows,520+,Dairy,D,1,21,-97,227.0,256.0,247.71428571428572,1.9,515.9,556.5,544.9,1316.6,1664.0,1564.7428385416667
Cows,520+,Dairy,D,2,12,-26,259.0,259.0,259,-14.8,551.1,551.1,551.1,1683.5,1683.5,1683.5
Cows,520+,Dairy,E,1,8,3,218.0,218.0,218,8.0,495.5,495.5,495.5,1264.4,1264.4,1264.4000244140625
Cows,520+,Processor,C,4,14,-1,282.0,285.0,283.07142857142856,-21.9,532.1,537.7,534.1,1838.3,2253.2,2104.990652901786
Cows,520+,Processor,D,2,27,NQ,267.0,270.0,268.3333333333333,NQ,534.0,551.0,541.6,1401.8,1606.5,1492.75
Cows,520+,Processor,D,3,22,3,282.0,284.0,283.09090909090907,11.1,564.0,568.0,566.2,1649.7,1760.8,1710.3000710227273
Cows,520+,Processor,D,4,63,-54,282.0,290.0,286.2857142857143,-0.2,539.6,557.7,548.1,1655.6,1865.5,1748.5667007688492
